,entity_id,is_coniferous,sc_name,family,flag,range_state,common_name,genus,is_tropical
31,32,0.0,Afzelia bipindensis,Leguminosae,1.0,,doussie;ayan-olutoko;odo niyan;red doussié;aja;doussié,Afzelia,
32,33,0.0,Afzelia pachyloba,Leguminosae,1.0,,apa igbo;white doussié;orodo;white afzelia,Afzelia,
33,34,0.0,Afzelia quanzensis,Leguminosae,,,,Afzelia,
34,35,0.0,Afzelia rhomboidea,Leguminosae,1.0,,tanduk;kupang;tarum;tindalo;balayong,Afzelia,
35,36,0.0,Afzelia xylocarpa,Leguminosae,1.0,,makha-hua-kham;ma khaa mong;makha-luang;kha;beng;tê kha;go do;go ca te,Afzelia,
36,37,0.0,Aglaia cucullata,Meliaceae,1.0,,myauk-le-seik;katong-tiklop;daeng-nam;bengang;kato;malakamote;tasua;amoora;pacific maple;nyireh batu;che,Aglaia,
37,38,0.0,Aglaia spectabilis,Meliaceae,0.0,,merasam;bekak;lantupak;tasua-bailek;langsat-langsat;mokken,Aglaia,
38,39,0.0,Ailanthus altissima,Simaroubaceae,1.0,,,Ailanthus,
39,40,0.0,Ailanthus triphysa,Simaroubaceae,,,,Ailanthus,
40,41,0.0,Alangium meyeri,Cornaceae,,,,Alangium,
41,42,0.0,Albizia adianthifolia,Leguminosae,0.0,,flat-crown albizia;west african albizia,Albizia,
42,43,0.0,Albizia antunesiana,Leguminosae,,,,Albizia,
43,44,0.0,Albizia ferruginea,Leguminosae,1.0,,uwowe;ngu;albizia;sifou;ayinre-ogo;awiemfo samina;latandza,Albizia,
44,45,0.0,Albizia guachapele,Leguminosae,,,,Albizia,
45,46,0.0,Albizia gummifera,Leguminosae,,,,Albizia,
46,47,0.0,Albizia lebbeck,Leguminosae,,,,Albizia,
47,48,0.0,Albizia lebbekoides,Leguminosae,,,,Albizia,
48,49,0.0,Albizia pedicellaris,Leguminosae,,,,Albizia,
49,50,0.0,Albizia procera,Leguminosae,,,,Albizia,
50,51,0.0,Albizia saman,Leguminosae,,,,Albizia,
51,52,0.0,Albizia versicolor,Leguminosae,,,,Albizia,
52,53,0.0,Albizia zygia,Leguminosae,,,,Albizia,
53,54,0.0,Alchornea triplinervia,Euphorbiaceae,,,,Alchornea,
54,55,0.0,Aleurites moluccanus,Euphorbiaceae,0.0,,candlenut tree,Aleurites,
55,56,0.0,Alexa grandiflora,Leguminosae,,,,Alexa,
56,57,0.0,Alexa imperatricis,Leguminosae,,,,Alexa,
57,58,0.0,Alexa wachenheimii,Leguminosae,0.0,,,Alexa,
58,59,0.0,Allantoma integrifolia,Lecythidaceae,,,,Allantoma,
59,60,0.0,Allantoma pluriflora,Lecythidaceae,,,,Allantoma,
60,61,0.0,Allophylus cobbe,Sapindaceae,,,,Allophylus,
61,62,0.0,Alnus glutinosa,Betulaceae,0.0,,black alder;common alder;swartels;klibbal;ontano nero;european alder,Alnus,
62,63,0.0,Alnus incana,Betulaceae,0.0,,grey alder,Alnus,
63,64,0.0,Alnus nepalensis,Betulaceae,0.0,,ni po er qi mu;ust;utees;lal-amiri;utis;उतिस utis;otish;nepal black cedar,Alnus,
64,65,0.0,Alnus rubra,Betulaceae,0.0,,western alder;oregon alder;aulne rouge;red alder,Alnus,
65,66,0.0,Alphitonia philippinensis,Rhamnaceae,,,,Alphitonia,
66,67,0.0,Alphitonia zizyphoides,Rhamnaceae,,,,Alphitonia,
67,68,0.0,Alseodaphne archboldiana,Lauraceae,,,,Alseodaphne,
68,69,0.0,Alseodaphne malabonga,Lauraceae,,,,Alseodaphne,
69,70,0.0,Alstonia actinophylla,Apocynaceae,,,,Alstonia,
70,71,0.0,Alstonia angustifolia,Apocynaceae,0.0,,pulai penipu bukit;pulai pipit;pulai penipu paya,Alstonia,
71,72,0.0,Alstonia angustiloba,Apocynaceae,,,,Alstonia,
72,73,0.0,Alstonia boonei,Apocynaceae,,,,Alstonia,
73,74,0.0,Alstonia congensis,Apocynaceae,,,,Alstonia,
74,75,0.0,Alstonia macrophylla,Apocynaceae,0.0,,cây so tua;katung fa;kra thungfa hai;cayacayao;tung fa;batino;cã¢y so tua;tampahin;champek phnom;pulai penipu bukit;thungfa;pulai daun besar;sayongan;teen thian,Alstonia,
75,76,0.0,Alstonia scholaris,Apocynaceae,0.0,"AR,CL",sataban;dita;blackboard tree;mo cua;tin pet dam;pulai lilin;white cheesewood;pulai itam;sat thba;geceh;pule;teenpet khaao;satba;lame putih;milkwood pine;tin pet khao;sath taba;puulaa puu teh;cay sua;waser;tin pet;ruith,Alstonia,
76,77,0.0,Alstonia spatulata,Apocynaceae,0.0,,pulai paya;pulai basong;lame bodas;siamese balsa;hard milkwood;sia;pulai gabus;thia;pulai lilin;teenpet phru;ka bui,Alstonia,
77,78,0.0,Altingia excelsa,Altingiaceae,,,,Altingia,
78,79,0.0,Amblygonocarpus andongensis,Leguminosae,,,,Amblygonocarpus,
79,80,0.0,Amburana cearensis,Leguminosae,1.0,,amburana;cumaré;roble salteño;cumarú;palo trébol;roble del pais;cerejeira;umburana do cheiro;ishpingo,Amburana,
80,81,0.0,Amphimas ferrugineus,Leguminosae,,,,Amphimas,
81,82,0.0,Amphimas pterocarpoides,Leguminosae,,,,Amphimas,
82,83,0.0,Anacardium excelsum,Anacardiaceae,,,,Anacardium,
83,84,0.0,Anacardium giganteum,Anacardiaceae,,,,Anacardium,
84,85,0.0,Anacardium occidentale,Anacardiaceae,,,,Anacardium,
85,86,0.0,Anacardium spruceanum,Anacardiaceae,,,,Anacardium,
86,87,0.0,Andira coriacea,Leguminosae,,,,Andira,
87,88,0.0,Andira inermis,Leguminosae,0.0,,cabbage tree;angelin,Andira,
88,89,0.0,Androstachys johnsonii,Picrodendraceae,,,,Androstachys,
89,90,0.0,Aniba canellila,Lauraceae,,,,Aniba,
90,91,0.0,Aniba parviflora,Lauraceae,,,,Aniba,
91,92,0.0,Aniba rosaeodora,Lauraceae,,,,Aniba,
92,93,0.0,Anisoptera costata,Dipterocarpaceae,1.0,,kra baak;palosapis;baak;ven ven;phdeak rom;mersawa,Anisoptera,
93,94,0.0,Anisoptera curtisii,Dipterocarpaceae,1.0,,mersawa;krabak,Anisoptera,
94,95,0.0,Anisoptera laevis,Dipterocarpaceae,1.0,,mersawa;mersawa durian;krabak,Anisoptera,
95,96,0.0,Anisoptera marginata,Dipterocarpaceae,1.0,,mersawa;krabak,Anisoptera,
96,97,0.0,Anisoptera scaphula,Dipterocarpaceae,1.0,,mersawa,Anisoptera,
97,98,0.0,Anisoptera thurifera,Dipterocarpaceae,1.0,,mersawa;palosapis,Anisoptera,
98,99,0.0,Annickia chlorantha,Annonaceae,,,,Annickia,
99,100,0.0,Anogeissus acuminata,Combretaceae,,,,Anogeissus,
100,101,0.0,Anogeissus latifolia,Combretaceae,,,,Anogeissus,
101,102,0.0,Anonidium mannii,Annonaceae,,,,Anonidium,
102,103,0.0,Anopyxis klaineana,Rhizophoraceae,1.0,,kokote;noudougou;otutu;bodioa;kokoti,Anopyxis,
103,104,0.0,Antiaris toxicaria welwitschii,Moraceae,,,,Antiaris,
104,105,0.0,Antiaris toxicaria,Moraceae,,,,Antiaris,
105,106,0.0,Antiaris toxicaria,Moraceae,,,,Antiaris,
106,107,0.0,Antiaris africana,Moraceae,,,,Antiaris,
107,108,0.0,Antiaris toxicaria,Moraceae,,,,Antiaris,
108,109,0.0,Antrocaryon klaineanum,Anacardiaceae,,,,Antrocaryon,
109,110,0.0,Antrocaryon micraster,Anacardiaceae,1.0,,bougongi;antrocaryon;ifa okete;akoua;aprokuma,Antrocaryon,
110,111,0.0,Apeiba glabra,Malvaceae,,,,Apeiba,
111,112,0.0,Aphananthe philippinensis,Cannabaceae,,,,Aphananthe,
112,113,0.0,Aphanocalyx heitzii,Leguminosae,,,,Aphanocalyx,
113,114,0.0,Apuleia leiocarpa,Leguminosae,,,,Apuleia,
114,115,0.0,Aquilaria malaccensis,Thymelaeaceae,1.0,,eaglewood;gaharu;agarwood;kritsanaa;aloewood;karas;depu;mai hom;lign-aloes;calambac,Aquilaria,
115,116,0.0,Arbutus menziesii,Ericaceae,,,,Arbutus,
116,117,0.0,Arbutus unedo,Ericaceae,0.0,,strawberry tree;medronheiro,Arbutus,
117,118,0.0,Archidendropsis xanthoxylon,Leguminosae,,,,Archidendropsis,
118,119,0.0,Artocarpus altilis,Moraceae,,,,Artocarpus,
119,120,0.0,Artocarpus chama,Moraceae,,,,Artocarpus,
120,121,0.0,Artocarpus elasticus,Moraceae,,,,Artocarpus,
121,122,0.0,Artocarpus hirsutus,Moraceae,,,,Artocarpus,
122,123,0.0,Artocarpus integer,Moraceae,,,,Artocarpus,
123,124,0.0,Artocarpus lanceifolius,Moraceae,,,,Artocarpus,
124,125,0.0,Artocarpus ovatus,Moraceae,,,,Artocarpus,
125,126,0.0,Artocarpus rigidus,Moraceae,,,,Artocarpus,
126,127,0.0,Artocarpus scortechinii,Moraceae,,,,Artocarpus,
127,128,0.0,Aspidosperma album,Apocynaceae,,,,Aspidosperma,
128,129,0.0,Aspidosperma desmanthum,Apocynaceae,,,,Aspidosperma,
129,130,0.0,Aspidosperma megalocarpon,Apocynaceae,0.0,,,Aspidosperma,
130,131,0.0,Aspidosperma polyneuron,Apocynaceae,1.0,,peroba rajada;peroba de sao paulo;peroba amargosa;peroba;peroba mirim;sobro;peroba paulista;peroba rosa;ib;carretto;peroba amarela;amargoroso;peroba açú,Aspidosperma,
131,132,0.0,Aspidosperma quebracho-blanco,Apocynaceae,,,,Aspidosperma,
132,133,0.0,Aspidosperma tomentosum,Apocynaceae,,,,Aspidosperma,
133,134,0.0,Aspidosperma vargasii,Apocynaceae,,,,Aspidosperma,
134,135,0.0,Aspidostemon perrieri,Lauraceae,,,,Aspidostemon,
135,136,0.0,Asteropeia rhopaloides,Asteropeiaceae,1.0,,manoko mavo;manokofotsy;tsararavina,Asteropeia,
136,137,0.0,Astronium fraxinifolium,Anacardiaceae,,,,Astronium,
137,138,0.0,Astronium graveolens,Anacardiaceae,,,,Astronium,
138,139,0.0,Astronium lecointei,Anacardiaceae,,,,Astronium,
139,140,0.0,Astronium urundeuva,Anacardiaceae,1.0,,aroeira;urundei-mé;arendeúva;aroeira do sertao;aroeire;aroeira legitima;goncalo alves;areoeira petra;arveira;arindeúva;aroeira da serra;orindeúva;urundel;aroeira do campo;urundeúva,Astronium,
140,141,0.0,Atherosperma moschatum,Atherospermataceae,,,,Atherosperma,
141,142,0.0,Aucoumea klaineana,Burseraceae,1.0,,angouma;okumé;n'koumi;okoumé;okoume;gaboon;moukoumi,Aucoumea,
142,143,0.0,Autranella congolensis,Sapotaceae,1.0,,elang;elanzok;uku;mukulungu;kabulungu,Autranella,
143,144,0.0,Azadirachta excelsa,Meliaceae,,,,Azadirachta,
144,145,0.0,Azadirachta indica,Meliaceae,,,,Azadirachta,
145,146,0.0,Bagassa guianensis,Moraceae,,,,Bagassa,
146,147,0.0,Baikiaea insignis,Leguminosae,,,,Baikiaea,
147,148,0.0,Baikiaea plurijuga,Leguminosae,0.0,,umgusi;mukushi;rhodesian-teak;zambesi redwood,Baikiaea,
148,149,0.0,Baillonella toxisperma,Sapotaceae,1.0,,njabi;adza;moabi;african pearwood;dimpampi;djave nut,Baillonella,
149,150,0.0,Balakata baccata,Euphorbiaceae,,,,Balakata,
150,151,0.0,Balakata luzonica,Euphorbiaceae,,,,Balakata,
151,152,0.0,Balanocarpus heimii,Dipterocarpaceae,,,,Balanocarpus,
152,153,0.0,Balfourodendron riedelianum,Rutaceae,1.0,,farinha seca;guatambu;guarataia;pequia;pequia mamona;guamixinga;pau cetim;guatambu blanco;pau marfim;marfim;guataia;pau liso,Balfourodendron,
153,154,0.0,Balmea stormiae,Rubiaceae,1.0,,,Balmea,
154,155,0.0,Baphia nitida,Leguminosae,0.0,,bois rouge;camwood,Baphia,
155,156,0.0,Barringtonia acutangula,Lecythidaceae,,,,Barringtonia,
156,157,0.0,Bastardiopsis densiflora,Malvaceae,,,,Bastardiopsis,
157,158,0.0,Batesia floribunda,Leguminosae,,,,Batesia,
158,159,0.0,Beccariophoenix madagascariensis,Arecaceae,1.0,,maroala;manarano;sikomba;manara,Beccariophoenix,
159,160,0.0,Beilschmiedia letouzeyi,Lauraceae,,,,Beilschmiedia,
160,161,0.0,Beilschmiedia mannii,Lauraceae,,,,Beilschmiedia,
161,162,0.0,Beilschmiedia tawa,Lauraceae,,,,Beilschmiedia,
162,163,0.0,Beilschmiedia velutina,Lauraceae,,,,Beilschmiedia,
163,164,0.0,Berchemia zeyheri,Rhamnaceae,,,,Berchemia,
164,165,0.0,Berlinia auriculata,Leguminosae,0.0,,ebiara;yassa;ebolo;tbouabe;bois de rose;houate;abouate;abem,Berlinia,
165,166,0.0,Berlinia bracteosa,Leguminosae,0.0,,"embiaga;bibora;esabem;mpossa (kiyumbe, yombe;ebiara;munzali;souwa;bôssa;mitsogho;ibota;congo kinshasa);pogo;uzabi;congo brazzaville;possa;pahouin de libreville;enana;bôra;pahouin;ebiara;abem",Berlinia,
166,167,0.0,Berlinia confusa,Leguminosae,0.0,,ebiara a petites feuilees;sakpei;mende;red oak;ebiara;gbor-ku-orh;ebiara-minkoul;ekpogoi;ekpagoy;ebiara;ebiara-minkoul des montagnes;bois de rose;gabouin;ebiara,Berlinia,
167,168,0.0,Berlinia grandiflora,Leguminosae,0.0,,doka-rafi;bamb;ko-sio;guinea (conakry;ko-sau;mende;kpendei-guli;yoruba;apado;ebolo;turumba;congo kinshasa;libundukulu-li-lowe;kosau;sobo;okoro;kedam oboba;central african republic;kam-booro;mélegba;temne;ka-kontha;yaoundé;abem;bois de rose;obuba;dj;falmei,Berlinia,
168,169,0.0,Bertholletia excelsa,Lecythidaceae,1.0,,yubia;juvia;turury;noix du brésil;castanha verdadeira;castanha para;touca;brazil-nut tree;castaña del marañón;brazilnoot;para nut;castanheiro,Bertholletia,
169,170,0.0,Betula alleghaniensis,Betulaceae,0.0,,bouleau;yellow birch;gray birch;silver birch;swamp birch;merisier,Betula,
170,171,0.0,Betula alnoides,Betulaceae,0.0,,लेक पैयु lekh pain;bhurjapatra;xi hua;saur;indian birch;himalayan birch;kath-bhuj,Betula,
171,172,0.0,Betula lenta,Betulaceae,0.0,,cherry birch;black birch;sweet birch;round-leaf birch,Betula,
172,173,0.0,Betula maximowicziana,Betulaceae,0.0,,udai-kamba;monarch birch;saihada-kamba,Betula,
173,174,0.0,Betula nigra,Betulaceae,0.0,,red birch;water birch;black birch;river birch,Betula,
174,175,0.0,Betula papyrifera,Betulaceae,0.0,,canoe birch;paper birch;bouleau blanc;white birch;silver birch;bouleau á papier,Betula,
175,176,0.0,Betula pendula,Betulaceae,0.0,,european silver birch,Betula,
176,177,0.0,Betula populifolia,Betulaceae,0.0,,bouleau rouge;gray birch;white birch;fire birch;bouleau gris;old field birch;bouleau a feuilles de peuplier;wire birch,Betula,
177,178,0.0,Betula pubescens,Betulaceae,1.0,,litwinow's birch,Betula,
178,179,0.0,Betula schmidtii,Betulaceae,0.0,,ono-ore-kamba;sai hei hua;bakdalnamu,Betula,
179,180,0.0,Bischofia javanica,Phyllanthaceae,,,,Bischofia,
180,181,0.0,Bixa arborea,Bixaceae,,,,Bixa,
181,182,0.0,Bixa orellana,Bixaceae,,,,Bixa,
182,183,0.0,Bobgunnia fistuloides,Leguminosae,0.0,,pau rosa;pao rosa;asomanini;kiela kusu;ndina;dina;akite;oken;awong,Bobgunnia,
183,184,0.0,Bobgunnia madagascariensis,Leguminosae,,,,Bobgunnia,
184,185,0.0,Bombax brevicuspe,Malvaceae,,,,Bombax,
185,186,0.0,Bombax ceiba,Malvaceae,,,,Bombax,
186,187,0.0,Borassus flabellifer,Arecaceae,,,,Borassus,
187,188,0.0,Bowdichia nitida,Leguminosae,,,,Bowdichia,
188,189,0.0,Bowdichia virgilioides,Leguminosae,,,,Bowdichia,
189,190,0.0,Brachylaena huillensis,Compositae,0.0,,magogo;muhugu;avud mubuubu;mschenze;muhugwe;kipungungu;watho;muhuhu;mvumo,Brachylaena,
190,191,0.0,Brachylaena merana,Compositae,,,,Brachylaena,
191,192,0.0,Brachylaena ramiflora,Compositae,,,,Brachylaena,
192,193,0.0,Brachystegia cynometroides,Leguminosae,0.0,,,Brachystegia,
193,194,0.0,Brachystegia eurycoma,Leguminosae,,,,Brachystegia,
194,195,0.0,Brachystegia laurentii,Leguminosae,,,,Brachystegia,
195,196,0.0,Brachystegia leonensis,Leguminosae,,,,Brachystegia,
196,197,0.0,Brachystegia mildbraedii,Leguminosae,,,,Brachystegia,
197,198,0.0,Brachystegia nigerica,Leguminosae,1.0,,okwen,Brachystegia,
198,199,0.0,Brachystegia spiciformis,Leguminosae,,,,Brachystegia,
199,200,0.0,Brachystegia zenkeri,Leguminosae,0.0,,léké;bomanga,Brachystegia,
200,201,0.0,Breonadia salicina,Rubiaceae,,,,Breonadia,
201,202,0.0,Breonia madagascariensis,Rubiaceae,,,,Breonia,
202,203,0.0,Breviea sericea,Sapotaceae,0.0,,apobéaou;kankabim,Breviea,
203,204,0.0,Bridelia grandis,Phyllanthaceae,,,,Bridelia,
204,205,0.0,Bridelia micrantha,Phyllanthaceae,0.0,,,Bridelia,
205,206,0.0,Brosimum alicastrum,Moraceae,0.0,,burba;berba;tillo;guaimaro,Brosimum,
206,207,0.0,Brosimum costaricanum,Moraceae,,,,Brosimum,
207,208,0.0,Brosimum guianense,Moraceae,,,,Brosimum,
208,209,0.0,Brosimum parinarioides,Moraceae,,,,Brosimum,
209,210,0.0,Brosimum potabile,Moraceae,,,,Brosimum,
210,211,0.0,Brosimum rubescens,Moraceae,,,,Brosimum,
211,212,0.0,Brosimum utile,Moraceae,1.0,,,Brosimum,
212,213,0.0,Buchanania arborescens,Anacardiaceae,,,,Buchanania,
213,214,0.0,Buchanania latifolia,Anacardiaceae,,,,Buchanania,
214,215,0.0,Buchenavia tetraphylla,Combretaceae,,,,Buchenavia,
215,216,0.0,Bucida buceras,Combretaceae,,,,Bucida,
216,217,0.0,Bulnesia arborea,Zygophyllaceae,,,,Bulnesia,
217,218,0.0,Bulnesia carrapo,Zygophyllaceae,1.0,,,Bulnesia,
218,219,0.0,Bulnesia sarmientoi,Zygophyllaceae,0.0,,palo santo,Bulnesia,
219,220,0.0,Burkea africana,Leguminosae,,,,Burkea,
220,221,0.0,Bursera simaruba,Burseraceae,,,,Bursera,
221,222,0.0,Buxus macowanii,Buxaceae,,,,Buxus,
222,223,0.0,Buxus sempervirens,Buxaceae,,,,Buxus,
223,224,0.0,Byrsonima crassifolia,Malpighiaceae,,,,Byrsonima,
224,225,0.0,Byrsonima spicata,Malpighiaceae,,,,Byrsonima,
225,226,0.0,Cabralea cangerana,Meliaceae,,,,Cabralea,
226,227,0.0,Cabralea canjerana,Meliaceae,0.0,,rebenta cavalo;rebenta canralo;canjerana pindaiborana;canjerana;pindaiborana;canjarana,Cabralea,
227,228,0.0,Caesalpinia echinata,Leguminosae,1.0,,pau-pernambuco;orabutá;pau-rosado;ibirapitanga;brasileto;pau-brasil,Caesalpinia,
228,229,0.0,Caesalpinia ferrea,Leguminosae,,,,Caesalpinia,
229,230,0.0,Caesalpinia granadillo,Leguminosae,,,,Caesalpinia,
230,231,0.0,Caesalpinia paraguariensis,Leguminosae,1.0,,guayacáu;ibirá-berá;guayacaú negro;guayacáu negro,Caesalpinia,
231,232,0.0,Caesalpinia platyloba,Leguminosae,,,,Caesalpinia,
232,233,0.0,Calophyllum brasiliense,Clusiaceae,,,,Calophyllum,
233,234,0.0,Calophyllum ferrugineum,Clusiaceae,,,,Calophyllum,
234,235,0.0,Calophyllum inophyllum,Clusiaceae,0.0,,saraphee naen;foraha;digo;palo maria;ndilo;penaga laut;kra thing;alexandrian laurel;njamplung;poenago;caymun;bangkalan;takamaka;damba;dingkaran;punnai;ponnyet;bintangor laut;camplong;naowakan;beach calophyllum;borneo mahogany;segeju;kating;bitaog;fetau,Calophyllum,
235,236,0.0,Calophyllum papuanum,Clusiaceae,0.0,,,Calophyllum,
236,237,0.0,Calophyllum peekelii,Clusiaceae,0.0,,baula,Calophyllum,
237,238,0.0,Calophyllum tetrapterum,Clusiaceae,0.0,,bintangor kuning;tanghon;cong vay oc,Calophyllum,
238,239,0.0,Calophyllum tomentosum,Clusiaceae,1.0,,,Calophyllum,
239,240,0.0,Calophyllum vitiense,Clusiaceae,0.0,,damanu,Calophyllum,
240,241,0.0,Calpocalyx heitzii,Leguminosae,1.0,,miama,Calpocalyx,
241,242,0.0,Calycophyllum candidissimum,Rubiaceae,,,,Calycophyllum,
242,243,0.0,Calycophyllum multiflorum,Rubiaceae,,,,Calycophyllum,
243,244,0.0,Calycophyllum spruceanum,Rubiaceae,,,,Calycophyllum,
244,245,0.0,Campnosperma auriculatum,Anacardiaceae,,,,Campnosperma,
245,246,0.0,Campnosperma brevipetiolatum,Anacardiaceae,,,,Campnosperma,
246,247,0.0,Campnosperma coriaceum,Anacardiaceae,,,,Campnosperma,
247,248,0.0,Campnosperma montanum,Anacardiaceae,,,,Campnosperma,
248,249,0.0,Campnosperma panamense,Anacardiaceae,,,,Campnosperma,
249,250,0.0,Campnosperma squamatum,Anacardiaceae,,,,Campnosperma,
250,251,0.0,Cananga odorata,Annonaceae,,,,Cananga,
251,252,0.0,Canarium euphyllum,Burseraceae,,,,Canarium,
252,253,0.0,Canarium hirsutum,Burseraceae,,,,Canarium,
253,254,0.0,Canarium indicum,Burseraceae,,,,Canarium,
254,255,0.0,Canarium littorale,Burseraceae,0.0,,kedondong puteh;deluwak;damar kahingai;kawangan;kenari;ki kanari;jelemu nanking;kedondong gergaji;kedondong bulan;mardundung;kedondong,Canarium,
255,256,0.0,Canarium luzonicum,Burseraceae,1.0,,piling-liitan;pili-pili;belis;malapili,Canarium,
256,257,0.0,Canarium schweinfurtii,Burseraceae,,,,Canarium,
257,258,0.0,Cantleya corniculata,Stemonuraceae,1.0,,,Cantleya,
258,259,0.0,Carallia brachiata,Rhizophoraceae,,,,Carallia,
259,260,0.0,Carapa grandiflora,Meliaceae,,,,Carapa,
260,261,0.0,Carapa guianensis,Meliaceae,0.0,,,Carapa,
261,262,0.0,Carapa procera,Meliaceae,,,,Carapa,
262,263,0.0,Cardwellia sublimis,Proteaceae,,,,Cardwellia,
263,264,0.0,Cariniana domestica,Lecythidaceae,,,,Cariniana,
264,265,0.0,Cariniana estrellensis,Lecythidaceae,,,,Cariniana,
265,266,0.0,Cariniana legalis,Lecythidaceae,1.0,,jequitibá rosa;pau-carga;sapucaia de apito;sapucaia-de-apito;pau carga;jequitibá vermello;jequitibá branco,Cariniana,
266,267,0.0,Cariniana pyriformis,Lecythidaceae,0.0,,bacu;jequitiva;abarco;colombian mahogany;jequitibá,Cariniana,
267,268,0.0,Carpinus betulus,Betulaceae,0.0,,caucasian hornbeam;common hornbeam;hornbeam,Carpinus,
268,269,0.0,Carpinus caroliniana,Betulaceae,0.0,,"capillero;palo borracho;dsuram cura;mora blanca;pepinque;palo barranco;pipinque;c’ut bah té;mora de la sierra;american hornbeam;tzutcamay;caxin;alisillo;oreja de ratón;palo de barranca;moralillo;palo blanco;musclewood;blue beech;tzaráracua-ucua,;lechillo;hornbeam;palo liso",Carpinus,
269,270,0.0,Carya alba,Juglandaceae,,,,Carya,
270,271,0.0,Carya aquatica,Juglandaceae,,,,Carya,
271,272,0.0,Carya cordiformis,Juglandaceae,,,,Carya,
272,273,0.0,Carya glabra,Juglandaceae,,,,Carya,
273,274,0.0,Carya illinoinensis,Juglandaceae,,,,Carya,
274,275,0.0,Carya laciniosa,Juglandaceae,,,,Carya,
275,276,0.0,Carya myristiciformis,Juglandaceae,,,,Carya,
276,277,0.0,Carya ovata,Juglandaceae,,,,Carya,
277,278,0.0,Caryocar costaricense,Caryocaraceae,1.0,,ajo;ajillo;almendrón;manú;ají;almendrillo;plomillo;cagüí,Caryocar,
278,279,0.0,Caryocar glabrum,Caryocaraceae,,,,Caryocar,
279,280,0.0,Caryocar nuciferum,Caryocaraceae,,,,Caryocar,
280,281,0.0,Caryocar villosum,Caryocaraceae,,,,Caryocar,
281,282,0.0,Caryota urens,Arecaceae,0.0,,wine palm;fishtail palm;kitul;toddy palm,Caryota,
282,283,0.0,Casearia battiscombei,Salicaceae,,,,Casearia,
283,284,0.0,Casearia dallachyi,Salicaceae,,,,Casearia,
284,285,0.0,Casearia gossypiosperma,Salicaceae,,,,Casearia,
285,286,0.0,Casearia praecox,Salicaceae,,,,Casearia,
286,287,0.0,Cassia javanica,Leguminosae,,,,Cassia,
287,288,0.0,Cassipourea gummiflua,Rhizophoraceae,,,,Cassipourea,
288,289,0.0,Cassipourea malosana,Rhizophoraceae,,,,Cassipourea,
289,290,0.0,Castanea crenata,Fagaceae,,,,Castanea,
290,291,0.0,Castanea dentata,Fagaceae,,,,Castanea,
291,292,0.0,Castanea sativa,Fagaceae,,,,Castanea,
292,293,0.0,Castanopsis acuminatissima,Fagaceae,,,,Castanopsis,
293,294,0.0,Castanopsis argentea,Fagaceae,,,,Castanopsis,
294,295,0.0,Castanopsis cuspidata,Fagaceae,,,,Castanopsis,
295,296,0.0,Castanopsis javanica,Fagaceae,,,,Castanopsis,
