index,hscode_6,Description,keywords,sc_names
5137,930599,Parts && accessories of articles of headings 9301 to 9304 && Other && Other && Parts && accessories of articles of headings 9301 to 9304 && Other && Other && Of articles of heading 9303 other than shotguns or rifles && Parts && accessories of articles of headings 9301 to 9304 && Other && Other && Of articles of subheading 9304.00.20 or 9304.00.40 && Parts && accessories of articles of headings 9301 to 9304 && Other && Other && Of articles of subheading 9304.00.20 or 9304.00.40 && Parts && accessories of paintball markers && Parts && accessories of articles of headings 9301 to 9304 && Other && Other && Of articles of subheading 9304.00.20 or 9304.00.40 && Other && Parts && accessories of articles of headings 9301 to 9304 && Other && Other && Other && Parts && accessories of articles of headings 9301 to 9304 && Other && Other && Parts && accessories of articles of headings 9301 to 9304 && Other && Other && Of articles of heading9303 other than shotguns or rifles && Parts && accessories of articles of headings 9301 to 9304 && Other && Other && Of articles of subheading 9304.00.20 or 9304.00.40 && Parts && accessories of articles of headings 9301 to 9304 && Other && Other && Other,paintball markers;shotguns or rifles;paintball;subheading;accessories;shotguns;parts;articles of headings;articles of heading;rifles;articles;articles of subheading;heading9303;headings;heading;markers;articles of heading9303;accessories of paintball;accessories of articles,
5138,930621,Bombs &&  grenades &&  torpedoes &&  mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunition && projectiles && parts thereof &&  including shot && cartridgewads && Shotgun cartridges && parts thereof; air gun pellets && Cartridges && Bombs &&  grenades &&  torpedoes && mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunitionand projectiles && parts thereof &&  including shot && cartridge wads && Shotgun cartridges && partsthereof; air gun pellets && Bombs &&  grenades &&  torpedoes && mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunitionand projectiles && parts thereof &&  including shot && cartridge wads && Shotgun cartridges && partsthereof; air gun pellets && Cartridges,cartridgewads;grenades;cartridges;partsthereof;gun;pellets;shotgun;missiles;munitions of war;thereof;shot;air gun;ammunition;wads;cartridge wads;ammunitionand;torpedoes;munitions;mines;parts;including;cartridge;including shot;gun pellets;bombs;similar;shotgun cartridges;air;similar munitions;war;ammunitionand projectiles;projectiles;parts thereof;air gun pellets,
5139,930629,Bombs &&  grenades &&  torpedoes &&  mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunition && projectiles && parts thereof &&  including shot && cartridgewads && Shotgun cartridges && parts thereof; air gun pellets && Other && Bombs &&  grenades &&  torpedoes && mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunitionand projectiles && parts thereof &&  including shot && cartridge wads && Shotgun cartridges && partsthereof; air gun pellets && Other,cartridgewads;grenades;cartridges;partsthereof;gun;pellets;shotgun;missiles;munitions of war;thereof;shot;air gun;ammunition;wads;cartridge wads;ammunitionand;torpedoes;munitions;mines;parts;including;cartridge;including shot;gun pellets;bombs;similar;shotgun cartridges;air;similar munitions;war;ammunitionand projectiles;projectiles;parts thereof;air gun pellets,
5140,930630,Bombs &&  grenades &&  torpedoes &&  mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunition && projectiles && parts thereof &&  including shot && cartridgewads && Other cartridges && parts thereof && Bombs &&  grenades &&  torpedoes &&  mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunition && projectiles && parts thereof &&  including shot && cartridgewads && Other cartridges && parts thereof && Cartridges && empty cartridge shells && Bombs &&  grenades &&  torpedoes &&  mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunition && projectiles && parts thereof &&  including shot && cartridgewads && Other cartridges && parts thereof && Cartridges && empty cartridge shells && Cartridges containing a projectile && Bombs &&  grenades &&  torpedoes &&  mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunition && projectiles && parts thereof &&  including shot && cartridgewads && Other cartridges && parts thereof && Cartridges && empty cartridge shells && Cartridges containing a projectile && For rifles or pistols && Bombs &&  grenades &&  torpedoes &&  mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunition && projectiles && parts thereof &&  including shot && cartridgewads && Other cartridges && parts thereof && Cartridges && empty cartridge shells && Cartridges containing a projectile && For rifles or pistols && 22 caliber && Bombs &&  grenades &&  torpedoes &&  mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunition && projectiles && parts thereof &&  including shot && cartridgewads && Other cartridges && parts thereof && Cartridges && empty cartridge shells && Cartridges containing a projectile && For rifles or pistols && Other && Bombs &&  grenades &&  torpedoes &&  mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunition && projectiles && parts thereof &&  including shot && cartridgewads && Other cartridges && parts thereof && Cartridges && empty cartridge shells && Cartridges containing a projectile && Other && Bombs &&  grenades &&  torpedoes &&  mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunition && projectiles && parts thereof &&  including shot && cartridgewads && Other cartridges && parts thereof && Cartridges && empty cartridge shells && Cartridges for riveting or similar tools or for captive-bolt humane killers && parts thereof && Bombs &&  grenades &&  torpedoes &&  mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunition && projectiles && parts thereof &&  including shot && cartridgewads && Other cartridges && parts thereof && Cartridges && empty cartridge shells && Empty cartridge shells && Bombs &&  grenades &&  torpedoes &&  mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunition && projectiles && parts thereof &&  including shot && cartridgewads && Other cartridges && parts thereof && Cartridges && empty cartridge shells && Empty cartridge shells && For rifles or pistols && Bombs &&  grenades &&  torpedoes &&  mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunition && projectiles && parts thereof &&  including shot && cartridgewads && Other cartridges && parts thereof && Cartridges && empty cartridge shells && Empty cartridge shells && Other && Bombs &&  grenades &&  torpedoes &&  mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunition && projectiles && parts thereof &&  including shot && cartridgewads && Other cartridges && parts thereof && Cartridges && empty cartridge shells && Other && Bombs &&  grenades &&  torpedoes &&  mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunition && projectiles && parts thereof &&  including shot && cartridgewads && Other cartridges && parts thereof && Other && Bombs &&  grenades &&  torpedoes && mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunitionand projectiles && parts thereof &&  including shot && cartridge wads && Other cartridges && parts thereof && Bombs &&  grenades &&  torpedoes && mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunitionand projectiles && parts thereof &&  including shot && cartridge wads && Other cartridges && parts thereof && Cartridges && empty cartridge shells && Bombs &&  grenades &&  torpedoes && mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunitionand projectiles && parts thereof &&  including shot && cartridge wads && Other cartridges && parts thereof && Cartridges && empty cartridge shells && Cartridges containing a projectile && Bombs &&  grenades &&  torpedoes && mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunitionand projectiles && parts thereof &&  including shot && cartridge wads && Other cartridges && parts thereof && Cartridges && empty cartridge shells && Cartridges containing a projectile && For rifles or pistols && Bombs &&  grenades &&  torpedoes && mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunitionand projectiles && parts thereof &&  including shot && cartridge wads && Other cartridges && parts thereof && Cartridges && empty cartridge shells && Cartridges containing a projectile && For rifles or pistols && 22 caliber && Bombs &&  grenades &&  torpedoes && mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunitionand projectiles && parts thereof &&  including shot && cartridge wads && Other cartridges && parts thereof && Cartridges && empty cartridge shells && Cartridges containing a projectile && For rifles or pistols && Other && Bombs &&  grenades &&  torpedoes && mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunitionand projectiles && parts thereof &&  including shot && cartridge wads && Other cartridges && parts thereof && Cartridges && empty cartridge shells && Cartridges containing a projectile && Other && Bombs &&  grenades &&  torpedoes && mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunitionand projectiles && parts thereof &&  including shot && cartridge wads && Other cartridges && parts thereof && Cartridges && empty cartridge shells && Cartridges for rivetingor similar tools or for captive-bolt humane killers && parts thereof && Bombs &&  grenades &&  torpedoes && mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunitionand projectiles && parts thereof &&  including shot && cartridge wads && Other cartridges && parts thereof && Cartridges && empty cartridge shells && Emptycartridge shells && Bombs &&  grenades &&  torpedoes && mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunitionand projectiles && parts thereof &&  including shot && cartridge wads && Other cartridges && parts thereof && Cartridges && empty cartridge shells && Emptycartridge shells && For rifles or pistols && Bombs &&  grenades &&  torpedoes && mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunitionand projectiles && parts thereof &&  including shot && cartridge wads && Other cartridges && parts thereof && Cartridges && empty cartridge shells && Emptycartridge shells && Other && Bombs &&  grenades &&  torpedoes && mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunitionand projectiles && parts thereof &&  including shot && cartridge wads && Other cartridges && parts thereof && Cartridges && empty cartridge shells && Other && Bombs &&  grenades &&  torpedoes && mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunitionand projectiles && parts thereof &&  including shot && cartridge wads && Other cartridges && parts thereof && Other,containing;cartridgewads;projectile;killers;cartridges containing;grenades;cartridges;pistols;cartridges for rivetingor;emptycartridge shells;riveting;rivetingor similar tools;missiles;munitions of war;bolt humane;thereof;shot;ammunition;wads;cartridge wads;ammunitionand;similar tools;torpedoes;munitions;bolt;parts thereof;tools;mines;parts;including;caliber;cartridge;humane killers;including shot;humane;rifles or pistols;captive;cartridges for riveting;bolt humane killers;emptycartridge;bombs;similar;rivetingor;rivetingor similar;containing a projectile;similar munitions;war;riveting or similar;rifles;ammunitionand projectiles;projectiles;cartridge shells;shells,
5141,930690,Bombs &&  grenades &&  torpedoes &&  mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunition && projectiles && parts thereof &&  including shot && cartridgewads && Other && Bombs &&  grenades &&  torpedoes &&  mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunition && projectiles && parts thereof &&  including shot && cartridgewads && Other && Guided missiles && Bombs &&  grenades &&  torpedoes &&  mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunition && projectiles && parts thereof &&  including shot && cartridgewads && Other && Bombs &&  grenades &&  torpedoes &&  mines && similar munitions of war; other ammunition && projectiles && Bombs &&  grenades &&  torpedoes &&  mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunition && projectiles && parts thereof &&  including shot && cartridgewads && Other && Bombs &&  grenades &&  torpedoes &&  mines && similar munitions of war; other ammunition && projectiles && Paintballs && Bombs &&  grenades &&  torpedoes &&  mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunition && projectiles && parts thereof &&  including shot && cartridgewads && Other && Bombs &&  grenades &&  torpedoes &&  mines && similar munitions of war; other ammunition && projectiles && Other && Bombs &&  grenades &&  torpedoes &&  mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunition && projectiles && parts thereof &&  including shot && cartridgewads && Other && Parts for guided missiles && Bombs &&  grenades &&  torpedoes &&  mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunition && projectiles && parts thereof &&  including shot && cartridgewads && Other && Parts for bombs &&  grenades &&  torpedoes &&  mines && similar munitions of war; parts of other ammunition && projectiles && Bombs &&  grenades &&  torpedoes && mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunitionand projectiles && parts thereof &&  including shot && cartridge wads && Other && Bombs &&  grenades &&  torpedoes && mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunitionand projectiles && parts thereof &&  including shot && cartridge wads && Other && Guided missiles && Bombs &&  grenades &&  torpedoes && mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunitionand projectiles && parts thereof &&  including shot && cartridge wads && Other && Bombs &&  grenades && torpedoes &&  mines && similar munitions of war; other ammunition && projectiles && Bombs &&  grenades &&  torpedoes && mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunitionand projectiles && parts thereof &&  including shot && cartridge wads && Other && Parts for guided missiles && Bombs &&  grenades &&  torpedoes && mines &&  missiles && similar munitions of war && parts thereof; cartridges && other ammunitionand projectiles && parts thereof &&  including shot && cartridge wads && Other && Parts for bombs &&  grenades &&  torpedoes &&  minesand similar munitions of war; parts of other ammunition && projectiles,cartridgewads;grenades;cartridges;minesand similar;parts for bombs;missiles;munitions of war;thereof;shot;ammunition;wads;cartridge wads;ammunitionand;torpedoes;munitions;parts for guided;mines;parts;including;cartridge;including shot;minesand similar munitions;guided missiles;minesand;bombs;similar;paintballs;similar munitions;war;ammunitionand projectiles;guided;projectiles;parts thereof,
5142,940110,Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Seats of a kind used for aircraft && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Seats of a kind used for aircraft && Leather upholstered && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Seats of a kind used for aircraft && Other && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Seats of a kind used for aircraft && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Seats of a kind used for aircraft && Leather upholstered && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Seats of a kind used for aircraft && Other,aircraft;kind;seats;thereof;beds;convertible into beds;parts;ofheading;heading;leather upholstered;convertible;leather;upholstered;parts thereof,
5143,940120,Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Seats of a kind used for motor vehicles && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Seats of a kind used formotor vehicles,kind;parts thereof;kind used formotor;thereof;beds;convertible into beds;parts;ofheading;motor vehicles;formotor;heading;motor;convertible;seats;formotor vehicles;vehicles,
5144,940130,Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Swivel seats with variable height adjustment && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Swivel seats with variable height adjustment && With wooden frame && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Swivel seats with variable height adjustment && Other && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Swivel seats with variable height adjustment && Other && Household && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Swivel seats with variable height adjustment && Other && Other && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Swivel seats with variable height adjustment && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Swivel seats with variable height adjustment && With wooden frame && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Swivel seats with variable height adjustment && Other && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Swivel seats with variable height adjustment && Other && Household && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Swivel seats with variable height adjustment && Other && Other,frame;adjustment;household;heading;seats;wooden frame;variable;seats with variable;thereof;swivel seats;height;swivel;convertible into beds;parts;wooden;convertible;variable height;variable height adjustment;beds;ofheading;height adjustment;parts thereof,
5145,940140,Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Seats other than garden seats or camping equipment &&  convertible into beds && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Seats of cane &&  osier &&  bamboo or similar materials && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with metal frames && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Seats other than garden seats orcamping equipment &&  convertible into beds,similar materials;garden seats;camping;seats orcamping;heading;camping equipment;seats;seats orcamping equipment;wooden frames;thereof;orcamping;orcamping equipment;garden seats orcamping;metal frames;equipment;materials;convertible into beds;parts;frames;wooden;seats of cane;convertible;bamboo;similar;cane;beds;ofheading;metal;bamboo or similar;garden;seats or camping;osier;parts thereof,
5146,940152,Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Seats of cane &&  osier &&  bamboo or similar materials && Of bamboo,cane;similar materials;materials;thereof;beds;convertible into beds;parts;similar;seats of cane;bamboo or similar;heading;convertible;seats;osier;parts thereof;bamboo,
5147,940153,Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Seats of cane &&  osier &&  bamboo or similar materials && Of rattan,cane;similar materials;materials;rattan;beds;convertible into beds;parts;thereof;similar;seats of cane;bamboo or similar;heading;convertible;seats;osier;parts thereof;bamboo,
5148,940159,Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Seats of cane &&  osier &&  bamboo or similar materials && Other && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Seats of cane && osier &&  bamboo or similar materials && Other,cane;similar materials;materials;thereof;beds;convertible into beds;parts;ofheading;similar;seats of cane;bamboo or similar;heading;convertible;seats;osier;parts thereof;bamboo,
5149,940161,Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Chairs && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Chairs && Of teak && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Chairs && Of teak && Household && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Chairs && Of teak && Other && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Chairs && Other && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Chairs && Other && Chairs for children &&  including highchairs && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Chairs && Other && Other household && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Chairs && Other && Other && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Other && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Other && Stationary activity centers for children && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Other && Other seats for children && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Other && Other household && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Other && Other && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Chairs && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Chairs && Of teak && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Chairs && Of teak && Household && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Chairs && Of teak && Other && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Chairs && Other && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Chairs && Other && Chairs for children &&  including highchairs && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Chairs && Other && Other household && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Chairs && Other && Other && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Other && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Other && Stationary activity center for children && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Other && Other seats for children && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Other && Other household && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Upholstered && Other && Other,stationary activity;highchairs;teak;center for children;household;heading;chairs for children;seats;center;wooden frames;stationary;thereof;including highchairs;children;stationary activity centers;seats for children;activity;parts;chairs;convertible into beds;including;frames;wooden;convertible;activity center;upholstered;stationary activity center;activity centers;beds;ofheading;centers;parts thereof;centers for children,
5150,940169,Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Bent-wood seats && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Bent-wood seats && Household && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Bent-wood seats && Other && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Chairs && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Chairs && Of teak && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Chairs && Of teak && Household && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Chairs && Of teak && Other && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Chairs && Other && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Chairs && Other && Chairs for children including highchairs && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Chairs && Other && Other household && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Chairs && Other && Other && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Other && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Other && Stationary activity centers for children && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Other && Other seats for children && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Other && Other household && Seats (other than those of heading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Other && Other && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Bent-wood seats && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Bent-wood seats && Household && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Bent-wood seats && Other && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Chairs && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Chairs && Of teak && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Chairs && Of teak && Household && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Chairs && Of teak && Other && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Chairs && Other && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Chairs && Other && Chairs for children &&  including highchairs && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Chairs && Other && Other household && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Chairs && Other && Other && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Other && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Other && Stationary activity center for children && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Other && Other seats for children && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Other && Other household && Seats (other than those ofheading 9402) &&  whether or not convertible into beds &&  && parts thereof && Other seats &&  with wooden frames && Other && Other && Other && Other,stationary activity;highchairs;teak;center for children;household;heading;chairs for children;seats;center;wooden frames;stationary;thereof;including highchairs;children;stationary activity centers;seats for children;wood;activity;chairs;convertible into beds;including;parts;frames;children including;wooden;convertible;activity center;bent;stationary activity center;activity centers;beds;ofheading;children including highchairs;wood seats;centers;parts thereof;centers for children,
