,hs_code,Indent,Description
160,4407.29.01.40,3,Andiroba (<u>Carapa guianensis && Cprocera)</u> &&  <newline/>Padauk (<u>Pterocarpus spp.</u>) <u>a.k.a. Padouk</u>
161,4407.29.01.60,3,Cedro (<u>Cedrela spp.)</u> &&  also known as Spanish Cedar
162,4407.29.01.81,3,Other
163,,1,Other
164,4407.91.00,2,Of oak (<u>Quercus</u> spp.)
165,4407.91.00.22,3,Red oak
166,4407.91.00.63,3,Other
167,4407.92.00.00,2,Of beech (<u>Fagus</u> spp.)
168,4407.93.00,2,Of maple (<u>Acer</u> spp.)
169,4407.93.00.10,3,Hard maple
170,4407.93.00.20,3,Other
171,4407.94.00.00,2,Of cherry (<u>Prunus </u>spp.)
172,4407.95.00.00,2,Of ash (<u>Fraxinus </u>spp.)
173,4407.99.01,2,Other
174,,3,Birch (Betula spp.)
175,4407.99.01.11,4,North American (Betula alleghaniensis &&  Betula papyrifera &&  Betula lenta &&  Betula nigra)
176,4407.99.01.13,4,European (Betula pendula &&  Betula pubescens) &&  also known as Baltic &&  Russian or Chinese birch
177,4407.99.01.19,4,Other
178,4407.99.01.42,3,Hickory (<u>Carya</u> spp.) && pecan (<u>Carya</u> <u>illinoensis</u> &&  <u>Carya</u> <u>pecan</u>)
179,4407.99.01.61,3,Walnut (<u>Juglans</u> spp)<u></u>
180,4407.99.01.63,3,Western red alder (<u>Alnus</u> <u>rubra</u>)
181,4407.99.01.72,3,Yellow poplar (<u>Liriodendron</u> <u>tulipifera</u>)
182,4407.99.01.79,3,Other poplar; aspen; cottonwood
183,4407.99.01.85,3,Jatoba (<u>Hymenaea</u> spp.) &&  also known as Brazilian Cherry
184,4407.99.01.95,3,Other nonconiferous
185,4408,0,Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm
186,4408.10.01,1,Coniferous
187,4408.10.01.25,2,Douglas fir
188,4408.10.01.45,2,Other
189,,1,Of tropical wood
190,4408.31.01.00,2,Dark Red Meranti &&  Light Red Meranti && Meranti Bakau
191,4408.39.02,2,Other
192,4408.39.02.10,3,Spliced or end-jointed
193,4408.39.02.90,3,Other
194,4408.90.01,1,Other
195,,2,Spliced or end-jointed
196,4408.90.01.05,3,Ash (<u>Fraxinus</u> spp.)
197,4408.90.01.10,3,Birch (<u>Betula</u> spp.)
198,4408.90.01.15,3,Cherry (<u>Prunus</u> spp.)
199,4408.90.01.21,3,Maple (<u>Acer</u> spp.)
200,,3,Oak (<u>Quercus</u> spp.)
201,4408.90.01.31,4,Red
202,4408.90.01.37,4,Other
203,4408.90.01.45,3,Walnut (<u>Juglans</u> spp.)
204,4408.90.01.51,3,Other
205,,2,Other
206,4408.90.01.56,3,Ash (<u>Fraxinus</u> spp.)
207,4408.90.01.61,3,Birch (<u>Betula</u> spp.)
208,4408.90.01.66,3,Cherry (<u>Prunus</u> spp.)
209,4408.90.01.71,3,Maple (<u>Acer</u> spp.)
210,,3,Oak (Quercus spp.)
211,4408.90.01.76,4,Red
212,4408.90.01.81,4,Other
213,4408.90.01.87,3,Walnut (<u>Juglans</u> spp.)
214,4408.90.01.97,3,Other
215,4409,0,Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed
216,4409.10,1,Coniferous
217,4409.10.05.00,2,Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed
218,,2,Other
219,4409.10.10,3,Wood siding
220,,4,Resawn bevel siding
221,4409.10.10.20,5,Western red cedar
222,4409.10.10.40,5,Other
223,,4,Other
224,4409.10.10.60,5,Western red cedar
225,4409.10.10.80,5,Other
226,4409.10.20.00,3,Wood flooring
227,,3,Wood moldings
228,,4,Standard wood molding
229,4409.10.40,5,Pine (<u>Pinus</u> spp.)
230,4409.10.40.10,6,End-jointed
231,4409.10.40.90,6,Other
232,4409.10.45.00,5,Other
233,4409.10.50.00,4,Other
234,,3,Wood dowel rods
235,4409.10.60.00,4,Plain
236,4409.10.65.00,4,Sanded &&  grooved &&  or otherwise advanced in condition
237,4409.10.90,3,Other
238,4409.10.90.20,4,Western red cedar
239,4409.10.90.40,4,Other
240,,1,Nonconiferous
241,4409.21,2,Of bamboo
242,4409.21.05.00,3,Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed
243,4409.21.90.00,3,Other
244,4409.22,2,Of tropical wood
245,4409.22.05,3,Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed
246,,4,Wood flooring (end-matched)
247,4409.22.05.15,5,Jatoba (<u>Hymenaea</u> spp.) &&  also known as Brazilian Cherry
248,4409.22.05.25,5,Ipe (<u>Tabebuia</u> spp.) &&  also known as Tahibo &&  LaPacho &&  Brazilian walnut &&  && Patagonian walnut
249,4409.22.05.35,5,Santos' mahogany (<u>Myroxylon</u> <u>balsamum</u>) &&  also known as Cabreuva
250,4409.22.05.45,5,Cumaru (<u>Dipteryx</u> spp.) &&  also known as Brazilian teak
251,4409.22.05.55,5,Other
252,4409.22.05.90,4,Other
253,,3,Other
254,4409.22.10.00,4,Wood siding
255,4409.22.25.00,4,Wood flooring
256,,4,Wood moldings
257,4409.22.40.00,5,Standard wood moldings
258,4409.22.50.00,5,Other
259,,4,Wood dowel rods
260,4409.22.60.00,5,Plain
261,4409.22.65.00,5,Sanded &&  grooved or otherwise advanced in condition
262,4409.22.90.00,4,Other<il></il><il></il><il></il>
263,4409.29,2,Other
264,4409.29.06,3,Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed
265,4409.29.06.55,4,Wood flooring (end-matched)
266,4409.29.06.65,4,Other
267,,3,Other
268,4409.29.11.00,4,Wood siding
269,4409.29.26,4,Wood flooring
270,4409.29.26.30,5,Maple (<u>Acer</u> spp.)
271,4409.29.26.50,5,Birch (<u>Betula</u> spp.) && beech (<u>Fagus</u> spp.)
272,4409.29.26.60,5,Other
273,,4,Wood moldings
274,4409.29.41.00,5,Standard wood moldings
275,4409.29.51.00,5,Other
276,,4,Wood dowel rods
277,4409.29.61.00,5,Plain
278,4409.29.66.00,5,Sanded &&  grooved or otherwise advanced in condition
279,4409.29.91.00,4,Other
280,4410,0,Particle board &&  oriented strand board (OSB) && similar board (for example &&  waferboard) of wood or other ligneous materials &&  whether or not agglomerated with resins or other organic binding substances
281,,1,Of wood
282,4410.11.00,2,Particle board
283,4410.11.00.10,3,Unworked or not further worked than sanded
284,4410.11.00.20,3,Surface-covered with melamine-impregnated paper
285,4410.11.00.30,3,Surface-covered with decorative laminates of plastic
286,4410.11.00.60,3,Other
287,4410.12.00,2,Oriented strand board (OSB)
288,4410.12.00.10,3,Unworked or not further worked than sanded
289,4410.12.00.20,3,Other
290,4410.19.00,2,Other
291,4410.19.00.10,3,Unworked or not further worked than sanded
292,4410.19.00.20,3,Surface-covered with melamine-impregnated paper
293,4410.19.00.30,3,Surface-covered with decorative laminates of plastic
294,4410.19.00.60,3,Other
295,4410.90.00.00,1,Other
296,4411,0,Fiberboard of wood or other ligneous materials &&  whether or not bonded with resins or other organic substances
297,,1,Medium density fiberboard (MDF)
298,4411.12,2,Of a thickness not exceeding 5 mm
299,4411.12.10.00,3,Not mechanically worked or surface covered
300,,3,Other
301,,4,Tongued &&  grooved or rabbetted continuously along any of its edges && dedicated for use in the construction of walls &&  ceilings or other parts of buildings
302,4411.12.20.00,5,Laminated boards bonded in whole or in part &&  or impregnated &&  with synthetic resins
303,4411.12.30.00,5,Other
304,,4,Other
305,4411.12.60.00,5,Not surface covered (except for oil treatment)
306,4411.12.90,5,Other
307,4411.12.90.10,6,Standard wood molding
308,4411.12.90.90,6,Other
309,4411.13,2,Of a thickness exceeding 5 mm but not exceeding 9 mm
310,4411.13.10.00,3,Not mechanically worked or surface covered
311,,3,Other
312,,4,Tongued &&  grooved or rabbetted continuously along any of its edges && dedicated for use in the construction of walls &&  ceilings or other parts of buildings
313,4411.13.20.00,5,Laminated boards bonded in whole or in part &&  or impregnated &&  with synthetic resins
314,4411.13.30.00,5,Other
315,,4,Other
316,4411.13.60.00,5,Not surface covered (except for oil treatment)
317,4411.13.90,5,Other
318,4411.13.90.10,6,Standard wood molding
319,4411.13.90.90,6,Other
320,4411.14,2,Of a thickness exceeding 9 mm
321,4411.14.10.00,3,Not mechanically worked or surface covered
322,,3,Other
323,,4,Tongued &&  grooved or rabbetted continuously along any of its edges && dedicated for use in the construction of walls &&  ceilings or other parts of buildings
324,4411.14.20.00,5,Laminated boards bonded in whole or in part &&  or impregnated &&  with synthetic resins
325,4411.14.30.00,5,Other
326,,4,Other
327,4411.14.60.00,5,Not surface covered (except for oil treatment)
328,4411.14.90,5,Other
329,4411.14.90.10,6,Standard wood molding
330,4411.14.90.90,6,Other
331,,1,Other
332,4411.92,2,Of a density exceeding 0.8 g/cm<sup>3</sup> 
333,4411.92.10.00,3,Not mechanically worked or surface covered
334,,3,Other
335,4411.92.20.00,4,Not surface covered (except for oil treatment)
336,,4,Other
337,4411.92.30.00,5,Tileboard which has been continuously worked along any of its edges && is dedicated for use in the construction of walls &&  ceilings or other parts of buildings
338,4411.92.40.00,5,Other
339,4411.93,2,Of a density exceeding 0.5 g/cm<sup>3</sup> but not exceeding 0.8 g/cm<sup>3</sup> 
340,4411.93.10.00,3,Not mechanically worked or surface covered
341,,3,Other
342,,4,Tongued &&  grooved or rabbetted continuously along any of its edges && dedicated for use in the construction of walls &&  ceilings or other parts of buildings
343,4411.93.20.00,5,Laminated boards bonded in whole or in part &&  or impregnated &&  with synthetic resins
344,4411.93.30.00,5,Other
345,,4,Other
346,4411.93.60.00,5,Not surface covered (except for oil treatment)
347,4411.93.90,5,Other
348,4411.93.90.10,6,Standard wood molding
349,4411.93.90.90,6,Other
350,4411.94.00,2,Of a density not exceeding 0.5 g/m<sup>3</sup>
351,,3,Of a density exceeding 0.35 g/m<sup>3</sup> but not exceeding 0.5 g/m<sup>3</sup>
352,,4,Not mechanically worked or surface covered
353,4411.94.00.10,5,Impregnated with bitumen
354,4411.94.00.20,5,Other
355,,4,Other
356,4411.94.00.30,5,Impregnated with bitumen
357,4411.94.00.40,5,Other
358,,3,Other
359,,4,Not mechanically worked or surface covered
360,4411.94.00.50,5,Impregnated with bitumen
361,4411.94.00.60,5,Other
362,,4,Other
363,4411.94.00.70,5,Impregnated with bitumen
364,4411.94.00.80,5,Other
365,4412,0,Plywood &&  veneered panels && similar laminated wood
366,4412.10,1,Of bamboo
367,4412.10.05.00,2,Plywood
368,4412.10.90.00,2,Other
369,,1,Other plywood consisting solely of sheets of wood (other than bamboo) &&  each ply not exceeding 6 mm in thickness
370,4412.31,2,With at least one outer ply of tropical wood
371,,3,Not surface covered &&  or surface covered with a clear or transparent material which does not obscure the grain &&  texture or markings of the face ply
372,4412.31.06,4,With a face ply of birch (<u>Betula</u> spp.)
373,4412.31.06.20,5,Panels not exceeding in any dimension 3.6 mm in thickness &&  1.2 m in width && 2.2 m in length
374,,5,Other
375,4412.31.06.40,6,Not surface covered
376,4412.31.06.60,6,Other
377,4412.31.26,4,With a face ply of Spanish cedar (<u>Cedrela</u> spp.) or walnut (<u>Juglans</u> spp)
378,4412.31.26.10,5,With a face ply of Spanish cedar (<u>Cedrela</u> spp.)
379,4412.31.26.20,5,With a face ply of walnut (<u>Juglans</u> spp.)
380,,4,Other
381,4412.31.41,5,With at least one outer ply of the following tropical woods: Dark Red Meranti &&  Light Red Meranti &&  White Lauan &&  Sipo &&  Limba &&  Okoum̩ &&  Obeche &&  Acajou d'Afrique &&  Sapelli &&  Virola &&  Mahogany &&  Palissandre de Para &&  Palissandre de Rio or Palissandre de Rose
382,4412.31.41.40,6,With a face ply of mahogany (<u>Swietenia</u> spp. or <u>Khaya</u> spp.)
383,,6,Other
384,4412.31.41.50,7,Panels not exceeding in any dimension 3.6 mm in thickness &&  1.2 m in width && 2.2 m in length
385,,7,Other
386,4412.31.41.60,8,Not surface covered
387,,8,Other
388,4412.31.41.75,9,Wood flooring
389,4412.31.41.80,9,Other
390,4412.31.52,5,Other
391,4412.31.52.25,6,Wood flooring
392,,6,Other
393,4412.31.52.35,7,With a face ply of sen (<u>Kalopanax</u> spp.)
394,,7,Other
395,4412.31.52.55,8,Panels not exceeding in any dimension 3.6 mm in thickness &&  1.2 m in width && 2.2 m in length
396,,8,Other
397,4412.31.52.65,9,Not surface covered
398,4412.31.52.75,9,Other
399,,3,Other
400,4412.31.61.00,4,With at least one outer ply of the following tropical woods: Dark Red Meranti &&  Light Red Meranti &&  White Lauan &&  Sipo &&  Limba &&  Okoum̩ &&  Obeche &&  Acajou d'Afrique &&  Sapelli &&  Virola &&  Mahogany &&  Palissandre de Para &&  Palissandre de Rio or Palissandre de Rose
401,4412.31.92.00,4,Other
402,4412.32,2,Other &&  with at least one outer ply of nonconiferous wood
403,,3,Not surface covered &&  or surface covered with a clear or transparent material which does not obscure the grain &&  texture or markings of the face ply
404,4412.32.06,4,With a face ply of birch (<u>Betula</u> spp.)
405,4412.32.06.20,5,Panels not exceeding in any dimension 3.6 mm in thickness &&  1.2 m in width && 2.2 m in length.
406,,5,Other
407,4412.32.06.40,6,Not surface covered
408,,6,Other
409,4412.32.06.65,7,Wood flooring
410,4412.32.06.70,7,Other
411,4412.32.26,4,With a face ply of Spanish cedar (<u>Cedrela</u> spp.) or walnut (<u>Juglans </u>spp.<u></u>)
412,4412.32.26.10,5,With a face ply of Spanish cedar (<u>Cedrela</u> spp.)
413,,5,With a face ply of walnut (<u>Juglans</u> spp.)
414,4412.32.26.25,6,Wood flooring
415,4412.32.26.30,6,Other
416,4412.32.32,4,Other
417,4412.32.32.25,5,Wood flooring.
418,,5,Other
419,4412.32.32.35,6,With a face ply of sen (<u>Kalopanax</u> spp.)
420,4412.32.32.55,6,With a face ply of mahogany <u></u> (<u>Swietenia </u>spp. or <u>Khaya</u> spp.)
421,,6,Other
422,4412.32.32.65,7,Panels not exceeding in any di- mension 3.6 mm in thickness &&  <il>1.2 m</il> in width && 2.2 m in length
423,,7,Other
424,4412.32.32.75,8,Not surface covered
425,4412.32.32.85,8,Other
426,4412.32.57.00,3,Other
427,4412.39,2,Other &&  with both outer plies of coniferous wood
428,,3,Not surface covered &&  or surface covered with a clear or transparent material which does not obscure the grain &&  texture or markings of the face ply
429,4412.39.10.00,4,With a face ply of Parana pine (<u>Araucaria</u> <u>angustifolia</u>)
430,4412.39.30.00,4,With a face ply of European red pine (<u>Pinus</u> <u>silvestris</u>)
431,4412.39.40,4,Other
432,,5,With at least one outer ply of Douglas fir (<u>Pseudotsuga</u> <u>menziesii</u>)
433,4412.39.40.11,6,Rough &&  or touch sanded for sizing purposes &&  but not further processed
434,4412.39.40.12,6,Fully sanded on at least one face &&  but not further processed
435,4412.39.40.19,6,Other
436,,5,With at least one outer ply of long leaf pine (<u>Pinus</u> <u>palustris</u>) &&  short leaf pine (<u>Pinus</u> <u>echinata</u>) &&  southern yellow pine (loblolly pine)(<u>Pinus</u> <u>taeda</u>) &&  slash pine (<u>Pinus</u> <u>elliotti</u>) &&  pitch pine (<u>Pinus</u> <u>rigida</u>) or Virginia pine (<u>Pinus</u> <u>virginiana</u>)
437,4412.39.40.31,6,Rough &&  or touch sanded for sizing purposes &&  but not further processed
438,4412.39.40.32,6,Fully sanded on at least one face &&  but not further processed
439,4412.39.40.39,6,Other
440,,5,With at least one outer ply of <u>Agathis</u> spp.
441,4412.39.40.51,6,Rough &&  or touch sanded for sizing purposes &&  but not further processed
442,4412.39.40.52,6,Fully sanded on at least one face &&  but not further processed
443,4412.39.40.59,6,Other
444,,5,Other
445,4412.39.40.61,6,Rough &&  or touch sanded for sizing purposes &&  but not further processed
446,4412.39.40.62,6,Fully sanded on at least one face &&  but not further processed
447,4412.39.40.69,6,Other
448,4412.39.50,3,Other
449,4412.39.50.10,4,With at least one outer ply of Douglas fir (<u>Pseudotsuga</u> <u>menziesii</u>)
450,4412.39.50.30,4,With at least one outer ply of long leaf pine (<u>Pinus</u> <u>palustris</u>) &&  short leaf pine (<u>Pinus</u> <u>echinata</u>) &&  southern yellow pine (loblolly pine) (<u>Pinus</u> <u>taeda</u>) &&  slash pine (<u>Pinus</u> <u>elliotti</u>) &&  pitch pine (<u>Pinus</u> <u>rigida</u>) or Virginia pine (<u>Pinus</u> <u>virginiana</u>)
451,4412.39.50.50,4,Other
452,,1,Other
453,4412.94,2,Blockboard &&  laminboard && battenboard
454,,3,With at least one outer ply of nonconiferous wood
455,,4,Plywood
456,,5,Not surface covered &&  or surface covered with a clear or transparent material which does not obscure the grain &&  texture or markings of the face ply
457,4412.94.10,6,With a face ply of birch (<u>Betula</u> spp.)<div></div>
458,4412.94.10.30,7,Not surface covered
459,4412.94.10.50,7,Other
460,4412.94.31,6,Other
461,4412.94.31.05,7,Wood flooring
462,,7,Other
463,4412.94.31.11,8,With a face ply of Spanish cedar (<u>Cedrela</u> spp.)
464,4412.94.31.21,8,With a face ply of walnut (<u>Juglans</u> spp.)
465,4412.94.31.41,8,With a face ply of mahogany (<u>Swietenia</u> spp. or <u>Khaya</u> spp.)
466,,8,Other
467,4412.94.31.61,9,Not surface covered
468,4412.94.31.75,9,Other
469,4412.94.41.00,5,Other
470,4412.94.51.00,4,Other
471,,3,Other
472,,4,Plywood
473,,5,Not surface covered &&  or surface covered with a clear or transparent material which does not obscure the grain &&  texture or markings of the face ply
474,4412.94.60.00,6,With a face ply of Parana pine (<u>Araucaria</u> <u>angustifolia</u>)
475,4412.94.70.00,6,With a face ply of European red pine (<u>Pinus silvestris</u>)
476,4412.94.80.00,6,Other
477,4412.94.90.00,5,Other
478,4412.94.95.00,4,Other
479,4412.99,2,Other
480,,3,With at least one outer ply of nonconiferous wood
481,4412.99.06.00,4,Containing at least one layer of particle board
482,,4,Other
483,,5,Plywood
484,,6,Not surface covered &&  or surface covered with a clear or transparent material which does not obscure the grain &&  texture or markings of the face ply
485,4412.99.10,7,With a face ply of birch (<u>Betula</u> spp.)
486,4412.99.10.20,8,Panels not exceeding in any dimension 3.6 mm in thickness &&  1.2 m in width && 2.2 m in length
487,,8,Other
488,4412.99.10.30,9,Not surface covered
489,4412.99.10.40,9,Other
490,4412.99.31,7,Other
491,4412.99.31.10,8,With a face ply of Spanish cedar (<u>Cedrela</u> spp.)
