,Indent,Description,hs_code
33,4.0,Southern yellow pine (Loblolly pine ( <i>Pinus taeda</i> )) &&  long leaf pine ( <i>Pinus palustris</i> ) &&  pitch pine ( <i> Pinus rigida </i> ) &&  short leaf pine ( <i>Pinus echinada</i> ) &&  slash pine ( <i>Pinus elliottii</i>,4403.20.00.20
34,4.0,Ponderosa pine ( <i>Pinus ponderosa</i> ),4403.20.00.25
35,4.0,Other,4403.20.00.30
36,3.0,Spruce ( <i>Picea</i> spp.),4403.20.00.35
37,3.0,Douglas-fir ( <i>Pseudotsuga menziesii</i> ),4403.20.00.40
38,3.0,Other fir; balsam,4403.20.00.42
39,3.0,Port Orford cedar ( <i>Chamaecyparis lawsoniana</i> ),4403.20.00.45
40,3.0,Western hemlock ( <i>Tsugo meterophylla</i> ),4403.20.00.50
41,3.0,Other hemlock,4403.20.00.52
42,3.0,Western red cedar ( <i>Thuja plicata</i> ),4403.20.00.55
43,3.0,Other cedar,4403.20.00.57
44,3.0,Other,4403.20.00.63
45,2.0,Other,4403.20.00.65
46,1.0,Other &&  of tropical wood specified in subheading note 1 to this chapter,4403.41.00
47,2.0,Dark Red Meranti &&  Light Red Meranti && Meranti Bakau,4403.41.00
48,2.0,Other,4403.49.00
49,1.0,Other,4403.91.00
50,2.0,Of oak ( <i>Quercus</i> spp.),4403.91.00
51,3.0,Of red oak,4403.91.00.20
52,3.0,Other,4403.91.00.40
53,2.0,Of beech ( <i>Fagus</i> spp.),4403.92.00
54,2.0,Other,4403.99.00
55,3.0,Pulpwood,4403.99.00.22
56,4.0,Of poplar &&  aspen or cottonwood,4403.99.00.22
57,4.0,Other,4403.99.00.24
58,3.0,Poles &&  piles && posts,4403.99.00.26
59,4.0,Of poplar &&  aspen or cottonwood,4403.99.00.26
60,4.0,Of birch,4403.99.00.27
61,4.0,Other,4403.99.00.29
62,3.0,Other,4403.99.00.30
63,4.0,Of birch ( <i>Betula</i> spp.),4403.99.00.30
64,4.0,Of ash ( <i>Fraxinus</i> spp.),4403.99.00.40
65,4.0,Of western red alder ( <i>Alnus rubra</i> ),4403.99.00.50
66,4.0,Of cherry ( <i>Prunus</i> spp.),4403.99.00.55
67,4.0,Of maple ( <i>Acer</i> spp.),4403.99.00.60
68,4.0,Of yellow poplar ( <i> Liriodendron tulipifera </i> ),4403.99.00.65
69,4.0,Of other poplar; of aspen or cottonwood,4403.99.00.67
70,4.0,Of walnut ( <i>Juglans</i> spp.),4403.99.00.70
71,4.0,Of paulownia ( <i>Paulownia</i> spp.),4403.99.00.75
72,4.0,Other,4403.99.00.91
73,0.0,Hoopwood; split poles; piles &&  pickets && stakes of wood &&  pointed but not sawn lengthwise; wooden sticks &&  roughly trimmed but not turned &&  bent or otherwise worked &&  suitable for the manufacture of walking-sticks &&  umbrellas &&  tool handles or the like; chipwo,4404
74,1.0,Coniferous,4404.10.00
75,2.0,Fence pickets &&  palings && rails,4404.10.00.40
76,2.0,Poles &&  piles && posts,4404.10.00.80
77,2.0,Other,4404.10.00.90
78,1.0,Nonconiferous,4404.20.00
79,2.0,Fence pickets &&  palings && rails,4404.20.00.40
80,2.0,Poles &&  piles && posts,4404.20.00.80
81,2.0,Other,4404.20.00.90
82,0.0,Wood wool (excelsior); wood flour,4405.00.00
83,0.0,Railway or tramway sleepers (cross-ties) of wood,4406
84,1.0,Not impregnated,4406.10.00
85,1.0,Other,4406.90.00
86,0.0,Wood sawn or chipped lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded or end-jointed &&  of a thickness exceeding 6 mm,4407
87,1.0,Coniferous,4407.10.01
88,2.0,Finger-jointed,4407.10.01.1
89,2.0,Other,4407.10.01.2
90,3.0,Treated with paint &&  stain &&  creosote &&  or other preservative,4407.10.01.2
91,3.0,Not treated,4407.10.01.15
92,4.0,"Mixtures of spruce &&  pine &&  && fir (""S-P-F"")",4407.10.01.15
93,4.0,"Mixtures of western hemlock && amabilis fir (""hem-fir"")",4407.10.01.16
94,4.0,Other,4407.10.01.17
95,5.0,Sitka spruce ( <i>Picea sitchensis</i> ),4407.10.01.17
96,6.0,Rough,4407.10.01.17
97,6.0,Other,4407.10.01.18
98,5.0,Other spruce,4407.10.01.19
99,6.0,Rough,4407.10.01.19
100,6.0,Other,4407.10.01.20
101,5.0,Eastern white pine ( <i> Pinus strobus </i> ) && red pine ( <i>Pinus resinosa</i> ),4407.10.01.42
102,6.0,Rough,4407.10.01.42
103,6.0,Other,4407.10.01.43
104,5.0,Lodgepole pine ( <i> Pinus contorta </i> ),4407.10.01.44
105,6.0,Rough,4407.10.01.44
106,6.0,Other,4407.10.01.45
107,5.0,Southern yellow pine (Loblolly pine ( <i>Pinus taeda</i> )) &&  long leaf pine ( <i>Pinus palustris</i> ) &&  pitch pine ( <i> Pinus rigida </i> ) &&  short leaf pine ( <i>Pinus echinata</i> ) &&  slash pine ( <i>Pinus elliottii</i> ) && Virginia pine ( <i>Pinus virginiana</i>,4407.10.01.46
108,6.0,Rough,4407.10.01.46
109,6.0,Other,4407.10.01.47
110,5.0,Ponderosa pine ( <i> Pinus ponderosa </i> ),4407.10.01.48
111,6.0,Rough,4407.10.01.48
112,6.0,Other,4407.10.01.49
113,5.0,Other pine,4407.10.01.52
114,6.0,Rough,4407.10.01.52
115,6.0,Other,4407.10.01.53
116,5.0,Douglas-fir ( <i> Pseudotsuga menziesii </i> ),4407.10.01.54
117,6.0,Rough,4407.10.01.54
118,7.0,Having a minimum dimension less than 5.1 cm,4407.10.01.54
119,7.0,Having a minimum dimension 5.1 cm or more but less than 12.7 cm,4407.10.01.55
120,7.0,Having a minimum dimension 12.7 cm or more,4407.10.01.56
121,6.0,Other,4407.10.01.57
122,5.0,Fir ( <i>Abies</i> spp.),4407.10.01.58
123,6.0,Rough,4407.10.01.58
124,6.0,Other,4407.10.01.59
125,5.0,Hemlock ( <i>Tsuga</i> spp.),4407.10.01.64
126,6.0,Rough,4407.10.01.64
127,6.0,Other,4407.10.01.65
128,5.0,Larch ( <i>Larix</i> spp.),4407.10.01.66
129,6.0,Rough,4407.10.01.66
130,6.0,Other,4407.10.01.67
131,5.0,Western red cedar,4407.10.01.68
132,6.0,Rough,4407.10.01.68
133,6.0,Other,4407.10.01.69
134,5.0,Yellow cedar ( <i>Chamaecyparis nootkanensis</i> ),4407.10.01.74
135,6.0,Rough,4407.10.01.74
136,6.0,Other,4407.10.01.75
137,5.0,Other cedar ( <i>Thuja</i> spp. &&  <i>Juniperus</i> spp. &&  <i>Chamaecyparis</i> spp. &&  <i>Cupressus</i> spp. && <i>Libocedrus</i> spp.),4407.10.01.76
138,6.0,Rough,4407.10.01.76
139,6.0,Other,4407.10.01.77
140,5.0,Redwood ( <i>Sequoia sempervirens</i> ),4407.10.01.82
141,6.0,Rough,4407.10.01.82
142,6.0,Other,4407.10.01.83
143,5.0,Other,4407.10.01.92
144,6.0,Rough,4407.10.01.92
145,6.0,Other,4407.10.01.93
146,1.0,Of tropical wood specified in subheading note 1 to this chapter,4407.21.00
147,2.0,Mahogany ( <i>Swietenia</i> spp.),4407.21.00
148,2.0,Virola &&  Imbuia && Balsa,4407.22.00
149,3.0,Balsa ( <i> Ochroma lagopus </i> ),4407.22.00.6
150,3.0,Other,4407.22.00.91
151,2.0,Dark Red Meranti &&  Light Red Meranti && Meranti Bakau,4407.25.00
152,2.0,White Lauan &&  White Meranti &&  White Seraya &&  Yellow Meranti && Alan,4407.26.00
153,2.0,Sapelli,4407.27.00
154,2.0,Iroko,4407.28.00
155,2.0,Other,4407.29.01
156,3.0,Acajou d'Afrique ( <i>Khaya</i> spp.) &&  also known as African mahogany,4407.29.01.6
157,3.0,Aningre ( <i>Aningeria</i> spp.) &&  also known as Aniegre or Anegre,4407.29.01.11
158,3.0,Keruing ( <i>Dipterocarpus</i> spp.),4407.29.01.16
159,3.0,IpÃ(c) ( <i>Tabebuia</i> spp.),4407.29.01.21
160,3.0,Teak ( <i>Tectona grandis</i> ),4407.29.01.31
161,3.0,Andiroba ( <i>Carapa guianensis && Cprocera)</i>  &&  Padauk ( <i>Pterocarpus</i> spp.) <i>a.k.a. Padouk</i>,4407.29.01.40
162,3.0,Cedro ( <i>Cedrela</i> spp.) &&  also known as Spanish Cedar,4407.29.01.60
163,3.0,Other,4407.29.01.80
164,1.0,Other,4407.91.00
165,2.0,Of oak ( <i>Quercus</i> spp.),4407.91.00
166,3.0,Red oak,4407.91.00.22
167,3.0,Other,4407.91.00.63
168,2.0,Of beech ( <i>Fagus</i> spp.),4407.92.00
169,2.0,Of maple ( <i>Acer spp. </i> ),4407.93.00
170,3.0,Hard maple,4407.93.00.10
171,3.0,Other,4407.93.00.20
172,2.0,Of cherry ( <i>Prunus</i> spp.),4407.94.00
173,2.0,Of ash ( <i>Fraxinus</i> spp.),4407.95.00
174,2.0,Other,4407.99.01
175,3.0,Birch ( <i>Betula</i> spp.),4407.99.01.11
176,4.0,North American ( <i>Betula alleghaniensis &&  Betula papyrifera &&  Betula lenta &&  Betula nigra</i> ),4407.99.01.11
177,4.0,European ( <i>Betula pendula &&  Betula pubescens</i> ) &&  also known as Baltic &&  Russian or Chinese birch,4407.99.01.13
178,4.0,Other,4407.99.01.19
179,3.0,Hickory ( <i>Carya</i> spp.) && pecan ( <i>Carya illinoensis</i>  &&  <i>Carya pecan</i> ),4407.99.01.42
180,3.0,Walnut ( <i>Juglans</i> spp.),4407.99.01.61
181,3.0,Western red alder ( <i>Alnus rubra</i> ),4407.99.01.63
182,3.0,Yellow poplar ( <i>Liriodendron tulipifera</i> ),4407.99.01.72
183,3.0,Other poplar; aspen; cottonwood,4407.99.01.79
184,3.0,Jatoba ( <i>Hymenaea</i> spp.) &&  also known as Brazilian Cherry,4407.99.01.85
185,3.0,Other nonconiferous,4407.99.01.93
186,0.0,Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 m,4408
187,1.0,Coniferous,4408.10.01
188,2.0,Douglas fir,4408.10.01.25
189,2.0,Other,4408.10.01.45
190,1.0,Of tropical wood specified in subheading note 1 to this chapter,4408.31.01
191,2.0,Dark Red Meranti &&  Light Red Meranti && Meranti Bakau,4408.31.01
192,2.0,Other,4408.39.01
193,3.0,Spliced or end-jointed,4408.39.01.10
194,3.0,Other,4408.39.01.90
195,1.0,Other,4408.90.01
196,2.0,Spliced or end-jointed,4408.90.01.5
197,3.0,Ash ( <i>Fraxinus</i> spp.),4408.90.01.5
198,3.0,Birch ( <i>Betula</i> spp.),4408.90.01.10
199,3.0,Cherry ( <i>Prunus</i> spp.),4408.90.01.15
200,3.0,Maple ( <i>Acer</i> spp.),4408.90.01.21
201,3.0,Oak ( <i>Quercus</i> spp.),4408.90.01.31
202,4.0,Red,4408.90.01.31
203,4.0,Other,4408.90.01.37
204,3.0,Walnut ( <i>Juglans</i> spp.),4408.90.01.45
205,3.0,Other,4408.90.01.51
206,2.0,Other,4408.90.01.56
207,3.0,Ash ( <i>Fraxinus</i> spp.),4408.90.01.56
208,3.0,Birch ( <i>Betula</i> spp.),4408.90.01.61
209,3.0,Cherry ( <i>Prunus</i> spp.),4408.90.01.66
210,3.0,Maple ( <i>Acer</i> spp.),4408.90.01.71
211,3.0,Oak ( <i>Quercus</i> spp.),4408.90.01.76
212,4.0,Red,4408.90.01.76
213,4.0,Other,4408.90.01.81
214,3.0,Walnut ( <i>Juglans</i> spp.),4408.90.01.87
215,3.0,Other,4408.90.01.95
216,0.0,Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  re- bated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or en,4409
217,1.0,Coniferous,4409.10
218,2.0,Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed,4409.10.05
219,2.0,Other,4409.10.10
220,3.0,Wood siding,4409.10.10
221,4.0,Resawn bevel siding,4409.10.10.20
222,5.0,Western red cedar,4409.10.10.20
223,5.0,Other,4409.10.10.40
224,4.0,Other,4409.10.10.60
225,5.0,Western red cedar,4409.10.10.60
226,5.0,Other,4409.10.10.80
227,3.0,Wood flooring,4409.10.20
228,3.0,Wood moldings,4409.10.40
229,4.0,Standard wood molding,4409.10.40
230,5.0,Pine ( <i>Pinus</i> spp.),4409.10.40
231,6.0,End-jointed,4409.10.40.10
232,6.0,Other,4409.10.40.90
233,5.0,Other,4409.10.45
234,4.0,Other,4409.10.50
235,3.0,Wood dowel rods,4409.10.60
236,4.0,Plain,4409.10.60
237,4.0,Sanded &&  grooved &&  or otherwise advanced in condition,4409.10.65
238,3.0,Other,4409.10.90
239,4.0,Western red cedar,4409.10.90.20
240,4.0,Other,4409.10.90.40
241,1.0,Nonconiferous,4409.21
242,2.0,Of bamboo,4409.21
243,3.0,Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed,4409.21.05
244,3.0,Other,4409.21.90
245,2.0,Other,4409.29
246,3.0,Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or no planed &&  sanded or end-jointed,4409.29.05
247,4.0,Wood Flooring (end-matched),4409.29.05.15
248,5.0,Jatoba ( <i>Hymenaea</i> spp.) &&  also known as Brazilian Cherry,4409.29.05.15
249,5.0,Ipe ( <i>Tabebuia</i> spp.) &&  also known as Tahibo &&  LaPacho &&  Brazilian walnut &&  && Patagonian walnut,4409.29.05.25
250,5.0,Santos' mahogany ( <i>Myroxylon balsamum</i> ) &&  also known as Cabreuva,4409.29.05.35
251,5.0,Cumaru ( <i> Dipteryx spp. </i> ) &&  also known as Brazilian teak,4409.29.05.45
252,5.0,Other,4409.29.05.55
253,4.0,Other,4409.29.05.65
254,3.0,Other,4409.29.10
255,4.0,Wood siding,4409.29.10
256,4.0,Wood flooring,4409.29.25
257,5.0,Maple ( <i>Acer</i> spp.),4409.29.25.30
258,5.0,Birch ( <i>Betula</i> spp.) && beech ( <i>Fagus</i> spp.),4409.29.25.50
259,5.0,Other,4409.29.25.60
260,4.0,Wood moldings,4409.29.40
261,5.0,Standard wood moldings,4409.29.40
262,5.0,Other,4409.29.50
263,4.0,Wood dowel rods,4409.29.60
264,5.0,Plain,4409.29.60
265,5.0,Sanded &&  grooved or otherwise advanced in condition,4409.29.65
266,4.0,Other,4409.29.90
267,0.0,Particle board &&  oriented strand board (OSB) && similar board (for example &&  waferboard) of wood or other ligneous materials &&  whether or not agglomerated with resins or other organic binding substances,4410
268,1.0,Of wood,4410.11.00
269,2.0,Particle board,4410.11.00
270,3.0,Unworked or not further worked than sanded,4410.11.00.10
271,3.0,Surface-covered with melamine-impregnated paper,4410.11.00.20
272,3.0,Surface-covered with decorative laminates of plastic,4410.11.00.30
273,3.0,Other,4410.11.00.60
274,2.0,Oriented strand board (OSB),4410.12.00
275,3.0,Unworked or not further worked than sanded,4410.12.00.10
276,3.0,Other,4410.12.00.20
277,2.0,Other,4410.19.00
278,3.0,Unworked or not further worked than sanded,4410.19.00.10
279,3.0,Surface-covered with melamine-impregnated paper,4410.19.00.20
280,3.0,Surface-covered with decorative laminates of plastic,4410.19.00.30
281,3.0,Other,4410.19.00.60
282,1.0,Other,4410.90.00
283,0.0,Fiberboard of wood or other ligneous materials &&  whether or not bonded with resins or other organic substances,4411
284,1.0,Medium density fiberboard (MDF),4411.12
285,2.0,Of a thickness not exceeding 5 mm,4411.12
286,3.0,Not mechanically worked or surface covered,4411.12.10
287,3.0,Other,4411.12.20
288,4.0,Tongued &&  grooved or rabbetted continuously along any of its edges && dedicated for use in the construction of walls &&  ceilings or other parts of buildings,4411.12.20
289,5.0,Laminated boards bonded in whole or in part &&  or impregnated &&  with synthetic resins,4411.12.20
290,5.0,Other,4411.12.30
291,4.0,Other,4411.12.60
292,5.0,Not surface covered (except for oil treatment),4411.12.60
293,5.0,Other,4411.12.90
294,6.0,Standard wood molding,4411.12.90.10
295,6.0,Other,4411.12.90.90
296,2.0,Of a thickness exceeding 5 mm but not exceeding 9 mm,4411.13
297,3.0,Not mechanically worked or surface covered,4411.13.10
298,3.0,Other,4411.13.20
299,4.0,Tongued &&  grooved or rabbetted continuously along any of its edges && dedicated for use in the construction of walls &&  ceilings or other parts of buildings,4411.13.20
300,5.0,Laminated boards bonded in whole or in part &&  or impregnated &&  with synthetic resins,4411.13.20
301,5.0,Other,4411.13.30
302,4.0,Other,4411.13.60
303,5.0,Not surface covered (except for oil treatment),4411.13.60
304,5.0,Other,4411.13.90
305,6.0,Standard wood molding,4411.13.90.10
306,6.0,Other,4411.13.90.90
307,2.0,Of a thickness exceeding 9 mm,4411.14
308,3.0,Not mechanically worked or surface covered,4411.14.10
309,3.0,Other,4411.14.20
310,4.0,Tongued &&  grooved or rabbetted continuously along any of its edges && dedicated for use in the construction of walls &&  ceilings or other parts of buildings,4411.14.20
311,5.0,Laminated boards bonded in whole or in part &&  or impregnated &&  with synthetic resins,4411.14.20
312,5.0,Other,4411.14.30
313,4.0,Other,4411.14.60
314,5.0,Not surface covered (except for oil treatment),4411.14.60
315,5.0,Other,4411.14.90
316,6.0,Standard wood molding,4411.14.90.10
317,6.0,Other,4411.14.90.90
318,1.0,Other,4411.92
319,2.0,Of a density exceeding 0.8 g/cm <sup>3</sup> ,4411.92
320,3.0,Not mechanically worked or surface covered,4411.92.10
321,3.0,Other,4411.92.20
322,4.0,Not surface covered (except for oil treatment),4411.92.20
323,4.0,Other,4411.92.30
324,5.0,Tileboard which has been continuously worked along any of its edges && is dedicated for use in the construction of walls &&  ceilings or other parts of buildings,4411.92.30
325,5.0,Other,4411.92.40
326,2.0,Of a density exceeding 0.5 g/cm <sup>3</sup> but not exceeding 0.8 g/cm <sup>3</sup> ,4411.93
327,3.0,Not mechanically worked or surface covered,4411.93.10
328,3.0,Other,4411.93.20
329,4.0,Tongued &&  grooved or rabbetted continuously along any of its edges && dedicated for use in the construction of walls &&  ceilings or other parts of buildings,4411.93.20
330,5.0,Laminated boards bonded in whole or in part &&  or impregnated &&  with synthetic resins,4411.93.20
331,5.0,Other,4411.93.30
332,4.0,Other,4411.93.60
333,5.0,Not surface covered (except for oil treatment),4411.93.60
334,5.0,Other,4411.93.90
335,6.0,Standard wood molding,4411.93.90.10
336,6.0,Other,4411.93.90.90
337,2.0,Of a density not exceeding 0.5 g/m <sup>3</sup>,4411.94.00
338,3.0,Of a density exceeding 0.35 g/m <sup>3</sup> but not exceeding 0.5 g/m <sup>3</sup> ,4411.94.00.10
339,4.0,Not mechanically worked or surface covered,4411.94.00.10
340,5.0,Impregnated with bitumen,4411.94.00.10
341,5.0,Other,4411.94.00.20
342,4.0,Other,4411.94.00.30
343,5.0,Impregnated with bitumen,4411.94.00.30
344,5.0,Other,4411.94.00.40
345,3.0,Other,4411.94.00.50
346,4.0,Not mechanically worked or surface covered,4411.94.00.50
347,5.0,Impregnated with bitumen,4411.94.00.50
348,5.0,Other,4411.94.00.60
349,4.0,Other,4411.94.00.70
350,5.0,Impregnated with bitumen,4411.94.00.70
351,5.0,Other,4411.94.00.80
352,0.0,Plywood &&  veneered panels && similar laminated wood,4412
353,1.0,Of bamboo,4412.10
354,2.0,Plywood,4412.10.05
355,2.0,Other,4412.10.90
356,1.0,Other plywood consisting solely of sheets of wood (other than bamboo) &&  each ply not exceeding 6 mm in thickness,4412.31
357,2.0,With at least one outer ply of tropical wood specified in subheading note 1 to this chapter,4412.31
358,3.0,Not surface covered &&  or surface covered with a clear or transparent material which does not obscure the grain &&  texture or markings of the face ply,4412.31.05
359,4.0,With a face ply of birch ( <i>Betula</i> spp.),4412.31.05
360,5.0,Panels not exceeding in any dimension 3.6 mm in thickness &&  1.2 m in width && 2.2 m in length,4412.31.05.20
361,5.0,Other,4412.31.05.40
362,6.0,Not surface covered,4412.31.05.40
363,6.0,Other,4412.31.05.60
364,4.0,With a face ply of Spanish cedar ( <i>Cedrela</i> spp.) or walnut ( <i>Juglans</i> spp.),4412.31.25
365,5.0,With a face ply of Spanish cedar ( <i>Cedrela</i> spp.),4412.31.25.10
366,5.0,With a face ply of walnut ( <i>Juglans</i> spp.),4412.31.25.20
367,4.0,Other,4412.31.40
368,5.0,With at least one outer ply of the following tropical woods: Dark Red Meranti &&  Light Red Meranti &&  White Lauan &&  Sipo &&  Limba &&  OkoumÃ(c) &&  Obeche &&  Acajou d'Afrique &&  Sapelli &&  Virola &&  Mahogany &&  Palissandre de Para &&  Palissandre de Rio or Palissandre de Rose,4412.31.40
369,6.0,With a face ply of mahogany ( <i>Swietenia</i> spp. or <i>Khaya</i> spp.),4412.31.40.40
370,6.0,Other,4412.31.40.50
371,7.0,Panels not exceeding in any dimension 3.6 mm in thickness &&  1.2 m in width && 2.2 m in length,4412.31.40.50
372,7.0,Other,4412.31.40.60
373,8.0,Not surface covered,4412.31.40.60
374,8.0,Other,4412.31.40.75
375,9.0,Wood flooring,4412.31.40.75
376,9.0,Other,4412.31.40.80
377,5.0,Other,4412.31.51
378,6.0,Wood flooring,4412.31.51.25
379,6.0,Other,4412.31.51.35
380,7.0,With a face ply of sen ( <i>Kalopanax</i> spp.),4412.31.51.35
381,7.0,Other,4412.31.51.55
382,8.0,Panels not exceeding in any dimension 3.6 mm in thickness &&  1.2 m in width && 2.2 m in length,4412.31.51.55
383,8.0,Other,4412.31.51.65
384,9.0,Not surface covered,4412.31.51.65
385,9.0,Other,4412.31.51.75
386,3.0,Other,4412.31.60
387,4.0,With at least one outer ply of the following tropicalwoods: Dark Red Meranti &&  Light Red Meranti &&  White Lauan &&  Sipo &&  Limba &&  OkoumÃ(c) &&  Obeche &&  Acajou d'Afrique &&  Sapelli &&  Virola &&  Mahogany &&  Palissandre de Para &&  Palissandre de Rio or Palissandre de Rose,4412.31.60
388,4.0,Other,4412.31.91
389,2.0,Other &&  with at least one outer ply of nonconiferous wood,4412.32
390,3.0,Not surface covered &&  or surface covered with a clear or transparent material which does not obscure the grain &&  texture or markings of the face ply,4412.32.05
391,4.0,With a face ply of birch ( <i>Betula</i> spp.),4412.32.05
392,5.0,Panels not exceeding in any dimension 3.6 mm in thickness &&  1.2 m in width && 2.2 m in length,4412.32.05.20
393,5.0,Other,4412.32.05.40
394,6.0,Not surface covered,4412.32.05.40
395,6.0,Other,4412.32.05.65
396,7.0,Wood flooring,4412.32.05.65
397,7.0,Other,4412.32.05.70
398,4.0,With a face ply of Spanish cedar ( <i>Cedrela</i> spp.) or walnut ( <i>Juglans</i> spp.),4412.32.25
399,5.0,With a face ply of Spanish cedar ( <i>Cedrela</i> spp.),4412.32.25.10
400,5.0,With a face ply of walnut ( <i>Juglans</i> spp.),4412.32.25.25
401,6.0,Wood flooring,4412.32.25.25
402,6.0,Other,4412.32.25.30
403,4.0,Other,4412.32.31
404,5.0,Wood flooring,4412.32.31.25
405,5.0,Other,4412.32.31.35
406,6.0,With a face ply of sen ( <i>Kalopanax</i> spp.),4412.32.31.35
407,6.0,With a face ply of mahogany ( <i>Swietenia</i> spp. or <i>Khaya</i> spp.),4412.32.31.55
408,6.0,Other,4412.32.31.65
409,7.0,Panels not exceeding in any dimension 3.6 mm in thickness &&  1.2 m in width && 2.2 m in length,4412.32.31.65
410,7.0,Other,4412.32.31.75
411,8.0,Not surface covered,4412.32.31.75
412,8.0,Other,4412.32.31.85
413,3.0,Other,4412.32.56
414,2.0,Other &&  with both outer plies of coniferous wood,4412.39
415,3.0,Not surface covered &&  or surface covered with a clear or transparent material which does not obscure the grain &&  texture or markings of the face ply,4412.39.10
416,4.0,With a face ply of Parana pine ( <i>Araucaria angustifolia</i> ),4412.39.10
417,4.0,With a face ply of European red pine ( <i> Pinus silvestris </i> ),4412.39.30
418,4.0,Other,4412.39.40
419,5.0,With at least one outer ply of Douglas fir ( <i>Pseudotsuga menziesii</i> ),4412.39.40.11
420,6.0,Rough &&  or touch sanded for sizing purposes &&  but not further processed,4412.39.40.11
421,6.0,Fully sanded on at least one face &&  but not further processed,4412.39.40.12
422,6.0,Other,4412.39.40.19
423,5.0,With at least one outer ply of long leaf pine ( <i> Pinus palustris </i> ) &&  short leaf pine ( <i>Pinusechinata</i> ) &&  southern yellow pine (loblolly pine)( <i>Pinus taeda</i> ) &&  slash pine ( <i>Pinus elliotti</i> ) &&  pitch pine ( <i> Pinus rigida </i> ) or Virginia pi,4412.39.40.31
424,6.0,Rough &&  or touch sanded for sizing purposes &&  but not further processed,4412.39.40.31
425,6.0,Fully sanded on at least one face &&  but not further processed,4412.39.40.32
426,6.0,Other,4412.39.40.39
427,5.0,With at least one outer ply of <i>Agathis</i> spp.,4412.39.40.51
428,6.0,Rough &&  or touch sanded for sizing purposes &&  but not further processed,4412.39.40.51
429,6.0,Fully sanded on at least one face &&  but not further processed,4412.39.40.52
430,6.0,Other,4412.39.40.59
431,5.0,Other,4412.39.40.61
432,6.0,Rough &&  or touch sanded for sizing purposes &&  but not further processed,4412.39.40.61
433,6.0,Fully sanded on at least one face &&  but not further processed,4412.39.40.62
434,6.0,Other,4412.39.40.69
435,3.0,Other,4412.39.50
436,4.0,With at least one outer ply of Douglas fir ( <i>Pseudotsuga menziesii</i> ),4412.39.50.10
437,4.0,With at least one outer ply of long leaf pine ( <i> Pinus palustris </i> ) &&  short leaf pine ( <i> Pinus echinata </i> ) &&  southern yellow pine (loblolly pine) ( <i>Pinus taeda</i> ) &&  slash pine ( <i>Pinus elliotti</i> ) &&  pitch pine ( <i>Pinus rigida</i> ) or Virginia,4412.39.50.30
438,4.0,Other,4412.39.50.50
439,1.0,Other,4412.94
440,2.0,Blockboard &&  laminboard && battenboard,4412.94
