,Unnamed: 0,Unnamed: 0.1,hs_code,Indent,Description,sc_names
183,183,183,4407.99.01.85,3,Jatoba (Hymenaea spp.) &&  also known as Brazilian Cherry,Hymenaea spp.
184,184,184,4407.99.01.95,3,Other nonconiferous,
185,185,185,4408,0,Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm,
186,186,186,4408.10.01,1,Coniferous,
187,187,187,4408.10.01.25,2,Douglas fir,
188,188,188,4408.10.01.45,2,Other,
189,189,189,,1,Of tropical wood,
190,190,190,4408.31.01.00,2,Dark Red Meranti &&  Light Red Meranti && Meranti Bakau,
191,191,191,4408.39.02,2,Other,
192,192,192,4408.39.02.10,3,Spliced or end-jointed,
193,193,193,4408.39.02.90,3,Other,
194,194,194,4408.90.01,1,Other,
195,195,195,,2,Spliced or end-jointed,
196,196,196,4408.90.01.05,3,Ash (Fraxinus spp.),Fraxinus spp.
197,197,197,4408.90.01.10,3,Birch (Betula spp.),Betula spp.
198,198,198,4408.90.01.15,3,Cherry (Prunus spp.),Prunus spp.
199,199,199,4408.90.01.21,3,Maple (Acer spp.),Acer spp.
200,200,200,,3,Oak (Quercus spp.),Quercus spp.
201,201,201,4408.90.01.31,4,Red,Quercus spp.
202,202,202,4408.90.01.37,4,Other,Quercus spp.
203,203,203,4408.90.01.45,3,Walnut (Juglans spp.),Juglans spp.
204,204,204,4408.90.01.51,3,Other,
205,205,205,,2,Other,
206,206,206,4408.90.01.56,3,Ash (Fraxinus spp.),Fraxinus spp.
207,207,207,4408.90.01.61,3,Birch (Betula spp.),Betula spp.
208,208,208,4408.90.01.66,3,Cherry (Prunus spp.),Prunus spp.
209,209,209,4408.90.01.71,3,Maple (Acer spp.),Acer spp.
210,210,210,,3,Oak (Quercus spp.),
211,211,211,4408.90.01.76,4,Red,
212,212,212,4408.90.01.81,4,Other,
213,213,213,4408.90.01.87,3,Walnut (Juglans spp.),Juglans spp.
214,214,214,4408.90.01.97,3,Other,
215,215,215,4409,0,Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed,
216,216,216,4409.10,1,Coniferous,
217,217,217,4409.10.05.00,2,Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed,
218,218,218,,2,Other,
219,219,219,4409.10.10,3,Wood siding,
220,220,220,,4,Resawn bevel siding,
221,221,221,4409.10.10.20,5,Western red cedar,
222,222,222,4409.10.10.40,5,Other,
223,223,223,,4,Other,
224,224,224,4409.10.10.60,5,Western red cedar,
225,225,225,4409.10.10.80,5,Other,
226,226,226,4409.10.20.00,3,Wood flooring,
227,227,227,,3,Wood moldings,
228,228,228,,4,Standard wood molding,
229,229,229,4409.10.40,5,Pine (Pinus spp.),Pinus spp.
230,230,230,4409.10.40.10,6,End-jointed,Pinus spp.
231,231,231,4409.10.40.90,6,Other,Pinus spp.
232,232,232,4409.10.45.00,5,Other,
233,233,233,4409.10.50.00,4,Other,
234,234,234,,3,Wood dowel rods,
235,235,235,4409.10.60.00,4,Plain,
236,236,236,4409.10.65.00,4,Sanded &&  grooved &&  or otherwise advanced in condition,
237,237,237,4409.10.90,3,Other,
238,238,238,4409.10.90.20,4,Western red cedar,
239,239,239,4409.10.90.40,4,Other,
240,240,240,,1,Nonconiferous,
241,241,241,4409.21,2,Of bamboo,
242,242,242,4409.21.05.00,3,Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed,
243,243,243,4409.21.90.00,3,Other,
244,244,244,4409.22,2,Of tropical wood,
245,245,245,4409.22.05,3,Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed,
246,246,246,,4,Wood flooring (end-matched),
247,247,247,4409.22.05.15,5,Jatoba (Hymenaea spp.) &&  also known as Brazilian Cherry,Hymenaea spp.
248,248,248,4409.22.05.25,5,Ipe (Tabebuia spp.) &&  also known as Tahibo &&  LaPacho &&  Brazilian walnut &&  && Patagonian walnut,Tabebuia spp.
249,249,249,4409.22.05.35,5,Santos' mahogany (Myroxylon balsamum) &&  also known as Cabreuva,
250,250,250,4409.22.05.45,5,Cumaru (Dipteryx spp.) &&  also known as Brazilian teak,Dipteryx spp.
251,251,251,4409.22.05.55,5,Other,
252,252,252,4409.22.05.90,4,Other,
253,253,253,,3,Other,
254,254,254,4409.22.10.00,4,Wood siding,
255,255,255,4409.22.25.00,4,Wood flooring,
256,256,256,,4,Wood moldings,
257,257,257,4409.22.40.00,5,Standard wood moldings,
258,258,258,4409.22.50.00,5,Other,
259,259,259,,4,Wood dowel rods,
260,260,260,4409.22.60.00,5,Plain,
261,261,261,4409.22.65.00,5,Sanded &&  grooved or otherwise advanced in condition,
262,262,262,4409.22.90.00,4,Other,
263,263,263,4409.29,2,Other,
264,264,264,4409.29.06,3,Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed,
265,265,265,4409.29.06.55,4,Wood flooring (end-matched),
266,266,266,4409.29.06.65,4,Other,
267,267,267,,3,Other,
268,268,268,4409.29.11.00,4,Wood siding,
269,269,269,4409.29.26,4,Wood flooring,
270,270,270,4409.29.26.30,5,Maple (Acer spp.),Acer spp.
271,271,271,4409.29.26.50,5,Birch (Betula spp.) && beech (Fagus spp.),Fagus spp.;Betula spp.
272,272,272,4409.29.26.60,5,Other,
273,273,273,,4,Wood moldings,
274,274,274,4409.29.41.00,5,Standard wood moldings,
275,275,275,4409.29.51.00,5,Other,
276,276,276,,4,Wood dowel rods,
277,277,277,4409.29.61.00,5,Plain,
278,278,278,4409.29.66.00,5,Sanded &&  grooved or otherwise advanced in condition,
279,279,279,4409.29.91.00,4,Other,
280,280,280,4410,0,Particle board &&  oriented strand board (OSB) && similar board (for example &&  waferboard) of wood or other ligneous materials &&  whether or not agglomerated with resins or other organic binding substances,
281,281,281,,1,Of wood,
282,282,282,4410.11.00,2,Particle board,
283,283,283,4410.11.00.10,3,Unworked or not further worked than sanded,
284,284,284,4410.11.00.20,3,Surface-covered with melamine-impregnated paper,
285,285,285,4410.11.00.30,3,Surface-covered with decorative laminates of plastic,
286,286,286,4410.11.00.60,3,Other,
287,287,287,4410.12.00,2,Oriented strand board (OSB),
288,288,288,4410.12.00.10,3,Unworked or not further worked than sanded,
289,289,289,4410.12.00.20,3,Other,
290,290,290,4410.19.00,2,Other,
291,291,291,4410.19.00.10,3,Unworked or not further worked than sanded,
292,292,292,4410.19.00.20,3,Surface-covered with melamine-impregnated paper,
293,293,293,4410.19.00.30,3,Surface-covered with decorative laminates of plastic,
294,294,294,4410.19.00.60,3,Other,
295,295,295,4410.90.00.00,1,Other,
296,296,296,4411,0,Fiberboard of wood or other ligneous materials &&  whether or not bonded with resins or other organic substances,
297,297,297,,1,Medium density fiberboard (MDF),
298,298,298,4411.12,2,Of a thickness not exceeding 5 mm,
299,299,299,4411.12.10.00,3,Not mechanically worked or surface covered,
300,300,300,,3,Other,
301,301,301,,4,Tongued &&  grooved or rabbetted continuously along any of its edges && dedicated for use in the construction of walls &&  ceilings or other parts of buildings,
302,302,302,4411.12.20.00,5,Laminated boards bonded in whole or in part &&  or impregnated &&  with synthetic resins,
303,303,303,4411.12.30.00,5,Other,
304,304,304,,4,Other,
305,305,305,4411.12.60.00,5,Not surface covered (except for oil treatment),
306,306,306,4411.12.90,5,Other,
307,307,307,4411.12.90.10,6,Standard wood molding,
308,308,308,4411.12.90.90,6,Other,
309,309,309,4411.13,2,Of a thickness exceeding 5 mm but not exceeding 9 mm,
310,310,310,4411.13.10.00,3,Not mechanically worked or surface covered,
311,311,311,,3,Other,
312,312,312,,4,Tongued &&  grooved or rabbetted continuously along any of its edges && dedicated for use in the construction of walls &&  ceilings or other parts of buildings,
313,313,313,4411.13.20.00,5,Laminated boards bonded in whole or in part &&  or impregnated &&  with synthetic resins,
314,314,314,4411.13.30.00,5,Other,
315,315,315,,4,Other,
316,316,316,4411.13.60.00,5,Not surface covered (except for oil treatment),
317,317,317,4411.13.90,5,Other,
318,318,318,4411.13.90.10,6,Standard wood molding,
319,319,319,4411.13.90.90,6,Other,
320,320,320,4411.14,2,Of a thickness exceeding 9 mm,
321,321,321,4411.14.10.00,3,Not mechanically worked or surface covered,
322,322,322,,3,Other,
323,323,323,,4,Tongued &&  grooved or rabbetted continuously along any of its edges && dedicated for use in the construction of walls &&  ceilings or other parts of buildings,
324,324,324,4411.14.20.00,5,Laminated boards bonded in whole or in part &&  or impregnated &&  with synthetic resins,
325,325,325,4411.14.30.00,5,Other,
326,326,326,,4,Other,
327,327,327,4411.14.60.00,5,Not surface covered (except for oil treatment),
328,328,328,4411.14.90,5,Other,
329,329,329,4411.14.90.10,6,Standard wood molding,
330,330,330,4411.14.90.90,6,Other,
331,331,331,,1,Other,
332,332,332,4411.92,2,Of a density exceeding 0.8 g/cm3 ,
333,333,333,4411.92.10.00,3,Not mechanically worked or surface covered,
334,334,334,,3,Other,
335,335,335,4411.92.20.00,4,Not surface covered (except for oil treatment),
336,336,336,,4,Other,
337,337,337,4411.92.30.00,5,Tileboard which has been continuously worked along any of its edges && is dedicated for use in the construction of walls &&  ceilings or other parts of buildings,
338,338,338,4411.92.40.00,5,Other,
339,339,339,4411.93,2,Of a density exceeding 0.5 g/cm3 but not exceeding 0.8 g/cm3 ,
340,340,340,4411.93.10.00,3,Not mechanically worked or surface covered,
341,341,341,,3,Other,
342,342,342,,4,Tongued &&  grooved or rabbetted continuously along any of its edges && dedicated for use in the construction of walls &&  ceilings or other parts of buildings,
343,343,343,4411.93.20.00,5,Laminated boards bonded in whole or in part &&  or impregnated &&  with synthetic resins,
344,344,344,4411.93.30.00,5,Other,
345,345,345,,4,Other,
346,346,346,4411.93.60.00,5,Not surface covered (except for oil treatment),
347,347,347,4411.93.90,5,Other,
348,348,348,4411.93.90.10,6,Standard wood molding,
349,349,349,4411.93.90.90,6,Other,
350,350,350,4411.94.00,2,Of a density not exceeding 0.5 g/m3,
351,351,351,,3,Of a density exceeding 0.35 g/m3 but not exceeding 0.5 g/m3,
352,352,352,,4,Not mechanically worked or surface covered,
353,353,353,4411.94.00.10,5,Impregnated with bitumen,
354,354,354,4411.94.00.20,5,Other,
355,355,355,,4,Other,
356,356,356,4411.94.00.30,5,Impregnated with bitumen,
357,357,357,4411.94.00.40,5,Other,
358,358,358,,3,Other,
359,359,359,,4,Not mechanically worked or surface covered,
360,360,360,4411.94.00.50,5,Impregnated with bitumen,
361,361,361,4411.94.00.60,5,Other,
362,362,362,,4,Other,
363,363,363,4411.94.00.70,5,Impregnated with bitumen,
364,364,364,4411.94.00.80,5,Other,
365,365,365,4412,0,Plywood &&  veneered panels && similar laminated wood,
366,366,366,4412.10,1,Of bamboo,
367,367,367,4412.10.05.00,2,Plywood,
368,368,368,4412.10.90.00,2,Other,
369,369,369,,1,Other plywood consisting solely of sheets of wood (other than bamboo) &&  each ply not exceeding 6 mm in thickness,
370,370,370,4412.31,2,With at least one outer ply of tropical wood,
371,371,371,,3,Not surface covered &&  or surface covered with a clear or transparent material which does not obscure the grain &&  texture or markings of the face ply,
372,372,372,4412.31.06,4,With a face ply of birch (Betula spp.),Betula spp.
373,373,373,4412.31.06.20,5,Panels not exceeding in any dimension 3.6 mm in thickness &&  1.2 m in width && 2.2 m in length,Betula spp.
374,374,374,,5,Other,Betula spp.
375,375,375,4412.31.06.40,6,Not surface covered,Betula spp.
376,376,376,4412.31.06.60,6,Other,Betula spp.
377,377,377,4412.31.26,4,With a face ply of Spanish cedar (Cedrela spp.) or walnut (Juglans spp),Cedrela spp.
378,378,378,4412.31.26.10,5,With a face ply of Spanish cedar (Cedrela spp.),Cedrela spp.
379,379,379,4412.31.26.20,5,With a face ply of walnut (Juglans spp.),Cedrela spp.;Juglans spp.
380,380,380,,4,Other,
381,381,381,4412.31.41,5,With at least one outer ply of the following tropical woods: Dark Red Meranti &&  Light Red Meranti &&  White Lauan &&  Sipo &&  Limba &&  Okoum̩ &&  Obeche &&  Acajou d'Afrique &&  Sapelli &&  Virola &&  Mahogany &&  Palissandre de Para &&  Palissandre de Rio or Palissandre de Rose,
382,382,382,4412.31.41.40,6,With a face ply of mahogany (Swietenia spp. or Khaya spp.),Khaya spp.;Swietenia spp.
383,383,383,,6,Other,
384,384,384,4412.31.41.50,7,Panels not exceeding in any dimension 3.6 mm in thickness &&  1.2 m in width && 2.2 m in length,
385,385,385,,7,Other,
386,386,386,4412.31.41.60,8,Not surface covered,
387,387,387,,8,Other,
388,388,388,4412.31.41.75,9,Wood flooring,
389,389,389,4412.31.41.80,9,Other,
390,390,390,4412.31.52,5,Other,
391,391,391,4412.31.52.25,6,Wood flooring,
392,392,392,,6,Other,
393,393,393,4412.31.52.35,7,With a face ply of sen (Kalopanax spp.),Kalopanax spp.
394,394,394,,7,Other,
395,395,395,4412.31.52.55,8,Panels not exceeding in any dimension 3.6 mm in thickness &&  1.2 m in width && 2.2 m in length,
396,396,396,,8,Other,
397,397,397,4412.31.52.65,9,Not surface covered,
398,398,398,4412.31.52.75,9,Other,
399,399,399,,3,Other,
400,400,400,4412.31.61.00,4,With at least one outer ply of the following tropical woods: Dark Red Meranti &&  Light Red Meranti &&  White Lauan &&  Sipo &&  Limba &&  Okoum̩ &&  Obeche &&  Acajou d'Afrique &&  Sapelli &&  Virola &&  Mahogany &&  Palissandre de Para &&  Palissandre de Rio or Palissandre de Rose,
401,401,401,4412.31.92.00,4,Other,
402,402,402,4412.32,2,Other &&  with at least one outer ply of nonconiferous wood,
403,403,403,,3,Not surface covered &&  or surface covered with a clear or transparent material which does not obscure the grain &&  texture or markings of the face ply,
404,404,404,4412.32.06,4,With a face ply of birch (Betula spp.),Betula spp.
405,405,405,4412.32.06.20,5,Panels not exceeding in any dimension 3.6 mm in thickness &&  1.2 m in width && 2.2 m in length.,Betula spp.
406,406,406,,5,Other,Betula spp.
407,407,407,4412.32.06.40,6,Not surface covered,Betula spp.
408,408,408,,6,Other,Betula spp.
409,409,409,4412.32.06.65,7,Wood flooring,Betula spp.
410,410,410,4412.32.06.70,7,Other,Betula spp.
411,411,411,4412.32.26,4,With a face ply of Spanish cedar (Cedrela spp.) or walnut (Juglans spp.),Cedrela spp.;Juglans spp.
412,412,412,4412.32.26.10,5,With a face ply of Spanish cedar (Cedrela spp.),Cedrela spp.;Juglans spp.
413,413,413,,5,With a face ply of walnut (Juglans spp.),Cedrela spp.;Juglans spp.
414,414,414,4412.32.26.25,6,Wood flooring,Cedrela spp.;Juglans spp.
415,415,415,4412.32.26.30,6,Other,Cedrela spp.;Juglans spp.
416,416,416,4412.32.32,4,Other,
417,417,417,4412.32.32.25,5,Wood flooring.,
418,418,418,,5,Other,
419,419,419,4412.32.32.35,6,With a face ply of sen (Kalopanax spp.),Kalopanax spp.
420,420,420,4412.32.32.55,6,With a face ply of mahogany  (Swietenia spp. or Khaya spp.),Khaya spp.;Swietenia
421,421,421,,6,Other,
422,422,422,4412.32.32.65,7,Panels not exceeding in any di- mension 3.6 mm in thickness &&  1.2 m in width && 2.2 m in length,
423,423,423,,7,Other,
424,424,424,4412.32.32.75,8,Not surface covered,
425,425,425,4412.32.32.85,8,Other,
426,426,426,4412.32.57.00,3,Other,
427,427,427,4412.39,2,Other &&  with both outer plies of coniferous wood,
428,428,428,,3,Not surface covered &&  or surface covered with a clear or transparent material which does not obscure the grain &&  texture or markings of the face ply,
