,Unnamed: 0.1,Unnamed: 0.1.1,hs_code,Indent,Description,sc_names,full_desc,pos_kw,neg_kw
15,15,15,4402.90.00.00,1,Other,,[ [ Wood charcoal (including shell or nut charcoal) &&  whether or not agglomerated ] && [ ![ Of bamboo ] ] ],wood charcoal;agglomerate;shell;nut charcoal,bamboo
16,16,16,4403,0,Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ],sap wood;strip;rough;squared;bark,
17,17,17,4403.10.00,1,Treated with paint &&  stain &&  creosote or other preservatives,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Treated with paint &&  stain &&  creosote or other preservatives ],sap wood;creosote;strip;paint;rough;preservative;stain;squared;bark,
18,18,18,,2,Poles &&  piles && posts,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Treated with paint &&  stain &&  creosote or other preservatives ] && [ Poles &&  piles && posts ],sap wood;creosote;strip;paint;rough;preservative;stain;poles;pile;squared;bark;post,
19,19,19,4403.10.00.20,3,Telephone &&  telegraph && electrical power poles,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Treated with paint &&  stain &&  creosote or other preservatives ] && [ Poles &&  piles && posts ] && [ Telephone &&  telegraph && electrical power poles ],sap wood;electrical power;creosote;strip;paint;telephone;rough;preservative;power pole;stain;poles;pile;squared;telegraph;bark;post,
20,20,20,4403.10.00.40,3,Fence posts,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Treated with paint &&  stain &&  creosote or other preservatives ] && [ Poles &&  piles && posts ] && [ Fence posts ],sap wood;creosote;fence post;strip;paint;rough;preservative;stain;poles;pile;squared;bark;post,
21,21,21,4403.10.00.50,3,Other,,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Treated with paint &&  stain &&  creosote or other preservatives ] && [ Poles &&  piles && posts ] && [ ![ Fence posts ] && ![ Telephone &&  telegraph && electrical power poles ] ] ],sap wood;creosote;strip;paint;rough;preservative;stain;poles;pile;squared;bark;post,electrical power;fence post;telephone;power pole;telegraph
22,22,22,4403.10.00.60,2,Other,,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Treated with paint &&  stain &&  creosote or other preservatives ] && [ ![ Poles &&  piles && posts ] ] ],sap wood;creosote;strip;paint;rough;preservative;stain;squared;bark,post;pile;poles
23,23,23,4403.20.00,1,Other &&  coniferous,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ],sap wood;strip;rough;squared;coniferous;bark,
24,24,24,,2,Pulpwood,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Pulpwood ],sap wood;strip;rough;squared;coniferous;pulpwood;bark,
25,25,25,4403.20.00.04,3,Balsam &&  fir or spruce,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Pulpwood ] && [ Balsam &&  fir or spruce ],fir;sap wood;balsam;spruce;strip;rough;squared;coniferous;pulpwood;bark,
26,26,26,4403.20.00.08,3,Other,,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Pulpwood ] && [ ![ Balsam &&  fir or spruce ] ] ],sap wood;strip;rough;squared;coniferous;pulpwood;bark,fir;balsam;spruce
27,27,27,,2,Poles &&  piles && posts,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Poles &&  piles && posts ],sap wood;strip;rough;poles;pile;squared;coniferous;bark;post,
28,28,28,4403.20.00.12,3,Telephone &&  telegraph && electrical power poles,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Poles &&  piles && posts ] && [ Telephone &&  telegraph && electrical power poles ],sap wood;electrical power;strip;telephone;rough;power pole;poles;pile;squared;telegraph;coniferous;bark;post,
29,29,29,4403.20.00.15,3,Fence posts,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Poles &&  piles && posts ] && [ Fence posts ],sap wood;fence post;strip;rough;poles;pile;squared;coniferous;bark;post,
30,30,30,4403.20.00.16,3,Other,,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Poles &&  piles && posts ] && [ ![ Fence posts ] && ![ Telephone &&  telegraph && electrical power poles ] ] ],sap wood;strip;rough;poles;pile;squared;coniferous;bark;post,electrical power;fence post;telephone;power pole;telegraph
31,31,31,,2,Logs && timber,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ],sap wood;timber;strip;rough;logs;squared;coniferous;bark,
32,32,32,,3,Pine (Pinus spp.),Pinus spp.,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ] && [ Pine (Pinus spp.) ],sap wood;timber;strip;rough;pinus spp;logs;squared;pine;coniferous;bark,
33,33,33,4403.20.00.20,4,Southern yellow pine (Loblolly pine (Pinus taeda)) &&  long leaf pine (Pinus palustris) &&  pitch pine (Pinus rigida) &&  short leaf pine (Pinus echinata) &&  slash pine (Pinus elliottii) && Virginia pine (Pinus virginiana),Pinus spp.;Pinus rigida;Pinus taeda;Pinus virginiana;Pinus echinata;Pinus palustris;Pinus elliottii,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ] && [ Pine (Pinus spp.) ] && [ Southern yellow pine (Loblolly pine (Pinus taeda)) &&  long leaf pine (Pinus palustris) &&  pitch pine (Pinus rigida) &&  short leaf pine (Pinus echinata) &&  slash pine (Pinus elliottii) && Virginia pine (Pinus virginiana) ],pinus palustris;logs;southern yellow;squared;pinus rigida;timber;strip;rough;pinus elliottii;pine;coniferous;pitch pine;virginia pine;leaf pine;sap wood;bark;short leaf;pinus spp;pinus taeda;yellow pine;pinus virginiana;long leaf;pinus echinata,
34,34,34,4403.20.00.25,4,Ponderosa pine (Pinus ponderosa),Pinus spp.;Pinus ponderosa,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ] && [ Pine (Pinus spp.) ] && [ Ponderosa pine (Pinus ponderosa) ],sap wood;timber;strip;rough;pinus spp;ponderosa pine;logs;pinus ponderosa;squared;pine;coniferous;bark,
35,35,35,4403.20.00.30,4,Other,Pinus spp.,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ] && [ Pine (Pinus spp.) ] && [ ![ Ponderosa pine (Pinus ponderosa) ] && ![ Southern yellow pine (Loblolly pine (Pinus taeda)) &&  long leaf pine (Pinus palustris) &&  pitch pine (Pinus rigida) &&  short leaf pine (Pinus echinata) &&  slash pine (Pinus elliottii) && Virginia pine (Pinus virginiana) ] ] ],sap wood;timber;strip;rough;pinus spp;logs;squared;pine;coniferous;bark,short leaf;ponderosa pine;yellow pine;pinus taeda;pinus palustris;pinus virginiana;pinus echinata;southern yellow;long leaf;pinus ponderosa;pinus elliottii;leaf pine;pinus rigida;pitch pine;virginia pine
36,36,36,4403.20.00.35,3,Spruce (Picea spp.),Picea spp.,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ] && [ Spruce (Picea spp.) ],sap wood;timber;spruce;strip;picea spp;rough;logs;squared;coniferous;bark,
37,37,37,4403.20.00.40,3,Douglas-fir (Pseudotsuga menziesii),Pseudotsuga menziesii,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ] && [ Douglas-fir (Pseudotsuga menziesii) ],fir;sap wood;timber;pseudotsuga menziesii;strip;douglas;rough;logs;squared;coniferous;bark,
38,38,38,4403.20.00.42,3,Other fir; balsam,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ] && [ Other fir; balsam ],fir;sap wood;balsam;timber;strip;rough;logs;squared;coniferous;bark,
39,39,39,4403.20.00.50,3,Western hemlock (Tsuga heterophylla),Tsuga heterophylla,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ] && [ Western hemlock (Tsuga heterophylla) ],sap wood;tsuga heterophylla;timber;strip;rough;logs;squared;western hemlock;coniferous;bark,
40,40,40,4403.20.00.52,3,Other hemlock,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ] && [ Other hemlock ],sap wood;timber;strip;rough;logs;hemlock;squared;coniferous;bark,
41,41,41,4403.20.00.55,3,Western red cedar (Thuja plicata),Thuja plicata,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ] && [ Western red cedar (Thuja plicata) ],sap wood;timber;strip;rough;red cedar;logs;western red;squared;coniferous;thuja plicata;bark,
42,42,42,4403.20.00.57,3,Other cedar,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ] && [ Other cedar ],sap wood;timber;strip;rough;logs;cedar;squared;coniferous;bark,
43,43,43,4403.20.00.64,3,Other,,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ] && [ ![ Other cedar ] && ![ Western red cedar (Thuja plicata) ] && ![ Other hemlock ] && ![ Western hemlock (Tsuga heterophylla) ] && ![ Other fir; balsam ] && ![ Douglas-fir (Pseudotsuga menziesii) ] && ![ Spruce (Picea spp.) ] && ![ Pine (Pinus spp.) ] ] ],sap wood;timber;strip;rough;logs;squared;coniferous;bark,fir;tsuga heterophylla;balsam;pseudotsuga menziesii;spruce;picea spp;douglas;pinus spp;red cedar;hemlock;cedar;western red;western hemlock;pine;thuja plicata
44,44,44,4403.20.00.65,2,Other,,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ ![ Logs && timber ] && ![ Poles &&  piles && posts ] && ![ Pulpwood ] ] ],sap wood;strip;rough;squared;coniferous;bark,timber;logs;poles;pile;pulpwood;post
45,45,45,,1,Other &&  of tropical wood,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  of tropical wood ],sap wood;strip;rough;squared;bark;tropical wood,
46,46,46,4403.41.00.00,2,Dark Red Meranti &&  Light Red Meranti && Meranti Bakau,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  of tropical wood ] && [ Dark Red Meranti &&  Light Red Meranti && Meranti Bakau ],sap wood;meranti bakau;strip;rough;dark red;squared;light red;red meranti;bark;tropical wood,
47,47,47,4403.49.01.00,2,Other,,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  of tropical wood ] && [ ![ Dark Red Meranti &&  Light Red Meranti && Meranti Bakau ] ] ],sap wood;strip;rough;squared;bark;tropical wood,red meranti;dark red;meranti bakau;light red
48,48,48,,1,Other,,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ],sap wood;strip;rough;squared;bark,paint;preservative;stain;coniferous;creosote;tropical wood
49,49,49,4403.91.00,2,Of oak (Quercus spp.),Quercus spp.,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ Of oak (Quercus spp.) ],sap wood;quercus spp;strip;rough;oak;squared;bark,paint;preservative;stain;coniferous;creosote;tropical wood
50,50,50,4403.91.00.20,3,Of red oak,Quercus spp.,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ Of oak (Quercus spp.) ] && [ Of red oak ],sap wood;quercus spp;strip;rough;oak;red oak;squared;bark,paint;preservative;stain;coniferous;creosote;tropical wood
51,51,51,4403.91.00.40,3,Other,Quercus spp.,[ [ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ Of oak (Quercus spp.) ] && [ ![ Of red oak ] ] ],sap wood;quercus spp;strip;rough;oak;squared;bark,paint;preservative;stain;red oak;coniferous;creosote;tropical wood
52,52,52,4403.92.00.00,2,Of beech (Fagus spp.),Fagus spp.,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ Of beech (Fagus spp.) ],sap wood;strip;fagus spp;rough;squared;beech;bark,paint;preservative;stain;coniferous;creosote;tropical wood
53,53,53,4403.99.00,2,Other,,[ [ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ ![ Of beech (Fagus spp.) ] && ![ Of oak (Quercus spp.) ] ] ],sap wood;strip;rough;squared;bark,beech;quercus spp;fagus spp;paint;preservative;stain;oak;coniferous;creosote;tropical wood
54,54,54,,3,Pulpwood,,[ [ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ ![ Of beech (Fagus spp.) ] && ![ Of oak (Quercus spp.) ] ] ] && [ Pulpwood ],sap wood;strip;rough;squared;pulpwood;bark,beech;quercus spp;fagus spp;paint;preservative;stain;oak;coniferous;creosote;tropical wood
55,55,55,4403.99.00.22,4,Of poplar &&  aspen or cottonwood,,[ [ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ ![ Of beech (Fagus spp.) ] && ![ Of oak (Quercus spp.) ] ] ] && [ Pulpwood ] && [ Of poplar &&  aspen or cottonwood ],sap wood;aspen;strip;rough;poplar;squared;cottonwood;pulpwood;bark,beech;quercus spp;fagus spp;paint;preservative;stain;oak;coniferous;creosote;tropical wood
56,56,56,4403.99.00.23,4,Other,,[ [ [ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ ![ Of beech (Fagus spp.) ] && ![ Of oak (Quercus spp.) ] ] ] && [ Pulpwood ] && [ ![ Of poplar &&  aspen or cottonwood ] ] ],sap wood;strip;rough;squared;pulpwood;bark,beech;aspen;quercus spp;fagus spp;paint;poplar;preservative;stain;oak;coniferous;cottonwood;creosote;tropical wood
57,57,57,,3,Poles &&  piles && posts,,[ [ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ ![ Of beech (Fagus spp.) ] && ![ Of oak (Quercus spp.) ] ] ] && [ Poles &&  piles && posts ],sap wood;strip;rough;poles;pile;squared;bark;post,beech;quercus spp;fagus spp;paint;preservative;stain;oak;coniferous;creosote;tropical wood
58,58,58,4403.99.00.26,4,Of poplar &&  aspen or cottonwood,,[ [ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ ![ Of beech (Fagus spp.) ] && ![ Of oak (Quercus spp.) ] ] ] && [ Poles &&  piles && posts ] && [ Of poplar &&  aspen or cottonwood ],sap wood;aspen;strip;rough;poplar;poles;pile;squared;cottonwood;bark;post,beech;quercus spp;fagus spp;paint;preservative;stain;oak;coniferous;creosote;tropical wood
59,59,59,4403.99.00.27,4,Of birch,,[ [ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ ![ Of beech (Fagus spp.) ] && ![ Of oak (Quercus spp.) ] ] ] && [ Poles &&  piles && posts ] && [ Of birch ],sap wood;strip;birch;rough;poles;pile;squared;bark;post,beech;quercus spp;fagus spp;paint;preservative;stain;oak;coniferous;creosote;tropical wood
60,60,60,4403.99.00.28,4,Other,,[ [ [ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ ![ Of beech (Fagus spp.) ] && ![ Of oak (Quercus spp.) ] ] ] && [ Poles &&  piles && posts ] && [ ![ Of birch ] && ![ Of poplar &&  aspen or cottonwood ] ] ],sap wood;strip;rough;poles;pile;squared;bark;post,beech;aspen;quercus spp;fagus spp;paint;birch;poplar;preservative;stain;oak;coniferous;cottonwood;creosote;tropical wood
61,61,61,,3,Other,,[ [ [ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ ![ Of beech (Fagus spp.) ] && ![ Of oak (Quercus spp.) ] ] ] && [ ![ Poles &&  piles && posts ] && ![ Pulpwood ] ] ],sap wood;strip;rough;squared;bark,beech;quercus spp;fagus spp;paint;preservative;stain;poles;post;oak;pile;coniferous;pulpwood;creosote;tropical wood
62,62,62,4403.99.00.30,4,Of birch (Betula spp.),Betula spp.,[ [ [ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ ![ Of beech (Fagus spp.) ] && ![ Of oak (Quercus spp.) ] ] ] && [ ![ Poles &&  piles && posts ] && ![ Pulpwood ] ] ] && [ Of birch (Betula spp.) ],sap wood;strip;birch;rough;betula spp;squared;bark,beech;quercus spp;fagus spp;paint;preservative;stain;poles;post;oak;pile;coniferous;pulpwood;creosote;tropical wood
63,63,63,4403.99.00.40,4,Of ash (Fraxinus spp.),Fraxinus spp.,[ [ [ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ ![ Of beech (Fagus spp.) ] && ![ Of oak (Quercus spp.) ] ] ] && [ ![ Poles &&  piles && posts ] && ![ Pulpwood ] ] ] && [ Of ash (Fraxinus spp.) ],sap wood;strip;rough;fraxinus spp;squared;ash;bark,beech;quercus spp;fagus spp;paint;preservative;stain;poles;post;oak;pile;coniferous;pulpwood;creosote;tropical wood
