hs_code,Indent,Description,sc_names,full_desc,pos_kw,neg_kw,hscode_6
4403.20.00.20,4,Southern yellow pine (Loblolly pine (Pinus taeda)) &&  long leaf pine (Pinus palustris) &&  pitch pine (Pinus rigida) &&  short leaf pine (Pinus echinata) &&  slash pine (Pinus elliottii) && Virginia pine (Pinus virginiana),Pinus elliottii;Pinus palustris;Pinus echinata;Pinus virginiana;Pinus taeda;Pinus rigida,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ] && [ Pine (Pinus spp.) ] && [ Southern yellow pine (Loblolly pine (Pinus taeda)) &&  long leaf pine (Pinus palustris) &&  pitch pine (Pinus rigida) &&  short leaf pine (Pinus echinata) &&  slash pine (Pinus elliottii) && Virginia pine (Pinus virginiana) ],pinus spp;pitch pine;pinus taeda;Pinus echinata;Logs;coniferous;long leaf;short leaf;yellow pine;sap wood;bark;Pinus elliottii;leaf pine;Pine;Pinus palustris;timber;Virginia pine;squared;strip;rough;pinus virginiana;southern yellow,,440320
4403.20.00.25,4,Ponderosa pine (Pinus ponderosa),Pinus ponderosa,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ] && [ Pine (Pinus spp.) ] && [ Ponderosa pine (Pinus ponderosa) ],pinus ponderosa;pinus spp;coniferous;Pine;Ponderosa pine;timber;squared;strip;rough;sap wood;bark;Logs,,440320
4403.20.00.30,4,Other,,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ] && [ Pine (Pinus spp.) ] && [ ![ Ponderosa pine (Pinus ponderosa) ] && ![ Southern yellow pine (Loblolly pine (Pinus taeda)) &&  long leaf pine (Pinus palustris) &&  pitch pine (Pinus rigida) &&  short leaf pine (Pinus echinata) &&  slash pine (Pinus elliottii) && Virginia pine (Pinus virginiana) ] ] ],pinus spp;coniferous;Pine;timber;squared;strip;rough;sap wood;bark;Logs,Pinus elliottii;pinus ponderosa;Pinus palustris;pitch pine;Ponderosa pine;long leaf;short leaf;yellow pine;pinus taeda;Pinus echinata;Virginia pine;leaf pine;pinus virginiana;southern yellow,440320
4403.20.00.35,3,Spruce (Picea spp.),Picea spp.,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ] && [ Spruce (Picea spp.) ],coniferous;timber;squared;strip;Picea spp;rough;sap wood;Spruce;bark;Logs,,440320
4403.20.00.40,3,Douglas-fir (Pseudotsuga menziesii),Pseudotsuga menziesii,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ] && [ Douglas-fir (Pseudotsuga menziesii) ],coniferous;timber;squared;fir;Pseudotsuga menziesii;strip;Douglas;rough;sap wood;bark;Logs,,440320
4403.20.00.42,3,Other fir; balsam,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ] && [ Other fir; balsam ],coniferous;timber;squared;fir;strip;rough;sap wood;bark;Logs;balsam,,440320
4403.20.00.50,3,Western hemlock (Tsuga heterophylla),Tsuga heterophylla,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ] && [ Western hemlock (Tsuga heterophylla) ],Tsuga heterophylla;coniferous;western hemlock;timber;squared;strip;rough;sap wood;bark;Logs,,440320
4403.20.00.52,3,Other hemlock,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ] && [ Other hemlock ],coniferous;timber;hemlock;squared;strip;rough;sap wood;bark;Logs,,440320
4403.20.00.55,3,Western red cedar (Thuja plicata),Thuja plicata,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ] && [ Western red cedar (Thuja plicata) ],coniferous;western red;red cedar;timber;squared;strip;Thuja plicata;rough;sap wood;bark;Logs,,440320
4403.20.00.57,3,Other cedar,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ] && [ Other cedar ],cedar;coniferous;timber;squared;strip;rough;sap wood;bark;Logs,,440320
4403.20.00.64,3,Other,,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ] && [ ![ Other cedar ] && ![ Western red cedar (Thuja plicata) ] && ![ Other hemlock ] && ![ Western hemlock (Tsuga heterophylla) ] && ![ Other fir; balsam ] && ![ Douglas-fir (Pseudotsuga menziesii) ] && ![ Spruce (Picea spp.) ] && ![ Pine (Pinus spp.) ] ] ],coniferous;timber;squared;strip;rough;sap wood;bark;Logs,Tsuga heterophylla;cedar;Pine;western red;pinus spp;red cedar;hemlock;Pseudotsuga menziesii;fir;Douglas;Thuja plicata;western hemlock;Spruce;Picea spp;balsam,440320
4403.20.00.65,2,Other,,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ ![ Logs && timber ] && ![ Poles &&  piles && posts ] && ![ Pulpwood ] ] ],coniferous;squared;strip;rough;sap wood;bark,pulpwood;post;Poles;timber;pile;Logs,440320
,1,Other &&  of tropical wood,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  of tropical wood ],tropical wood;squared;strip;rough;sap wood;bark,,
4403.41.00.00,2,Dark Red Meranti &&  Light Red Meranti && Meranti Bakau,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  of tropical wood ] && [ Dark Red Meranti &&  Light Red Meranti && Meranti Bakau ],tropical wood;Light Red;squared;strip;Red Meranti;Meranti Bakau;rough;sap wood;bark;Dark Red,,440341
4403.49.01.00,2,Other,,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  of tropical wood ] && [ ![ Dark Red Meranti &&  Light Red Meranti && Meranti Bakau ] ] ],tropical wood;squared;strip;rough;sap wood;bark,Red Meranti;Meranti Bakau;Light Red;Dark Red,440349
,1,Other,,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ],squared;strip;rough;sap wood;bark,creosote;tropical wood;coniferous;paint;preservative,
4403.91.00,2,Of oak (Quercus spp.),Quercus spp.,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ Of oak (Quercus spp.) ],squared;Quercus spp;strip;rough;oak;sap wood;bark,creosote;tropical wood;coniferous;paint;preservative,440391
4403.91.00.20,3,Of red oak,,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ Of oak (Quercus spp.) ] && [ Of red oak ],squared;Quercus spp;strip;rough;oak;sap wood;bark;red oak,creosote;tropical wood;coniferous;paint;preservative,440391
4403.91.00.40,3,Other,,[ [ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ Of oak (Quercus spp.) ] && [ ![ Of red oak ] ] ],squared;Quercus spp;strip;rough;oak;sap wood;bark,creosote;tropical wood;coniferous;paint;preservative;red oak,440391
4403.92.00.00,2,Of beech (Fagus spp.),Fagus spp.,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ Of beech (Fagus spp.) ],beech;Fagus spp;squared;strip;rough;sap wood;bark,creosote;tropical wood;coniferous;paint;preservative,440392
4403.99.00,2,Other,,[ [ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ ![ Of beech (Fagus spp.) ] && ![ Of oak (Quercus spp.) ] ] ],squared;strip;rough;sap wood;bark,creosote;beech;tropical wood;coniferous;paint;Fagus spp;preservative;Quercus spp;oak,440399
,3,Pulpwood,,[ [ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ ![ Of beech (Fagus spp.) ] && ![ Of oak (Quercus spp.) ] ] ] && [ Pulpwood ],pulpwood;squared;strip;rough;sap wood;bark,creosote;beech;tropical wood;coniferous;paint;Fagus spp;preservative;Quercus spp;oak,
4403.99.00.22,4,Of poplar &&  aspen or cottonwood,,[ [ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ ![ Of beech (Fagus spp.) ] && ![ Of oak (Quercus spp.) ] ] ] && [ Pulpwood ] && [ Of poplar &&  aspen or cottonwood ],poplar;squared;strip;Pulpwood;rough;sap wood;bark;cottonwood,creosote;beech;tropical wood;coniferous;paint;Fagus spp;preservative;Quercus spp;oak,440399
4403.99.00.23,4,Other,,[ [ [ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ ![ Of beech (Fagus spp.) ] && ![ Of oak (Quercus spp.) ] ] ] && [ Pulpwood ] && [ ![ Of poplar &&  aspen or cottonwood ] ] ],squared;strip;Pulpwood;rough;sap wood;bark,creosote;beech;tropical wood;poplar;coniferous;paint;Fagus spp;preservative;Quercus spp;oak;cottonwood,440399
,3,Poles &&  piles && posts,,[ [ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ ![ Of beech (Fagus spp.) ] && ![ Of oak (Quercus spp.) ] ] ] && [ Poles &&  piles && posts ],post;Poles;squared;strip;rough;pile;sap wood;bark,creosote;beech;tropical wood;coniferous;paint;Fagus spp;preservative;Quercus spp;oak,
4403.99.00.26,4,Of poplar &&  aspen or cottonwood,,[ [ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ ![ Of beech (Fagus spp.) ] && ![ Of oak (Quercus spp.) ] ] ] && [ Poles &&  piles && posts ] && [ Of poplar &&  aspen or cottonwood ],post;poplar;Poles;squared;strip;rough;pile;sap wood;bark;cottonwood,creosote;beech;tropical wood;coniferous;paint;Fagus spp;preservative;Quercus spp;oak,440399
4403.99.00.27,4,Of birch,,[ [ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ ![ Of beech (Fagus spp.) ] && ![ Of oak (Quercus spp.) ] ] ] && [ Poles &&  piles && posts ] && [ Of birch ],post;Poles;squared;birch;strip;rough;pile;sap wood;bark,creosote;beech;tropical wood;coniferous;paint;Fagus spp;preservative;Quercus spp;oak,440399
4403.99.00.28,4,Other,,[ [ [ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ ![ Of beech (Fagus spp.) ] && ![ Of oak (Quercus spp.) ] ] ] && [ Poles &&  piles && posts ] && [ ![ Of birch ] && ![ Of poplar &&  aspen or cottonwood ] ] ],post;Poles;squared;strip;rough;pile;sap wood;bark,creosote;beech;tropical wood;poplar;coniferous;paint;Fagus spp;preservative;birch;Quercus spp;oak;cottonwood,440399
,3,Other,,[ [ [ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ ![ Of beech (Fagus spp.) ] && ![ Of oak (Quercus spp.) ] ] ] && [ ![ Poles &&  piles && posts ] && ![ Pulpwood ] ] ],squared;strip;rough;sap wood;bark,pulpwood;creosote;post;beech;tropical wood;coniferous;paint;Fagus spp;Poles;preservative;Quercus spp;oak;pile,
4403.99.00.30,4,Of birch (Betula spp.),Betula spp.,[ [ [ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ ![ Of beech (Fagus spp.) ] && ![ Of oak (Quercus spp.) ] ] ] && [ ![ Poles &&  piles && posts ] && ![ Pulpwood ] ] ] && [ Of birch (Betula spp.) ],squared;birch;strip;rough;Betula spp;sap wood;bark,pulpwood;creosote;post;beech;tropical wood;coniferous;paint;Fagus spp;Poles;preservative;Quercus spp;oak;pile,440399
4403.99.00.40,4,Of ash (Fraxinus spp.),Fraxinus spp.,[ [ [ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ ![ Of beech (Fagus spp.) ] && ![ Of oak (Quercus spp.) ] ] ] && [ ![ Poles &&  piles && posts ] && ![ Pulpwood ] ] ] && [ Of ash (Fraxinus spp.) ],Fraxinus spp;ash;squared;strip;rough;sap wood;bark,pulpwood;creosote;post;beech;tropical wood;coniferous;paint;Fagus spp;Poles;preservative;Quercus spp;oak;pile,440399
4403.99.00.50,4,Of western red alder (Alnus rubra),Alnus rubra,[ [ [ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ ![ Other &&  of tropical wood ] && ![ Other &&  coniferous ] && ![ Treated with paint &&  stain &&  creosote or other preservatives ] ] ] && [ ![ Of beech (Fagus spp.) ] && ![ Of oak (Quercus spp.) ] ] ] && [ ![ Poles &&  piles && posts ] && ![ Pulpwood ] ] ] && [ Of western red alder (Alnus rubra) ],western red;squared;strip;red alder;rough;sap wood;bark;Alnus rubra,pulpwood;creosote;post;beech;tropical wood;coniferous;paint;Fagus spp;Poles;preservative;Quercus spp;oak;pile,440399
