sc_name,genus,species,type,family
,Shorea,glauca,,Dipterocarpaceae
,Shorea,guiso,,Dipterocarpaceae
,Shorea,havilandii,,Dipterocarpaceae
,Shorea,hemsleyana,,Dipterocarpaceae
,Shorea,hopeifolia,,Dipterocarpaceae
,Shorea,hypochra,,Dipterocarpaceae
,Shorea,javanica,,Dipterocarpaceae
,Shorea,johorensis,,Dipterocarpaceae
,Shorea,kalunti,,Dipterocarpaceae
,Shorea,kunstleri,,Dipterocarpaceae
,Shorea,laevifolia,,Dipterocarpaceae
,Shorea,laevis,,Dipterocarpaceae
,Shorea,lamellata,,Dipterocarpaceae
,Shorea,lepidota,,Dipterocarpaceae
,Shorea,leprosula,,Dipterocarpaceae
,Shorea,leptoclados,,Dipterocarpaceae
,Shorea,leptoderma,,Dipterocarpaceae
,Shorea,longipetala,,Dipterocarpaceae
,Shorea,macrantha,,Dipterocarpaceae
,Shorea,macroptera,,Dipterocarpaceae
,Shorea,materialis,,Dipterocarpaceae
,Shorea,maxwelliana,,Dipterocarpaceae
,Shorea,multiflora,,Dipterocarpaceae
,Shorea,negrosensis,,Dipterocarpaceae
,Shorea,ochrophloia,,Dipterocarpaceae
,Shorea,ovaIis,,Dipterocarpaceae
,Shorea,ovata,,Dipterocarpaceae
,Shorea,parvifolia,,Dipterocarpaceae
,Shorea,pauciflora,,Dipterocarpaceae
,Shorea,plagata,,Dipterocarpaceae
,Shorea,platyclados,,Dipterocarpaceae
,Shorea,quadrinervis,,Dipterocarpaceae
,Shorea,resina-nigra,,Dipterocarpaceae
,Shorea,roxburghii,,Dipterocarpaceae
,Shorea,rugosa,,Dipterocarpaceae
,Shorea,seminis,,Dipterocarpaceae
,Shorea,singkawang,,Dipterocarpaceae
,Shorea,smithiana,,Dipterocarpaceae
,Shorea,stellata,,Dipterocarpaceae
,Shorea,submontana,,Dipterocarpaceae
,Shorea,sumatrana,,Dipterocarpaceae
,Shorea,superba,,Dipterocarpaceae
,Sideroxylon,obtusifolium,,Sapotaceae
,Simarouba,amara,,Simaroubaceae
,Simira,salvadorensis,,Rubiaceae
,Sindora,bruggemanii,,Leguminosae
,Sindora,coriacea,,Leguminosae
,Sindora,javanica,,Leguminosae
,Sindora,leiocarpa,,Leguminosae
,Sindora,siamensis,,Leguminosae
,Sindora,supa,,Leguminosae
,Sindora,velutina,,Leguminosae
,Sindora,wallichii,,Leguminosae
,Sinopodophyllum,hexandrum,,Berberidaceae
,Siphonodon,australis,,Celastraceae
,Sorbus,aria,,Rosaceae
,Sorbus,aucuparia,,Rosaceae
,Sorbus,intermedia,,Rosaceae
,Sorbus,torminalis,,Rosaceae
,Spathodea,campanulata,,Bignoniaceae
,Spirostachys,africana,,Euphorbiaceae
,Spondias,mombin,,Anacardiaceae
,Staudtia,kamerunensis,,Myristicaceae
,Staudtia,kamerunensis,,Myristicaceae
,Staudtia,kamerunensis,,Myristicaceae
,Sterculia,apetala,,Malvaceae
,Sterculia,ceramica,,Malvaceae
,Sterculia,conwentzii,,Malvaceae
,Sterculia,oblonga,,Malvaceae
,Sterculia,pruriens,,Malvaceae
,Sterculia,rhinopetala,,Malvaceae
,Sterculia,rugosa,,Malvaceae
,Sterculia,vitiensis,,Malvaceae
,Strombosia,glaucescens,,Olacaceae
,Strombosia,pustulata,,Olacaceae
,Swartzia,benthamiana,,Leguminosae
,Swartzia,cubensis,,Leguminosae
,Swartzia,leiocalycina,,Leguminosae
,Swartzia,panacoco,,Leguminosae
,Sweetia,fruticosa,,Leguminosae
,Swietenia,humilis,,Meliaceae
,Swietenia,macrophylla,,Meliaceae
,Swietenia,mahagoni,,Meliaceae
,Swintonia,floribunda,,Anacardiaceae
,Swintonia,schwenckii,,Anacardiaceae
,Swintonia,spicifera,,Anacardiaceae
,Sympetalandra,densiflora,,Leguminosae
,Symphonia,globulifera,,Clusiaceae
,Symplocos,martinicensis,,Symplocaceae
,Syncarpia,glomulifera,,Myrtaceae
,Syringa,vulgaris,,Oleaceae
,Syzygium,buettnerianum,,Myrtaceae
,Syzygium,cumini,,Myrtaceae
,Syzygium,dyerianum,,Myrtaceae
,Syzygium,eugenioides,,Myrtaceae
,Syzygium,kuranda,,Myrtaceae
,Syzygium,suborbiculare,,Myrtaceae
,Tabebuia,insignis,,Bignoniaceae
,Tabebuia,pallida,,Bignoniaceae
,Tabebuia,rosea,,Bignoniaceae
,Tachigali,myrmecophila,,Leguminosae
,Tachigali,paniculata,,Leguminosae
,Tamarindus,indica,,Leguminosae
,Tambourissa,thouvenotii,,Monimiaceae
,Tapirira,guianensis,,Anacardiaceae
,Tarrietia,densiflora,,Malvaceae
,Tarrietia,sylvatica,,Malvaceae
,Tarrietia,utilis,,Malvaceae
,Tectona,grandis,,Lamiaceae
,Terminalia,alata,,Combretaceae
,Terminalia,amazonia,,Combretaceae
,Terminalia,arjuna,,Combretaceae
,Terminalia,bellirica,,Combretaceae
,Terminalia,bialata,,Combretaceae
,Terminalia,brassii,,Combretaceae
,Terminalia,calamansanay,,Combretaceae
,Terminalia,catappa,,Combretaceae
,Terminalia,celebica,,Combretaceae
,Terminalia,chebula,,Combretaceae
,Terminalia,complanata,,Combretaceae
,Terminalia,guyanensis,,Combretaceae
,Terminalia,ivorensis,,Combretaceae
,Terminalia,macroptera,,Combretaceae
,Terminalia,microcarpa,,Combretaceae
,Terminalia,nitens,,Combretaceae
,Terminalia,oblonga,,Combretaceae
,Terminalia,paniculata,,Combretaceae
,Terminalia,procera,,Combretaceae
,Terminalia,solomonensis,,Combretaceae
,Terminalia,superba,,Combretaceae
,Terminalia,tomentosa,,Combretaceae
,Tessmannia,africana,,Leguminosae
,Testulea,gabonensis,,Ochnaceae
,Tetraberlinia,bifoliolata,,Leguminosae
,Tetraberlinia,tubmaniana,,Leguminosae
,Tetragastris,altissima,,Burseraceae
,Tetragastris,panamensis,,Burseraceae
,Tetrameles,nudiflora,,Tetramelaceae 
,Tetramerista,glabra,,Tetrameristaceae
,Tetrapleura,tetraptera,,Leguminosae
,Thespesia,populnea,,Malvaceae
,Tieghemella,africana,,Sapotaceae
,Tieghemella,heckelii,,Sapotaceae
,Tilia,americana,,Malvaceae
,Tilia,cordata,,Malvaceae
,Tilia,glabra,,Malvaceae
,Tilia,platyphyllos,,Malvaceae
,Tilia,europaea,,Malvaceae
,Tipuana,tipu,,Leguminosae
,Toona,calantas,,Meliaceae
,Toona,ciliata,,Meliaceae
,Toona,sureni,,Meliaceae
,Trema,orientalis,,Cannabaceae
,Triadica,cochinchinensis,,Euphorbiaceae
,Triplaris,weigeltiana,,Polygonaceae
,Triplochiton,scleroxylon,,Malvaceae
,Tristaniopsis,decorticata,,Myrtaceae
,Trochodendron,aralioides,,Trochodendraceae
,Turpinia,ovalifolia,,Staphyleaceae
,Turraeanthus,africana,,Meliaceae
,Uapaca,guineensis,,Phyllanthaceae
,Uapaca,heudelotii,,Phyllanthaceae
,Ulmus,alata,,Ulmaceae
,Ulmus,americana,,Ulmaceae
,Ulmus,campestris,,Ulmaceae
,Ulmus,crassifolia,,Ulmaceae
,Ulmus,glabra,,Ulmaceae
,Ulmus,hollandica,,Ulmaceae
,Ulmus,laevis,,Ulmaceae
,Ulmus,minor,,Ulmaceae
,Ulmus,pumila,,Ulmaceae
,Ulmus,rubra,,Ulmaceae
,Ulmus,thomasii,,Ulmaceae
,Umbellularia,californica,,Lauraceae
,Upuna,borneensis,,Dipterocarpaceae
,Vatairea,guianensis,,Leguminosae
,Vatica,rassak,,Dipterocarpaceae
,Vatica,scaphula,,Dipterocarpaceae
,Vatica,tonkinensis,,Dipterocarpaceae
,Virola,albidiflora,,Myristicaceae
,Virola,carinata,,Myristicaceae
,Virola,elongata,,Myristicaceae
,Virola,flexuosa,,Myristicaceae
,Virola,gardneri,,Myristicaceae
,Virola,koschnyi,,Myristicaceae
,Virola,michelii,,Myristicaceae
,Virola,multicostata,,Myristicaceae
,Virola,pavonis,,Myristicaceae
,Virola,sebifera,,Myristicaceae
,Virola,surinamensis,,Myristicaceae
,Vitex,cofassus,,Lamiaceae
,Vitex,doniana,,Lamiaceae
,Vitex,gaumeri,,Lamiaceae
,Vitex,glabrata,,Lamiaceae
,Vitex,micrantha,,Lamiaceae
,Vitex,parviflora,,Lamiaceae
,Vitex,phaeotricha,,Lamiaceae
,Vitex,pinnata,,Lamiaceae
,Vitex,quinata,,Lamiaceae
,Vitex,triflora,,Lamiaceae
,Vitex,turczaninowii,,Lamiaceae
,Vitex,vestita,,Lamiaceae
,Vochysia,citrifolia,,Vochysiaceae
,Vochysia,densiflora,,Vochysiaceae
,Vochysia,divergens,,Vochysiaceae
,Vochysia,diversa,,Vochysiaceae
,Vochysia,duquei,,Vochysiaceae
,Vochysia,ferruginea,,Vochysiaceae
,Vochysia,guatemalensis,,Vochysiaceae
,Vochysia,guianensis,,Vochysiaceae
,Vochysia,lanceolata,,Vochysiaceae
,Vochysia,leguiana,,Vochysiaceae
,Vochysia,lehmannii,,Vochysiaceae
,Vochysia,maxima,,Vochysiaceae
,Vochysia,obidensis,,Vochysiaceae
,Vochysia,obscura,,Vochysiaceae
,Vochysia,schomburgkii,,Vochysiaceae
,Vochysia,tetraphylla,,Vochysiaceae
,Vochysia,tomentosa,,Vochysiaceae
,Vouacapoua,americana,,Leguminosae
,Vouacapoua,macropetala,,Leguminosae
,Wallaceodendron,celebicum,,Leguminosae
,Warburgia,ugandensis,,Canellaceae
,Weinmannia,trichosperma,,Cunoniaceae
,Wrightia,arborea,,Apocynaceae
,Wrightia,pubescens,,Apocynaceae
,Xanthophyllum,excelsum,,Polygalaceae
,Xanthophyllum,papuanum,,Polygalaceae
,Xylia,xylocarpa,,Leguminosae
,Xylocarpus,granatum,,Meliaceae
,Xylocarpus,moluccensis,,Meliaceae
,Zanthoxylum,caribaeum,,Rutaceae
,Zanthoxylum,flavum,,Rutaceae
,Zanthoxylum,gilletii,,Rutaceae
,Zanthoxylum,heitzii,,Rutaceae
,Zanthoxylum,rhetsa,,Rutaceae
,Zanthoxylum,riedelianum,,Rutaceae
,Zelkova,serrata,,Ulmaceae
,Zollernia,paraensis,,Leguminosae
,Zygia,racemosa,,Leguminosae
,Agathis,alba,,Araucariaceae
,Agathis,australis,,Araucariaceae
,Agathis,borneensis,,Araucariaceae
,Agathis,dammara,,Araucariaceae
,Agathis,macrophylla,,Araucariaceae
,Agathis,moorei,,Araucariaceae
,Agathis,philippinensis,,Araucariaceae
,Agathis,robusta,,Araucariaceae
,Araucaria,angustifolia,,Araucariaceae
,Araucaria,araucana,,Araucariaceae
,Araucaria,bidwillii,,Araucariaceae
,Araucaria,columnaris,,Araucariaceae
,Araucaria,cunninghamii,,Araucariaceae
,Araucaria,hunsteinii,,Araucariaceae
,Callitris,columellaris,,Cupressaceae
,Callitris,endlicheri,,Cupressaceae
,Calocedrus,decurrens,,Cupressaceae
,Chamaecyparis,lawsoniana,,Cupressaceae
,Chamaecyparis,thyoides,,Cupressaceae
,Cryptomeria,japonica,,Cupressaceae
,Cunninghamia,lanceolata,,Cupressaceae
,Cupressus,lusitanica,,Cupressaceae
,Cupressus,macnabiana,,Cupressaceae
,Cupressus,macrocarpa,,Cupressaceae
,Cupressus,nootkatensis,,Cupressaceae
,Cupressus,sempervirens,,Cupressaceae
,Cupressus,torulosa,,Cupressaceae
,Fitzroya,cupressoides,,Cupressaceae
,Juniperus,deppeana,,Cupressaceae
,Juniperus,occidentalis,,Cupressaceae
,Juniperus,oxycedrus,,Cupressaceae
,Juniperus,procera,,Cupressaceae
,Juniperus,virginiana,,Cupressaceae
,Pilgerodendron,uviferum,,Cupressaceae
,Platycladus,orientalis,,Cupressaceae
,Sequoia,sempervirens,,Cupressaceae
,Sequoiadendron,gigantum,,Cupressaceae
,Taxodium,distichum,,Cupressaceae
,Tetraclinis,articulata,,Cupressaceae
,Thuja,occidentalis,,Cupressaceae
,Thuja,plicata,,Cupressaceae
,Widdringtonia,whytei,,Cupressaceae
,Abies,alba,,Pinaceae
,Abies,amabilis,,Pinaceae
,Abies,balsamea,,Pinaceae
,Abies,bracteata,,Pinaceae
,Abies,concolor,,Pinaceae
,Abies,grandis,,Pinaceae
,Abies,guatemalensis,,Pinaceae
,Abies,lasiocarpa,,Pinaceae
,Abies,magnifica,,Pinaceae
,Abies,procera,,Pinaceae
,Abies,sibirica,,Pinaceae
,Abies,spectabilis,,Pinaceae
,Cedrus,atlantica,,Pinaceae
,Cedrus,deodara,,Pinaceae
,Cedrus,libani,,Pinaceae
,Larix,decidua,,Pinaceae
,Larix,gmelinii,,Pinaceae
,Larix,kaempferi,,Pinaceae
,Larix,laricina,,Pinaceae
,Larix,occidentalis,,Pinaceae
,Larix,sibirica,,Pinaceae
,Picea,abies,,Pinaceae
,Picea,engelmannii,,Pinaceae
,Picea,glauca,,Pinaceae
,Picea,jezoensis,,Pinaceae
,Picea,mariana,,Pinaceae
,Picea,omorika,,Pinaceae
,Picea,rubens,,Pinaceae
,Picea,sitchensis,,Pinaceae
,Pinus,ayacahuite,,Pinaceae
,Pinus,banksiana,,Pinaceae
,Pinus,caribaea,,Pinaceae
,Pinus,clausa,,Pinaceae
,Pinus,contorta,,Pinaceae
,Pinus,devoniana,,Pinaceae
,Pinus,echinata,,Pinaceae
,Pinus,edulis,,Pinaceae
,Pinus,elliottii,,Pinaceae
,Pinus,englemannii,,Pinaceae
,Pinus,flexilis,,Pinaceae
,Pinus,glabra,,Pinaceae
,Pinus,heldreichii,,Pinaceae
,Pinus,jeffreyi,,Pinaceae
,Pinus,kesiya,,Pinaceae
,Pinus,kesiya,,Pinaceae
,Pinus,kesiya,,Pinaceae
,Pinus,koraiensis,,Pinaceae
,Pinus,lambertiana,,Pinaceae
,Pinus,merkusii,,Pinaceae
,Pinus,montezumae,,Pinaceae
,Pinus,monticola,,Pinaceae
,Pinus,mugo,,Pinaceae
,Pinus,nigra,,Pinaceae
,Pinus,oocarpa,,Pinaceae
,Pinus,palustris,,Pinaceae
,Pinus,patula,,Pinaceae
,Pinus,pinaster,,Pinaceae
,Pinus,ponderosa,,Pinaceae
,Pinus,pringlei,,Pinaceae
,Pinus,pseudostrobus,,Pinaceae
,Pinus,pungens,,Pinaceae
,Pinus,radiata,,Pinaceae
,Pinus,resinosa,,Pinaceae
,Pinus,rigida,,Pinaceae
,Pinus,serotina,,Pinaceae
,Pinus,strobus,,Pinaceae
,Pinus,sylvestris,,Pinaceae
,Pinus,taeda,,Pinaceae
,Pinus,taiwanensis,,Pinaceae
,Pinus,virginiana,,Pinaceae
,Pinus,wallichiana,,Pinaceae
,Pseudotsuga,menziesii,,Pinaceae
,Tsuga,canadensis,,Pinaceae
,Tsuga,heterophylla,,Pinaceae
,Tsuga,mertensiana,,Pinaceae
,Afrocarpus,falcatus,,Podocarpaceae
,Afrocarpus,gracilior,,Podocarpaceae
,Dacrycarpus,dacrydiodes,,Podocarpaceae
,Dacrycarpus,imbricatus,,Podocarpaceae
,Dacrydium,beccarii,,Podocarpaceae
,Dacrydium,cupressinum,,Podocarpaceae
,Dacrydium,elatum,,Podocarpaceae
,Dacrydium,nidulum,,Podocarpaceae
,Lagarostrobos,franklinii,,Podocarpaceae
,Nageia,wallichiana,,Podocarpaceae
,Phyllocladus,aspleniifolius,,Podocarpaceae
,Podocarpus,guatemalensis,,Podocarpaceae
,Podocarpus,neriifolius,,Podocarpaceae
,Podocarpus,rumphii,,Podocarpaceae
,Prumnopitys,ferruginea,,Podocarpaceae
,Taxus,baccata,,Taxaceae
,Taxus,brevifolia,,Taxaceae
,Taxus,cuspidata,,Taxaceae
,Taxus,fuana,,Taxaceae
,Taxus,sumatrana,,Taxaceae
,Taxus,wallichiana,,Taxaceae
,Taxus,wallichiana,,Taxaceae
,Taxus,wallichiana,,Taxaceae
