HTS Number,Indent,Description
0206.30,1,Of swine &&  frozen
0206.41,2,Livers
0206.49,2,Other
0206.80,1,Other &&  fresh or chilled
0206.90,1,Other &&  frozen
0206.90.00.20,2,Of sheep (including lamb)
0206.90.00.40,2,Of goats &&  horses &&  asses &&  mules or hinnies
0207,0,Meat && edible offal &&  of the poultry of heading 0105 &&  fresh &&  chilled or frozen
0207,1,Of chickens
0207.11,2,Not cut in pieces &&  fresh or chilled
0207.11.00.20,3,Young (broilers &&  fryers &&  roasters && capons)
0207.11.00.40,3,Other
0207.12,2,Not cut in pieces &&  frozen
0207.12.00.20,3,Young (broilers &&  fryers &&  roasters && capons)
0207.12.00.40,3,Other
0207.13,2,Cuts && offal &&  fresh or chilled
0207.14,2,Cuts && offal &&  frozen
0207.14.00.20,3,Livers
0207.14.00.40,3,Other
0207,1,Of turkeys
0207.24,2,Not cut in pieces &&  fresh or chilled
0207.25,2,Not cut in pieces &&  frozen
0207.25.20,3,Valued less than 88¢;/kg
0207.25.40,3,Valued 88¢ or more per kg
0207.26,2,Cuts && offal &&  fresh or chilled
0207.27,2,Cuts && offal &&  frozen
0207.27.00.20,3,Livers
0207.27.00.40,3,Other
0207,1,Of ducks
0207.41,2,Not cut in pieces &&  fresh or chilled
0207.42,2,Not cut in pieces &&  frozen
0207.43,2,Fatty livers &&  fresh or chilled
0207.44,2,Other &&  fresh or chilled
0207.45,2,Other &&  frozen
0207.45.00.20,3,Livers
0207.45.00.40,3,Other
0207,1,Of geese
0207.51,2,Not cut in pieces &&  fresh or chilled
0207.52,2,Not cut in pieces &&  frozen
0207.53,2,Fatty livers &&  fresh or chilled
0207.54,2,Other &&  fresh or chilled
0207.55,2,Other &&  frozen
0207.55.00.20,3,Livers
0207.55.00.40,3,Other
0207.60,1,Of guinea fowls
0207.60.10,2,Not cut in pieces &&  fresh or chilled
0207.60.20,2,Not cut in pieces &&  frozen
0207.60.30,2,Fatty livers &&  fresh or chilled
0207.60.40,2,Other &&  fresh or chilled
0207.60.60,2,Other &&  frozen
0207.60.60.20,3,Livers
0207.60.60.40,3,Other
0208,0,Other meat && edible meat offal &&  fresh &&  chilled or frozen
0208.10,1,Of rabbits or hares
0208.30,1,Of primates
0208.40.01,1,Of whales &&  dolphins && porpoises (mammals of the order Cetacea); of manatees && dugongs (mammals of the order Sirenia); of seals &&  sea lions && walruses (mammals of the suborder Pinnipedia).
0208.50,1,Of reptiles (including snakes && turtles)
0208.60,1,Of camels && other camelids (<i>Camelidae</i>)
0208.90,1,Other
0208.90.20,2,Deer
0208.90.25,2,Frogsʼ legs
0208.90.30,2,Quail &&  eviscerated &&  not in pieces
0208.90.91,2,Other
0209,0,Pig fat &&  free of lean meat &&  && poultry fat &&  not rendered or otherwise extracted &&  fresh &&  chilled &&  frozen &&  salted &&  in brine &&  dried or smoked
0209.10,1,Of pigs
0209.90,1,Other
0210,0,Meat && edible meat offal &&  salted &&  in brine &&  dried or smoked; edible flours && meals of meat or meat offal
0210,1,Meat of swine
0210.11,2,Hams &&  shoulders && cuts thereof &&  with bone in
0210.11.00.10,3,Hams && cuts thereof
0210.11.00.20,3,Shoulders && cuts thereof
0210.12,2,Bellies (streaky) && cuts thereof
0210.12.00.20,3,Bacon
0210.12.00.40,3,Other
0210.19,2,Other
0210.19.00.10,3,Canadian style bacon
0210.19.00.90,3,Other
0210.20,1,Meat of bovine animals
0210.20,1,Other &&  including edible flours && meals of meat or meat offal
0210.91,2,Of primates
0210.92.01,2,Of whales &&  dolphins && porpoises (mammals of the order Cetacea); of manatees && dugongs (mammals of the order Sirenia); of seals &&  sea lions && walruses (mammals of the suborder Pinnipedia)
0210.93,2,Of reptiles (including snakes && turtles)
0210.99,2,Other
0210.99.20,3,Meat of poultry of heading 0105
0210.99.91,3,Other
0301,0,Live fish
0301,1,Ornamental fish
0301.11,2,Freshwater
0301.11.00.10,3,Koi (common) carp (<i>Cyprinus carpio</i>)
0301.11.00.20,3,Goldfish( <i>Carassius auratus</i>) &&  Crucian carp (<i>Carassius carassius</i>)
0301.11.00.90,3,Other
0301.19,2,Other
0301,1,Other live fish
0301.91,2,Trout (<i>Salmo trutta &&  Oncorhynchus mykiss &&  Oncorhynchus clarki &&  Oncorhynchus aguabonita &&  Oncorhynchus gilae &&  Oncorhynchus apache </i>and<i> Oncorhynchus chrysogaster</i>)
0301.92,2,Eels (<i>Anguilla spp.</i>)
0301.93.02,2,Carp (<i>Cyprinus spp</i>. &&  <i>Carassius spp</i>. &&  <i>Ctenopharyngodon</i> <i>idellus</i> &&  <i>Hypophthalmichthys spp</i>. &&  <i>Cirrhinus spp</i>. &&  <i>Mylopharyngodon piceus</i> &&  <i>Catla catla</i> &&  <i>Labeo spp</i>. &&  <i>Osteochilus hasselti</i> &&  <i>Leptobarbus hoeveni</i> &&  <i>Megalobrama spp</i>.)
0301.93.02.10,3,Grass carp (<i>Ctenopharyngodon idellus</i>) &&  silver carp (<i>Hypophthalmichthys molitrix</i>) && bighead carp (<i>Aristichthys nobilis</i>)
0301.93.02.90,3,Other
0301.94.01,2,Atlantic && Pacific bluefin tunas (<i>Thunnus thynnus &&  Thunnus orientalis</i>)
0301.95,2,Southern Bluefin tunas (<i>Thunnus maccoyii</i>)
0301.99.03,2,Other
0301.99.03.10,3,Tench (<i>Tinca tinca</i>) &&  sheatfish (<i>Silurus glanis</i>)
0301.99.03.15,3,Bighead carp (<i>Aristichthys nobilis</i>)
0301.99.03.90,3,Other
0302,0,Fish &&  fresh or chilled &&  excluding fish fillets && other fish meat of heading 0304
0302,1,Salmonidae &&  excluding edible fish offal of subheadings 0302.91 to 0302.99
0302.11,2,Trout (<i>Salmo trutta &&  Oncorhynchus mykiss &&  Oncorhynchus clarki &&  Oncorhynchus aguabonita &&  Oncorhynchus gilae &&  Oncorhynchus apache </i> <i><i>and </i></i><i>Oncorhynchus chrysogaster</i>)
0302.11.00.10,3,Rainbow trout (<i>Salmo gairdneri</i>) &&  farmed
0302.11.00.90,3,Other
0302.13,2,Pacific salmon (<i>Oncorhynchus nerka &&  Oncorhynchus gorbuscha &&  Oncorhynchus keta &&  Oncorhynchus tschawytscha &&  Oncorhynchus kisutch &&  Oncorhynchus masou</i> && <i>Oncorhynchus rhodurus</i>)
0302.13,3,Chinook (king)
0302.13.00.13,4,Farmed
0302.13.00.14,4,Not farmed
0302.13.00.22,3,Chum (dog)
0302.13.00.32,3,Pink (humpie)
0302.13.00.42,3,Sockeye (red)
0302.13.00.42,3,Coho (silver)
0302.13.00.53,4,Farmed
0302.13.00.54,4,Not farmed
0302.13.00.62,3,Other
0302.14,2,Atlantic salmon (<i>Salmo salar</i>) && Danube salmon (<i>Hucho hucho</i>)
0302.14,3,Atlantic
0302.14.00.03,4,Farmed
0302.14.00.04,4,Not farmed
0302.14.00.62,3,Other
0302.19,2,Other
0302,1,Flat fish (<i>Pleuronectidae &&  Bothidae &&  Cynoglossidae &&  Soleidae &&  Scophthalmidae</i> && <i>Citharidae</i>) &&  excluding edible fish offal of subheadings 0302.91 to 0302.99
0302.21,2,Halibut && Greenland turbot (<i>Reinhardtius hippoglossoides &&  Hippoglossus hippoglossus &&  Hippoglossus stenolepis</i>)
0302.21.00.10,3,Atlantic
0302.21.00.20,3,Pacific
0302.21.00.90,3,Other (including Greenland)
0302.22,2,Plaice (<i>Pleuronectes platessa</i>)
0302.23,2,Sole (<i>Solea spp.</i>)
0302.24,2,Turbots (<i>Psetta maxima</i>)
0302.29.01,2,Other
0302.29.01.10,3,Flounder
0302.29.01.90,3,Other
0302,1,Tunas (of the genus <i>Thunnus</i>) &&  skipjack or stripe-bellied bonito (<i>Euthynnus</i> (<i>Katsuwonus</i>) <i>pelamis</i>) &&  excluding edible fish offal of subheadings 0302.91 to 0302.99
0302.31,2,Albacore or longfinned tunas (Thunnus alalunga)
0302.32,2,Yellowfin tunas (<i>Thunnus albacares</i>)
0302.33,2,Skipjack or stripe-bellied bonito
0302.34,2,Bigeye tunas (<i>Thunnus obesus</i>)
0302.35.01,2,Atlantic && Pacific bluefin tunas (<i>Thunnus thynnus &&  Thunnus orientalis</i>)
0302.36,2,Southern bluefin tunas (<i>Thunnus maccoyii</i>)
0302.39.02,2,Other
0302,1,Herrings (<i>Clupea harengus</i> &&  <i>Clupea pallasii</i>) &&  anchovies (<i>Engraulis spp</i>.) &&  sardines (<i>Sardina pilchardus</i> &&  <i>Sardinops spp</i>.) &&  sardinella (<i>Sardinella spp</i>.) &&  brisling or sprats (<i>Sprattus sprattus</i>) &&  mackerel (<i>Scomber scombrus</i> &&  <i>Scomber australasicus</i> &&  <i>Scomber japonicus</i>) &&  Indian mackerels (<i>Rastrelliger spp</i>.) &&  seerfishes (<i>Scomberomorus spp</i>.) &&  jack && horse mackerel (<i>Trachurus spp</i>.) &&  jacks &&  crevalles (<i>Caranx spp</i>.) &&  cobia (<i>Rachycentron canadum</i>) &&  silver pomfrets (<i>Pampus spp</i>.) &&  Pacific saury (<i>Cololabis saira</i>) &&  scads (<i>Decapterus spp</i>.) &&  capelin (<i>Mallotus villosus</i>) &&  swordfish (<i>Xiphias gladius</i>) &&  Kawakawa (<i>Euthynnus affinis</i>) &&  bonitos (<i>Sarda spp</i>.) &&  marlins &&  sailfishes &&  spearfish (<i>Istiophoridae</i>) &&  excluding edible fish offal of subheadings 0302.91 to 0302.99
0302.41,2,Herrings (<i>Clupea harengus &&  Clupea pallasii</i>)
0302.42,2,Anchovies (<i>Engraulis spp.</i>)
0302.43,2,Sardines (<i>Sardina pilchardus &&  Sardinops spp.</i>) &&  sardinella (<i>Sardinella spp.</i>) &&  brisling or sprats (<i>Sprattus sprattus</i>)
0302.44,2,Mackerel (<i>Scomber scombrus &&  Scomber australasicus &&  Scomber japonicus</i>)
0302.45,2,Jack && horse mackerel (<i>Trachurus spp</i>)
0302.45.11,3,Scaled (whether or not heads &&  viscera and/or fins have been removed &&  but not otherwise processed) &&  in immediate containers weighing with their contents <il>6.8 kg</il> or less
0302.45.50,3,Other
0302.46,2,Cobia (<i>Rachycentron canadum</i>) 
0302.46.11,3,Scaled (whether or not heads &&  viscera and/or fins have been removed &&  but not otherwise processed) &&  in immediate containers weighing with their contents <il>6.8 kg</il> or less
0302.46.50,3,Other
0302.47,2,Swordfish (<i>Xiphias gladius</i>)
0302.47.00.10,3,Steaks
0302.47.00.90,3,Other
0302.49,2,Other
0302,1,Fish of the families <i>Bregmacerotidae &&  Euclichthyidae Gadidae &&  Macrouridae &&  Melanonidae &&  Merlucciidae &&  Moridae</i> && <i>Muraenolepididae</i> &&  excluding edible fish offal of subheadings 0302.91 to 0302.99
0302.51,2,Cod (<i>Gadus morhua &&  Gadus ogac &&  Gadus macrocephalus</i>)
0302.51.00.10,3,Atlantic
0302.51.00.90,3,Other
0302.52,2,Haddock (<i>Melanogrammus aeglefinus</i>)
0302.53,2,Coalfish (<i>Pollachius virens</i>)
0302.54,2,Hake (<i>Merluccius spp. &&  Urophycis spp.</i>)
0302.54.11,3,Scaled (whether or not heads &&  viscera and/or fins have been removed &&  but not otherwise processed) &&  in immediate containers weighing with their contents <il>6.8 kg</il> or less
0302.54.50,3,Other
0302.55,2,Alaska pollock (<i>Theragra chalcogramma</i>)
0302.55.11,3,Scaled (whether or not heads &&  viscera and/or fins have been removed &&  but not otherwise processed) &&  in immediate containers weighing with their contents <il>6.8 kg</il> or less
0302.55.50,3,Other
0302.56,2,Blue whitings (<i>Micromesistius poutassou &&  Micromesistius australis</i>)
0302.56.11,3,Scaled (whether or not heads &&  viscera and/or fins have been removed &&  but not otherwise processed) &&  in immediate containers weighing with their contents <il>6.8 kg</il> or less
0302.56.50,3,Other
0302.59,2,Other
0302.59.11,3,Scaled (whether or not heads &&  viscera and/or fins have been removed &&  but not otherwise processed) &&  in immediate containers weighing with their contents <il>6.8 kg</il> or less
0302.59.50,3,Other
0302.59.50.10,4,Pollock
0302.59.50.90,4,Other
0302,1,Tilapias (<i>Oreochromis spp</i>.) &&  catfish (<i>Pangasius spp</i>. &&  <i>Silurus spp</i>. &&  <i>Clarias spp</i>. &&  <i>Ictalurus spp</i>.) &&  carp (<i>Cyprinus spp</i>. &&  <i>Carassius spp</i>. &&  <i>Ctenopharyngodon idellus</i> &&  <i>Hypophthalmichthys spp</i>. &&  <i>Cirrhinus</i> <i>spp</i>. &&  <i>Mylopharyngodon piceus</i> &&  <i>Catla catla</i> &&  <i>Labeo spp</i>. &&  <i>Osteochilus hasselti</i> &&  <i>Leptobarbus hoeveni</i> &&  <i>Megalobrama spp</i>.) &&  eels (<i>Anguilla spp</i>.) &&  Nile perch (<i>Lates niloticus</i>) && snakeheads (<i>Channa spp</i>.) &&  excluding edible fish offal of subheadings 0302.91 to 0302.99
0302.71,2,Tilapias (<i>Oreochromis spp</i>.)
0302.71.11,3,Scaled (whether or not heads &&  viscera and/or fins have been removed &&  but not otherwise processed) &&  in immediate containers weighing with their contents <il>6.8 kg</il> or less
0302.71.50,3,Other
0302.72,2,Catfish (<i>Pangasius spp. &&  Silurus spp. &&  Clarias spp. &&  Ictalurus spp.</i>)
0302.72.11,3,Scaled (whether or not heads &&  viscera and/or fins have been removed &&  but not otherwise processed) &&  in immediate containers weighing with their contents <il>6.8 kg</il> or less
0302.72.50,3,Other
0302.72.50.01,4,<i>Ictalurus spp.</i>
0302.72.50.04,4,<i>Pangasius spp</i>. including basa && tra
0302.72.50.34,4,Other
0302.73,2,Carp (<i>Cyprinus spp</i>. &&  <i>Carassius spp</i>. &&  <i>Ctenopharyngodon idellus</i> &&  <i>Hypophthalmichthys spp</i>. &&  <i>Cirrhinus spp</i>. &&  <i>Mylopharyngodon piceus</i> &&  <i>Catla catla</i> &&  <i>Labeo spp</i>. &&  <i>Osteochilus hasselti</i> &&  <i>Leptobarbus hoeveni</i> &&  <i>Megalobrama spp</i>.)
0302.73.11,3,Scaled (whether or not heads &&  viscera and/or fins have been removed &&  but not otherwise processed) &&  in immediate containers weighing with their contents <il>6.8 kg</il> or less
0302.73.50,3,Other
0302.74,2,Eels (<i>Anguilla spp.</i>)
0302.79,2,Other
0302.79.11,3,Scaled (whether or not heads &&  viscera and/or fins have been removed &&  but not otherwise processed) &&  in immediate containers weighing with their contents <il>6.8 kg</il> or less
0302.79.50,3,Other
0302.79.50.25,4,Nile perch
0302.79.50.76,4,Other
0302,1,Other fish &&  excluding edible fish offal of subheadings 0302.91 to 0302.99
0302.81,2,Dogfish && other sharks
0302.81.00.11,3,Dogfish (<u><i>Squalus</i></u> <i>spp.</i>)
0302.81.00.91,3,Other
0302.82,2,Rays && skates (<i>Rajidae</i>)
0302.83,2,Toothfish (<i>Dissostichus spp.</i>)
0302.84,2,Seabass (<i>Dicentrarchus spp.</i>)
0302.84.11,3,Scaled (whether or not heads &&  viscera and/or fins have been removed &&  but not otherwise processed) &&  in immediate containers weighing with their contents <il>6.8 kg</il> or less
0302.84.50,3,Other
0302.85,2,Seabream (<i>Sparidae</i>)
0302.85.11,3,Scaled (whether or not heads &&  viscera and/or fins have been removed &&  but not otherwise processed) &&  in immediate containers weighing with their contents <il>6.8 kg</il> or less
0302.85.50,3,Other
0302.89,2,Other 
0302.89.11,3,Scaled (whether or not heads &&  viscera and/or fins have been processed) &&  in immediate containers weighing with their contents <il>6.8 kg</il> or less
0302.89.11.20,4,Sable fish (<i>Anoplopoma fimbria</i>)
0302.89.11.40,4,Other
0302.89.50,3,Other
0302.89.50,4,Fresh-water fish
0302.89.50.07,5,Pike
0302.89.50.10,5,Pickerel
0302.89.50.10,5,Perch
0302.89.50.13,6,Pike perch (including yellow pike)
0302.89.50.25,6,Other
0302.89.50.28,5,Bass
0302.89.50.31,5,Whitefish
0302.89.50.34,5,Other
0302.89.50.37,4,Smelts
0302.89.50.40,4,Cusk
0302.89.50.49,4,Shad && sturgeon
0302.89.50.52,4,Sable fish (<i>Anoplopoma fimbria</i>)
0302.89.50.55,4,Ocean perch
0302.89.50.58,4,Snapper (<i>Lutjanidae</i>)
0302.89.50.61,4,Grouper
0302.89.50.64,4,Lingcod (<i>Ophiodon elongatus</i>)
0302.89.50.67,4,Monkfish (<i>Lophius spp.</i>)
0302.89.50.70,4,Atka mackerel (Atkafish) (<i>Pleurogrammus monopterygius</i>)
0302.89.50.72,4,Dolphin fish (mahi mahi) (<i><u>Coryphaena</u></i> <i><u>spp.</u></i>)
0302.89.50.77,4,Other
0302,1,Livers &&  roes &&  milt &&  fish fins &&  heads &&  tails &&  maws && other edible fish offal
0302.91,2,Livers &&  roes && milt
0302.91.20,3,Sturgeon roe
0302.91.40,3,Other
0302.91.40.10,4,Mullet roe
0302.91.40.90,4,Other
0302.92,2,Shark fins
0302.99,2,Other
0303,0,Fish &&  frozen &&  excluding fish fillets && other fish meat of heading 0304
0303,1,Salmonidae &&  excluding edible fish offal of subheadings 0303.91 to 0303.99
0303.11,2,Sockeye salmon (red salmon) (<i>Oncorhynchus nerka</i>)
0303.12,2,Other Pacific salmon (<i>Oncorhynchus gorbuscha &&  Oncorhynchus keta &&  Oncorhynchus tschawytscha &&  Oncorhynchus kisutch &&  Oncorhynchus masou</i> && <i>Oncorhynchus rhodurus</i>)
0303.12.00.12,3,Chinook (king)
0303.12.00.22,3,Chum (dog)
0303.12.00.32,3,Pink (humpie)
0303.12.00.52,3,Coho (silver)
0303.12.00.62,3,Other
