,genus,species,common_name,range_state
44,Aniba,hypoglauca;Aniba,Gale Silverballi;Garl;Kawioi;Kurero Shiruaballi;Kurero Silverballi;Moena Puchiri;Silverballi;Yellow Silverballi;Yellow Sweetwood;Gale Silverballi,AR;BO;BV;BR;CL;CO;EC;FK;GF;GY;PY;PE;GS;SR;UY;VE
45,Aniba,perutilis,Coto;Coto Piquiante;Laurel Amarelo;Pau Rosa;Aceite de Palo;Caparrapi;Chachajo;Comino;Comino Canelo;Comino Real;Laurel Comino;Punte;Comino;Ishpingo Chico;Moena Amarilla;Muena Negro;Keriti;Comino Crespo,BO;BR;CO;PE;GB
46,Aniba,rosaeodora,Pau-Rosa;Bois rose femelle,BR
47,Aningeria,altissima,Mukali;Kali;M’Boul;Mukali;N’Kali;Aningueri blanc;Aniegre;Kararo;Muna;Mukangu;Landojan;Osan;Tutu;Aningré-Tanganyika Nuss;Tanganyika Nuss;Aningeria;Aningré;Aniégré,AO;CF;CG;CI;ET;KE;NG;UG;CD;DE;IT;GB
48,Aningeria,robusta,Mukali;Kali;M’Boul;Mukali;N’Kali;Aningueri blanc;Aniegre;Kararo;Muna;Mukangu;Landojan;Osan;Tutu;Aningré-Tanganyika Nuss;Tanganyika Nuss;Aningeria;Aningré;Aniégré,AO;CF;CG;CI;ET;KE;NG;UG;CD;DE;IT;GB
49,Aningeria,superba,Mukali;Kali;M’Boul;Mukali;N’Kali;Aningueri blanc;Aniegre;Kararo;Muna;Mukangu;Landojan;Osan;Tutu;Aningré-Tanganyika Nuss;Tanganyika Nuss;Aningeria;Aningré;Aniégré,AO;CF;CG;CI;ET;KE;NG;UG;CD;DE;IT;GB
50,Aningeria,,Aniégré (Aningré),AO;CF;CG;CI;ET;KE;NG;UG;CD;DE;IT;GB
51,Anisoptera,costata,Phdiek;Mersawa;Mai Bak;Mersawa;Pengiran;Kaunghmu;Mersawa;Palosapis;Krabak;Pik;Ven-Ven;Krabak;Bella Rosa;Mersawa,KH;ID;LA;MY;MM;PG;PH;TH;FR;GB;US
52,Anisoptera,curtisii,Phdiek;Mersawa;Mai Bak;Mersawa;Pengiran;Kaunghmu;Mersawa;Palosapis;Krabak;Pik;Ven-Ven;Krabak;Bella Rosa;Mersawa,KH;ID;LA;MY;MM;PG;PH;TH;FR;GB;US
53,Anisoptera,laevis,Phdiek;Mersawa;Mai Bak;Mersawa;Pengiran;Kaunghmu;Mersawa;Palosapis;Krabak;Pik;Ven-Ven;Krabak;Bella Rosa;Mersawa,KH;ID;LA;MY;MM;PG;PH;TH;FR;GB;US
54,Anisoptera,marginata,Phdiek;Mersawa;Mai Bak;Mersawa;Pengiran;Kaunghmu;Mersawa;Palosapis;Krabak;Pik;Ven-Ven;Krabak;Bella Rosa;Mersawa,KH;ID;LA;MY;MM;PG;PH;TH;FR;GB;US
55,Anisoptera,oblonga,Phdiek;Mersawa;Mai Bak;Mersawa;Pengiran;Kaunghmu;Mersawa;Palosapis;Krabak;Pik;Ven-Ven;Krabak;Bella Rosa;Mersawa,KH;ID;LA;MY;MM;PG;PH;TH;FR;GB;US
56,Anisoptera,thurifera,Phdiek;Mersawa;Mai Bak;Mersawa;Pengiran;Kaunghmu;Mersawa;Palosapis;Krabak;Pik;Ven-Ven;Krabak;Bella Rosa;Mersawa,KH;ID;LA;MY;MM;PG;PH;TH;FR;GB;US
57,Anisoptera,,Mersawa,KH;ID;LA;MY;MM;PG;PH;TH;FR;GB;US
58,Anopyxis,ealaensis,Bodioa,
59,Anopyxis,klaineana,Bodioa,
60,Anthocephalus,cadamba,Jabon;Kelempajan;Kalempayn;Kelampo;Kelepayan;Ludai;Kelempayan;Mau;Yemau;Maukadon;Mau-Lettan-She;Kaatoan Bangkal;Kadam,ID;MY;MM;PH
61,Anthocephalus,macrophyllus,Jabon;Kelempajan;Kalempayn;Kelampo;Kelepayan;Ludai;Kelempayan;Mau;Yemau;Maukadon;Mau-Lettan-She;Kaatoan Bangkal;Kadam,ID;MY;MM;PH
62,Anthonotha,fragrans,Kibakoko,
63,Antiaris,africana,Sansama;Ako;Akede;Chenchen;Kyenkyen;Oro;Ogiovu;Mlulu;Mkuzu;Kirundu;Mumaka;Bonkonko;Bonkongo;Antiaris;Antiaris;Ako,AO;CI;GH;NG;TZ;UG;CD;DE;GB
64,Antiaris,toxicaria,Sansama;Ako;Akede;Chenchen;Kyenkyen;Oro;Ogiovu;Mlulu;Mkuzu;Kirundu;Mumaka;Bonkonko;Bonkongo;Antiaris;Antiaris;Ako,AO;CI;GH;NG;TZ;UG;CD;DE;GB
65,Antiaris,welwitschii,Sansama;Ako;Akede;Chenchen;Kyenkyen;Oro;Ogiovu;Mlulu;Mkuzu;Kirundu;Mumaka;Bonkonko;Bonkongo;Antiaris;Antiaris;Ako,AO;CI;GH;NG;TZ;UG;CD;DE;GB
66,Antonia,ovata,Inyak,
67,Antrocaryon,klaineanum,N’Gongo;Angonga;Akoua;Anguekong;Onzabili;Aprokuma;Mugongo;Mongongo;Onzabili,AO;CM;CI;GQ;GA;GH;CD;PT
68,Antrocaryon,micraster,N’Gongo;Angonga;Akoua;Anguekong;Onzabili;Aprokuma;Mugongo;Mongongo;Onzabili,AO;CM;CI;GQ;GA;GH;CD;PT
69,Antrocaryon,nannanii,N’Gongo;Angonga;Akoua;Anguekong;Onzabili;Aprokuma;Mugongo;Mongongo;Onzabili,AO;CM;CI;GQ;GA;GH;CD;PT
70,Artocarpus,,Keledang (Terap),ID;MY;PH;TH
71,Aspidosperma,,Pau marfim (Peroba rosa),BZ;BO;BR;CO;GF;GT;GY;HN;MX;PA;PE;SR;VE
72,Astronium,balansae,Urunday del Noroeste;Urunday-Mi;Urundel;Cuchi;Arindeúva;Aroeira-do-Sertão;Aroeira Preta;Urindeúva;Urunde'y Mi;Bois de Zèbre;Bossona;Mura;Tigerwood;Urunday-Para;Zebrano;Zebrawood;Zorrowood;Urunday,AR;BO;BR;PY;BZ;CR;SV;GT;HN;NI;PA;AR;BO;BV;BR;CL;CO;EC;FK;GF;GY;PY;PE;GS;SR;UY;VE
73,Astronium,concinnum,Urunday del Noroeste;Urunday-Mi;Urundel;Cuchi;Arindeúva;Aroeira-do-Sertão;Aroeira Preta;Urindeúva;Urunde'y Mi;Bois de Zèbre;Bossona;Mura;Tigerwood;Urunday-Para;Zebrano;Zebrawood;Zorrowood;Urunday,AR;BO;BR;PY;BZ;CR;SV;GT;HN;NI;PA;AR;BO;BV;BR;CL;CO;EC;FK;GF;GY;PY;PE;GS;SR;UY;VE
74,Astronium,graveolens,Urunday del Noroeste;Urunday-Mi;Urundel;Cuchi;Arindeúva;Aroeira-do-Sertão;Aroeira Preta;Urindeúva;Urunde'y Mi;Bois de Zèbre;Bossona;Mura;Tigerwood;Urunday-Para;Zebrano;Zebrawood;Zorrowood;Urunday,AR;BO;BR;PY;BZ;CR;SV;GT;HN;NI;PA;AR;BO;BV;BR;CL;CO;EC;FK;GF;GY;PY;PE;GS;SR;UY;VE
75,Astronium,urundeuva,Urunday del Noroeste;Urunday-Mi;Urundel;Cuchi;Arindeúva;Aroeira-do-Sertão;Aroeira Preta;Urindeúva;Urunde'y Mi;Bois de Zèbre;Bossona;Mura;Tigerwood;Urunday-Para;Zebrano;Zebrawood;Zorrowood;Urunday,AR;BO;BR;PY;BZ;CR;SV;GT;HN;NI;PA;AR;BO;BV;BR;CL;CO;EC;FK;GF;GY;PY;PE;GS;SR;UY;VE
76,Aucoumea,klaineana,N’Kumi;Okumé;N’Goumi;Okoumé;Angouma;Gaboon;Okoumé,CG;GQ;GA;GB
77,Autranella,congolensis,Kungulu;Elang;Elanzok;Bouanga;Mfua;Mukulungu;Akola;Uku;Mukulungu,AO;CM;CF;CG;CD;GA;NG
78,Bagassa,guianensis,Amapa-Rana;Tatajuba;Bagasse Jaune;Gele Bagasse;Tatajuba,BR;GF;SR
79,Baikiaea,plurijuga,Mukusi;Rhodesian Teak;Zambian Teak;Zambesi Redwood;Umgusi,BI;KM;DJ;ER;ET;KE;MG;MW;MU;YT;MZ;RE;RW;SC;SO;SS;TZ;UG;ZM;ZW
80,Baillonella,toxisperma,Adjap;Ayap;Dimpampi;Ayap;M’Foi;Muamba jaune;African Pearwood;Moabi,CM;CG;GQ;GA;CD;GB
81,Balanocarpus,heimii,Penak-Bunga;Penak-Sabut;Penak-Tembaga;Chengal;Takian Chan;Chengal,ID;MY;TH
82,Baphia,nitida,Okoué,
83,Baphia,pubescens,Okoué,
84,Barringtonia,asiatica,Fish Poison Tree;Sea Poison Tree;Botong,BN;KH;TL;ID;LA;MY;MM;PH;SG;TH;VN
85,Beilschmiedia,congolana,Kanda;Bonzale;Bitehi;Nkonengu;Mfimbo;Kanda brun;Kanda rose;Kanda,CM;CF;CI;GA;TZ
86,Beilschmiedia,gaboonensis,Kanda;Bonzale;Bitehi;Nkonengu;Mfimbo;Kanda brun;Kanda rose;Kanda,CM;CF;CI;GA;TZ
87,Beilschmiedia,hutchinsoniana,Kanda;Bonzale;Bitehi;Nkonengu;Mfimbo;Kanda brun;Kanda rose;Kanda,CM;CF;CI;GA;TZ
88,Beilschmiedia,letouzeyi,Kanda;Bonzale;Bitehi;Nkonengu;Mfimbo;Kanda brun;Kanda rose;Kanda,CM;CF;CI;GA;TZ
89,Beilschmiedia,mannii,Kanda;Bonzale;Bitehi;Nkonengu;Mfimbo;Kanda brun;Kanda rose;Kanda,CM;CF;CI;GA;TZ
90,Beilschmiedia,oblongifolia,Kanda;Bonzale;Bitehi;Nkonengu;Mfimbo;Kanda brun;Kanda rose;Kanda,CM;CF;CI;GA;TZ
91,Beilschmiedia,,"Kanda (Kanda brun, Kanda rose)",CM;CF;CI;GA;TZ
92,Berlinia,bifoliolata,Ekop-Ribi;Eko-Andoung;Ekop;Ekop-Andoung;Hoh;Sikon;Ekop;Ekop;Ekaban;Tetraberlinia;Ekaba,CM;CG;GQ;GA;LR;DE;NL;ES;GB
93,Berlinia,bracteosa,M’possa;Bagbe;Abem;Essabem;M’Possa;M’Possa;Melegba;Pocouli;Ebiara;Berlinia;Ekpogoi;Sarkpei;Berlinia;Berlinia;Ebiara,AO;BJ;CM;CG;CD;CI;GA;GH;NG;SL;DE;GB
94,Berlinia,confusa,M’possa;Bagbe;Abem;Essabem;M’Possa;M’Possa;Melegba;Pocouli;Ebiara;Berlinia;Ekpogoi;Sarkpei;Berlinia;Berlinia;Ebiara,AO;BJ;CM;CG;CD;CI;GA;GH;NG;SL;DE;GB
95,Berlinia,grandiflora,M’possa;Bagbe;Abem;Essabem;M’Possa;M’Possa;Melegba;Pocouli;Ebiara;Berlinia;Ekpogoi;Sarkpei;Berlinia;Berlinia;Ebiara,AO;BJ;CM;CG;CD;CI;GA;GH;NG;SL;DE;GB
96,Berlinia,seretii,Alumbi,
97,Bertholletia,excelsa,Castanha-do-Brasil;Castanha-do Pará;Castanheira;Canstana do Brasil;Canstana do Pará;Castaña;Castanha-do-Maranhao;Nuez del Brasil;Châtaigne du brésil;Noix du brésil;Noix du pará;Brazil nut;Butter nut;Cream nut;Para nut;Castanheiro Para,BR;CO;FR;GB
98,Bobgunnia,fistuloides,Nom Nsas;Kisasambra;Boto;N’Guessa;Nsakala;Oken;Pau Ferro;Udoghogho;Pao rosa,CM;CG;CI;CF;CD;GA;MZ;NG
99,Bobgunnia,madagascariensis,Nom Nsas;Kisasambra;Boto;N’Guessa;Nsakala;Oken;Pau Ferro;Udoghogho;Pao rosa,CM;CG;CI;CF;CD;GA;MZ;NG
100,Bocoa,prouacensis,Wamara,
101,Bombacopsis,quinata,Cedro Espino;Cedro Espinoso;Cedro Tolua;Pochote;Cedro Tolua;Ceiba Tolua;Cedro Macho;Saqui Saqui;Cedro Dulce;Murea;Saqui-Saqui,BZ;CR;SV;GT;HN;NI;PA;CO;VE
102,Bombax,brevicuspe,Kpatin Dehun;Ovong;N’Demo;Kondroti;Alone;Ogumalanga;Bombax;Meguza;Mungusa;Awori;Mfume;East African Bombax;Kondroti,BJ;CM;CG;CI;GA;GH;MZ;NG;TZ;GB
103,Bombax,buonopozense,Kapokier,
104,Bombax,chevalieri,Kpatin Dehun;Ovong;N’Demo;Kondroti;Alone;Ogumalanga;Bombax;Meguza;Mungusa;Awori;Mfume;East African Bombax;Kondroti,BJ;CM;CG;CI;GA;GH;MZ;NG;TZ;GB
105,Bombax,flammeum,Kapokier,
106,Bombax,pentandrum,Doum;Fuma;Enia;Fromager;Onyina;Ghe;Okha;Araba;Ngwe;Banda;Fuma;Fromager;Ceiba;Ceiba;Fromager;Fuma,CM;CG;CI;GH;LR;NG;SL;CD;FR;DE;GB
107,Bombax,rhodognaphalon,Kpatin Dehun;Ovong;N’Demo;Kondroti;Alone;Ogumalanga;Bombax;Meguza;Mungusa;Awori;Mfume;East African Bombax;Kondroti,BJ;CM;CG;CI;GA;GH;MZ;NG;TZ;GB
108,Bowdichia,nitida,Sucupira;Sapurira;Arenillo;Zapan Negro;Coeur dehors;Baaka;Tatabu;Chontaquiro;Huasai-Caspi;Zwarte Kabbes;Congrio;Alcornoque;Sucupira,BR;CO;GF;GY;PE;SR;VE
109,Brachylaena,huillensis,Mkalambaki;Mkarambati;Muhugu;Muhuhu;Mvumo;Mkalambaki;Mkarambati;Muhugu;Muhuhu;Mvumo;Laeveldvaalbos;Mkalambaki;Mkarambati;Muhugu;Muhuhu;Mvumo;Mkalambaki;Mkarambati;Muhugu;Muhuhu;Mvumo;Low Veld Brachyleana;Low Veld Silver Oak;Silver Oak;Mühühü,CG;KE;ZA;TZ;UG;GB
110,Brachylaena,hutchinsii,Mkalambaki;Mkarambati;Muhugu;Muhuhu;Mvumo;Mkalambaki;Mkarambati;Muhugu;Muhuhu;Mvumo;Laeveldvaalbos;Mkalambaki;Mkarambati;Muhugu;Muhuhu;Mvumo;Mkalambaki;Mkarambati;Muhugu;Muhuhu;Mvumo;Low Veld Brachyleana;Low Veld Silver Oak;Silver Oak;Mühühü,CG;KE;ZA;TZ;UG;GB
111,Brachystegia,boehmii,Miombo;Mjombo,DZ;ES;ES;EG;LY;PT;ES;MA;SD;TN;EH;BI;KM;DJ;ER;ET;KE;MG;MW;MU;YT;MZ;RE;RW;SC;SO;SS;TZ;UG;ZM;ZW;AO;CM;CF;TD;CG;CD;GQ;GA;ST;BW;LS;NA;ZA;SZ;BJ;BF;CV;GM;GH;GN;GW;CI;LR;ML;MR;NE;NG;SH;SN;SL;TG
112,Brachystegia,cynometroides,Ekop-Naga;Meblo;Mendou;Tebako;Okwen;Bogdei;Okwen;Naga,CM;CI;GA;LR;NG;SL;GB
113,Brachystegia,eurycoma,Ekop-Naga;Meblo;Mendou;Tebako;Okwen;Bogdei;Okwen;Naga,CM;CI;GA;LR;NG;SL;GB
114,Brachystegia,laurentii,Ekop-Evene;Ekop-Leke;Bomanga;Bomanga;Nzang;Yegna;Ariella;Ariella;Bomanga,CM;CG;CD;GA;FR;GB
115,Brachystegia,leonensis,Ekop-Naga;Meblo;Mendou;Tebako;Okwen;Bogdei;Okwen;Naga,CM;CI;GA;LR;NG;SL;GB
116,Brachystegia,mildbraedii,Ekop-Evene;Ekop-Leke;Bomanga;Bomanga;Nzang;Yegna;Ariella;Ariella;Bomanga,CM;CG;CD;GA;FR;GB
117,Brachystegia,nigerica,Ekop-Naga;Meblo;Mendou;Tebako;Okwen;Bogdei;Okwen;Naga,CM;CI;GA;LR;NG;SL;GB
118,Brachystegia,nzang,Ekop-Evene;Ekop-Leke;Bomanga;Bomanga;Nzang;Yegna;Ariella;Ariella;Bomanga,CM;CG;CD;GA;FR;GB
119,Brachystegia,spiciformis,Messassa,
120,Brachystegia,zenkeri,Ekop-Evene;Ekop-Leke;Bomanga;Bomanga;Nzang;Yegna;Ariella;Ariella;Bomanga,CM;CG;CD;GA;FR;GB
121,Breviea,leptosperma,Apobeaou,
122,Bridelia,aubrevillei,Assas,
123,Brosimum,alicastrum,Charo;Ramón;Capomo,AR;BO;BV;BR;CL;CO;EC;FK;GF;GY;PY;PE;GS;SR;UY;VE
124,Brosimum,guianense,Lettre Mouchete;Mourette;Cashiba Playa;Waira Caspi;Belokoro;Peni-Paia;Poevinga;Palo de Oro;Snakewood;Amourette,GF;PE;SR;VE;GB
125,Brosimum,parinarioides,Amapá Doce;Amapa,BR
126,Brosimum,rubescens,Amapa Rana;Conduru;Falso Pao Brasil;Muirapiranga;Pau Rainha;Satine;Satine Rouge;Satine Rubaine;Siton Paya;Satinwood;Doekaliballi;Satijnhout;Legno Satino;Ferolia;Palo de Oro;Bloodwood;Muira-piranga,BR;GF;GY;SR;IT;ES;GB
127,Brownea,,Rose of the Mountain,
128,Buchenavia,,Tanimbuca,
129,Bucida,buceras,Black Olive;Bois Gris-Gris;Bois Margot;Gregre;Júcaro;Oxhorn Bucida;Ucar;Jùraco,MX;BZ;CR;SV;GT;HN;NI;PA;AR;BO;BV;BR;CL;CO;EC;FK;GF;GY;PY;PE;GS;SR;UY;VE
130,Bulnesia,sarmientoi,Galacwood,
131,Burkea,africana,Mukarati,
132,Bursera,simaruba,Almácigo;Almácigo Blanco;Chacaj Chaca-Jiote;Desnudo;Gumo-Limbo;Indio Desnudo;Indo Desnudo;Jiñocuave;Bois d'encens;Chiboue;Chique;Gommier blanc;Gum tree;Mexican White Beach;Turpentine Tree;West Indian Birch;Almácigo,AR;BO;BV;BR;CL;CO;EC;FK;GF;GY;PY;PE;GS;SR;UY;VE;FR;GB
133,Butyrospermum,paradoxum,Shea Butter Tree;Shea Tree;Shi Tree;Karité,DZ;ES;ES;EG;LY;PT;ES;MA;SD;TN;EH;BI;KM;DJ;ER;ET;KE;MG;MW;MU;YT;MZ;RE;RW;SC;SO;SS;TZ;UG;ZM;ZW;AO;CM;CF;TD;CG;CD;GQ;GA;ST;BW;LS;NA;ZA;SZ;BJ;BF;CV;GM;GH;GN;GW;CI;LR;ML;MR;NE;NG;SH;SN;SL;TG
134,Butyrospermum,parkii,Shea Butter Tree;Shea Tree;Shi Tree;Karité,DZ;ES;ES;EG;LY;PT;ES;MA;SD;TN;EH;BI;KM;DJ;ER;ET;KE;MG;MW;MU;YT;MZ;RE;RW;SC;SO;SS;TZ;UG;ZM;ZW;AO;CM;CF;TD;CG;CD;GQ;GA;ST;BW;LS;NA;ZA;SZ;BJ;BF;CV;GM;GH;GN;GW;CI;LR;ML;MR;NE;NG;SH;SN;SL;TG
135,Caesalpinia,echinata,Brasileto;Ibirapitanga;Orabutá;Pernambuco;Pau Brasil;Pau Rosado;Pernambouc,BR
136,Caesalpinia,pluviosa,False Brazilwood;Sibipiruna;Momoqui,AR;BO;BV;BR;CL;CO;EC;FK;GF;GY;PY;PE;GS;SR;UY;VE
137,Calophyllum,brasiliense,Árbol de santa María;Calophylle du Brésil;Guanandi;Maria;Santa Maria;Jacareuba,BR
138,Calophyllum,,Bintangor,ID;MG;MY;MM;NC;PG;PH;SB;LK;TH;VN;VU
139,Calycophyllum,spruceanum,Capirona;Pau mulato,EC
140,Campnosperma,gummifera,Orey,
141,Campnosperma,panamense,Orey,
142,Canarium,schweinfurtii,M’bili;Abel;Gberi;M’bili;Abeul;Ovili;Bediwunua;Eyere;Abe;Elemi;Mwafu;Bidikala;M’bidikala;Billi;Canarium;Aielé,AO;CM;CF;CG;GA;GH;GQ;NG;UG;CD;SL;GB
